 #NTuple/Z0                                                                      
 output from Ecalc9f version   2.09
  settings: 
    particle type:            2
    pzmin/pzmax:    0.0000000000000000      /   100.00000000000000     
    transverse cuts:    0.0000000000000000        0.0000000000000000     
    longitudinal cut:    0.0000000000000000     
    RF frequency (MHz):    352.00000000000000     
    sigma cut:    4.0000000000000000     
    subtract out amplitude correlation
    wrnew9 =  F

regn #   Z           Bz          eperp       elong       e6D         Ldim        Pzavg       beta        alpha       betaL       alphaL      n0          n1          n2          Lcan(eVs)   sigmaE      sigmaT      corrE       corrT       sigmaE_c    xavg        yavg        Dx          Dy          Dr          Dr2
     1  0.0000E+00  0.0000E+00  0.5129E-02  0.9991E-02  0.2625E-06 -0.2335E-01  0.2082E+00  0.3786E+00  0.6569E-02  0.8610E+00  0.2623E+00  0.5360E+05  0.5360E+05  0.5360E+05 -0.2221E-03  0.1474E-01  0.2472E-09  0.5334E-01 -0.5487E-09  0.1473E-01 -0.9685E-02 -0.1042E-01 -0.6337E-02 -0.1776E-02 -0.8255E-02  0.5068E-01
     2  0.2300E+01  0.0000E+00  0.5071E-02  0.1027E-01  0.2654E-06 -0.2563E-01  0.2055E+00  0.4117E+00  0.9645E-01  0.5988E+00  0.1352E+00  0.5330E+05  0.5330E+05  0.5330E+05 -0.1499E-02  0.1734E-01  0.2153E-09  0.7016E-01  0.3446E-08  0.1732E-01 -0.1166E-01 -0.7431E-02 -0.4709E-01 -0.1380E-02  0.3798E-01  0.3782E-01
     3  0.4600E+01  0.0000E+00  0.5015E-02  0.1080E-01  0.2903E-06 -0.2034E-01  0.2043E+00  0.4065E+00  0.2121E+00  0.7069E+00 -0.2931E+00  0.5320E+05  0.5320E+05  0.5320E+05 -0.1308E-02  0.1691E-01  0.2507E-09  0.1394E+00  0.6295E-08  0.1681E-01 -0.6709E-02 -0.1134E-01 -0.6103E-01  0.1849E-01  0.6985E-01  0.3946E-01
     4  0.6900E+01  0.0000E+00  0.4828E-02  0.1072E-01  0.2716E-06 -0.3447E-01  0.2043E+00  0.4085E+00  0.2386E+00  0.1108E+01 -0.3481E+00  0.5279E+05  0.5279E+05  0.5279E+05 -0.8531E-03  0.1410E-01  0.3066E-09  0.2867E+00  0.6577E-08  0.1359E-01 -0.9706E-02 -0.8741E-02 -0.7934E-01  0.1567E-01  0.9745E-01  0.5657E-01
     5  0.9200E+01  0.0000E+00  0.4646E-02  0.1044E-01  0.2471E-06 -0.3243E-01  0.2046E+00  0.3904E+00  0.2556E+00  0.1195E+01 -0.2739E-01  0.5188E+05  0.5188E+05  0.5188E+05 -0.1372E-02  0.1322E-01  0.3075E-09  0.4056E+00  0.4901E-08  0.1221E-01 -0.9935E-02 -0.8899E-02 -0.1866E-01 -0.8870E-02  0.1268E+00  0.6751E-01
     6  0.1150E+02  0.0000E+00  0.4538E-02  0.1055E-01  0.2291E-06 -0.3695E-01  0.2061E+00  0.3963E+00  0.2320E+00  0.9437E+00  0.1775E+00  0.5101E+05  0.5101E+05  0.5101E+05 -0.1348E-02  0.1511E-01  0.2691E-09  0.4340E+00  0.2126E-08  0.1410E-01 -0.1003E-01 -0.1088E-01 -0.6680E-01  0.1472E-01  0.1128E+00  0.6369E-01
     7  0.1380E+02  0.0000E+00  0.4414E-02  0.1011E-01  0.2046E-06 -0.3864E-01  0.2088E+00  0.4313E+00  0.2917E+00  0.7574E+00  0.4118E-01  0.5026E+05  0.5026E+05  0.5026E+05 -0.1135E-02  0.1608E-01  0.2331E-09  0.3934E+00  0.1079E-08  0.1532E-01 -0.1051E-01 -0.8071E-02 -0.4415E-01  0.2519E-02  0.8122E-01  0.4621E-01
     8  0.1610E+02  0.0000E+00  0.4325E-02  0.9905E-02  0.1914E-06 -0.4481E-01  0.2112E+00  0.4348E+00  0.3642E+00  0.8153E+00 -0.1483E+00  0.4989E+05  0.4989E+05  0.4989E+05 -0.1623E-02  0.1550E-01  0.2372E-09  0.3404E+00  0.6005E-09  0.1489E-01 -0.1090E-01 -0.1086E-01 -0.4931E-01 -0.4431E-02  0.9074E-01  0.6532E-01
     9  0.1840E+02  0.0000E+00  0.4286E-02  0.9694E-02  0.1832E-06 -0.4204E-01  0.2118E+00  0.4150E+00  0.3538E+00  0.9581E+00 -0.1280E+00  0.4952E+05  0.4952E+05  0.4952E+05 -0.1138E-02  0.1418E-01  0.2539E-09  0.3148E+00  0.6623E-09  0.1358E-01 -0.1153E-01 -0.8012E-02 -0.6842E-01  0.3027E-01  0.1133E+00  0.6757E-01
    10  0.2070E+02  0.0000E+00  0.4215E-02  0.9336E-02  0.1731E-06 -0.4899E-01  0.2105E+00  0.3934E+00  0.3046E+00  0.9525E+00  0.8122E-01  0.4920E+05  0.4920E+05  0.4920E+05 -0.1701E-02  0.1391E-01  0.2496E-09  0.3228E+00  0.6961E-09  0.1324E-01 -0.1005E-01 -0.1087E-01 -0.2367E-01 -0.1690E-01  0.1078E+00  0.7488E-01
    11  0.2300E+02  0.0000E+00  0.4198E-02  0.9031E-02  0.1640E-06 -0.4591E-01  0.2080E+00  0.3810E+00  0.2381E+00  0.7649E+00  0.2056E+00  0.4880E+05  0.4880E+05  0.4880E+05 -0.1122E-02  0.1526E-01  0.2217E-09  0.3107E+00  0.4873E-09  0.1466E-01 -0.1180E-01 -0.8182E-02 -0.5945E-01  0.1420E-01  0.8929E-01  0.5832E-01
    12  0.2530E+02  0.0000E+00  0.4138E-02  0.9019E-02  0.1574E-06 -0.4544E-01  0.2058E+00  0.3928E+00  0.2263E+00  0.6307E+00  0.1480E-01  0.4854E+05  0.4854E+05  0.4854E+05 -0.1932E-02  0.1618E-01  0.2028E-09  0.2902E+00  0.7018E-09  0.1569E-01 -0.7966E-02 -0.9851E-02 -0.4237E-01 -0.1323E-01  0.5788E-01  0.3952E-01
    13  0.2760E+02  0.0000E+00  0.4050E-02  0.9027E-02  0.1512E-06 -0.4910E-01  0.2044E+00  0.3860E+00  0.2710E+00  0.7692E+00 -0.1969E+00  0.4841E+05  0.4841E+05  0.4841E+05 -0.1144E-02  0.1488E-01  0.2256E-09  0.2719E+00  0.1194E-08  0.1441E-01 -0.1012E-01 -0.9723E-02 -0.7135E-01  0.4307E-01  0.5633E-01  0.5375E-01
    14  0.2990E+02  0.0000E+00  0.3922E-02  0.8978E-02  0.1441E-06 -0.5079E-01  0.2039E+00  0.3601E+00  0.2426E+00  0.9754E+00 -0.1060E+00  0.4825E+05  0.4825E+05  0.4825E+05 -0.1698E-02  0.1320E-01  0.2541E-09  0.2993E+00  0.1697E-08  0.1257E-01 -0.8909E-02 -0.8891E-02 -0.4042E-01 -0.2727E-01  0.8518E-01  0.5672E-01
    15  0.3220E+02  0.0000E+00  0.3787E-02  0.9036E-02  0.1347E-06 -0.4827E-01  0.2042E+00  0.3519E+00  0.1946E+00  0.9424E+00  0.1057E+00  0.4796E+05  0.4796E+05  0.4796E+05 -0.1233E-02  0.1346E-01  0.2504E-09  0.3052E+00  0.1807E-08  0.1285E-01 -0.9583E-02 -0.9617E-02 -0.5914E-01  0.2101E-01  0.6740E-01  0.6081E-01
