 #NTuple/Z0                                                                      
 output from Ecalc9f version   2.09
  settings: 
    particle type:            2
    pzmin/pzmax:    0.0000000000000000      /   100.00000000000000     
    transverse cuts:    0.0000000000000000        0.0000000000000000     
    longitudinal cut:    0.0000000000000000     
    RF frequency (MHz):    352.00000000000000     
    sigma cut:    0.0000000000000000     
    subtract out amplitude correlation
    wrnew9 =  F

regn #   Z           Bz          eperp       elong       e6D         Ldim        Pzavg       beta        alpha       betaL       alphaL      n0          n1          n2          Lcan(eVs)   sigmaE      sigmaT      corrE       corrT       sigmaE_c    xavg        yavg        Dx          Dy          Dr          Dr2
     1  0.0000E+00  0.2737E-03  0.5166E-02  0.1831E-01  0.4926E-06 -0.2240E-01  0.2221E+00  0.7483E+00 -0.3494E-02  0.7018E+00 -0.2775E-01  0.1485E+06  0.1485E+06  0.1485E+06 -0.8896E-03  0.2290E-01  0.2894E-09  0.2571E+00  0.9536E-09  0.2235E-01 -0.3172E-01 -0.2035E-01 -0.7107E-01  0.2543E-02  0.7742E-01  0.1776E+00
     2  0.1200E+01  0.2639E-03  0.5039E-02  0.1815E-01  0.4637E-06 -0.9270E-03  0.2215E+00  0.5500E+00 -0.3544E+00  0.7251E+00 -0.5274E-01  0.1461E+06  0.1461E+06  0.1461E+06  0.9468E-05  0.2240E-01  0.2939E-09  0.2652E+00  0.1351E-08  0.2187E-01 -0.3196E-01 -0.1998E-01 -0.6514E-01 -0.5985E-02  0.4372E-01  0.1782E+00
     3  0.2400E+01  0.2674E-03  0.5008E-02  0.1800E-01  0.4617E-06  0.1654E-01  0.2212E+00  0.3995E+00 -0.8956E-01  0.7531E+00 -0.6859E-01  0.1447E+06  0.1447E+06  0.1447E+06  0.7798E-03  0.2204E-01  0.2993E-09  0.3076E+00  0.1908E-08  0.2138E-01 -0.3128E-01 -0.2001E-01 -0.5085E-01  0.6101E-02  0.3779E-01  0.1777E+00
     4  0.3600E+01  0.2715E-03  0.4997E-02  0.1805E-01  0.4606E-06  0.3722E-01  0.2217E+00  0.4678E+00  0.1057E+00  0.7826E+00 -0.4899E-01  0.1434E+06  0.1434E+06  0.1434E+06  0.7501E-03  0.2180E-01  0.3050E-09  0.3420E+00  0.1963E-08  0.2101E-01 -0.3136E-01 -0.1960E-01 -0.6404E-01  0.1562E-01  0.9300E-01  0.1881E+00
     5  0.4800E+01  0.2620E-03  0.4931E-02  0.1800E-01  0.4534E-06  0.5404E-01  0.2223E+00  0.5072E+00  0.2175E-01  0.7943E+00 -0.1512E-01  0.1429E+06  0.1429E+06  0.1429E+06  0.2008E-02  0.2184E-01  0.3059E-09  0.3931E+00  0.1811E-08  0.2083E-01 -0.3328E-01 -0.2007E-01 -0.5951E-01  0.1692E-02  0.8494E-01  0.2053E+00
     6  0.6000E+01  0.2722E-03  0.4818E-02  0.1800E-01  0.4376E-06  0.6399E-01  0.2228E+00  0.4849E+00 -0.1551E-01  0.7925E+00  0.1482E-01  0.1423E+06  0.1423E+06  0.1423E+06  0.2050E-02  0.2215E-01  0.3044E-09  0.4563E+00  0.1340E-08  0.2089E-01 -0.3082E-01 -0.2020E-01 -0.5166E-01  0.5379E-02  0.6398E-01  0.1788E+00
     7  0.7200E+01  0.2661E-03  0.4758E-02  0.1803E-01  0.4271E-06  0.7925E-01  0.2233E+00  0.4828E+00  0.4526E-02  0.7739E+00  0.2368E-01  0.1419E+06  0.1419E+06  0.1419E+06  0.1988E-02  0.2260E-01  0.3001E-09  0.5021E+00  0.8223E-09  0.2120E-01 -0.3292E-01 -0.1958E-01 -0.5814E-01  0.1340E-01  0.7596E-01  0.1873E+00
     8  0.8400E+01  0.2654E-03  0.4700E-02  0.1814E-01  0.4170E-06  0.9208E-01  0.2237E+00  0.4836E+00  0.1510E-01  0.7535E+00  0.1663E-01  0.1415E+06  0.1415E+06  0.1415E+06  0.3508E-02  0.2294E-01  0.2964E-09  0.5081E+00  0.2301E-09  0.2157E-01 -0.3304E-01 -0.2019E-01 -0.6552E-01  0.1729E-02  0.7896E-01  0.1867E+00
     9  0.9600E+01  0.2722E-03  0.4615E-02  0.1832E-01  0.4065E-06  0.1030E+00  0.2241E+00  0.4887E+00  0.2490E-01  0.7373E+00  0.2199E-01  0.1412E+06  0.1412E+06  0.1412E+06  0.2740E-02  0.2318E-01  0.2944E-09  0.4910E+00 -0.5166E-09  0.2194E-01 -0.3131E-01 -0.2037E-01 -0.5011E-01  0.7523E-02  0.6570E-01  0.1698E+00
    10  0.1080E+02  0.2629E-03  0.4593E-02  0.1863E-01  0.3957E-06  0.1159E+00  0.2242E+00  0.4982E+00 -0.1189E-02  0.7048E+00 -0.2714E-02  0.1409E+06  0.1409E+06  0.1409E+06  0.3377E-02  0.2325E-01  0.2904E-09  0.2792E+00 -0.7241E-09  0.2264E-01 -0.3358E-01 -0.1936E-01 -0.6025E-01  0.9989E-02  0.7095E-01  0.1817E+00
    11  0.1200E+02  0.2702E-03  0.4527E-02  0.1793E-01  0.3761E-06  0.1248E+00  0.2242E+00  0.4828E+00 -0.1538E-01  0.7181E+00 -0.7726E-02  0.1405E+06  0.1405E+06  0.1405E+06  0.4369E-02  0.2291E-01  0.2883E-09  0.4347E+00 -0.1638E-08  0.2200E-01 -0.3259E-01 -0.2055E-01 -0.6435E-01  0.2030E-02  0.7136E-01  0.1848E+00
    12  0.1320E+02  0.2682E-03  0.4460E-02  0.1781E-01  0.3608E-06  0.1322E+00  0.2239E+00  0.4698E+00  0.2190E-01  0.7279E+00 -0.2121E-01  0.1402E+06  0.1402E+06  0.1402E+06  0.3375E-02  0.2249E-01  0.2893E-09  0.3858E+00 -0.1461E-08  0.2176E-01 -0.3195E-01 -0.2025E-01 -0.5379E-01  0.4415E-02  0.5868E-01  0.1830E+00
    13  0.1440E+02  0.2642E-03  0.4409E-02  0.1743E-01  0.3434E-06  0.1439E+00  0.2234E+00  0.4924E+00  0.5315E-01  0.7315E+00 -0.5200E-02  0.1399E+06  0.1399E+06  0.1399E+06  0.4379E-02  0.2211E-01  0.2876E-09  0.3799E+00 -0.1695E-08  0.2144E-01 -0.3316E-01 -0.1945E-01 -0.6116E-01  0.1308E-01  0.6145E-01  0.1943E+00
    14  0.1560E+02  0.2719E-03  0.4372E-02  0.1732E-01  0.3321E-06  0.1527E+00  0.2227E+00  0.5059E+00 -0.4375E-02  0.7234E+00  0.3221E-02  0.1396E+06  0.1396E+06  0.1396E+06  0.4722E-02  0.2187E-01  0.2857E-09  0.3029E+00 -0.1682E-08  0.2144E-01 -0.3195E-01 -0.2058E-01 -0.6672E-01 -0.1527E-02  0.7042E-01  0.1941E+00
    15  0.1680E+02  0.2644E-03  0.4308E-02  0.1702E-01  0.3156E-06  0.1563E+00  0.2219E+00  0.4711E+00 -0.5688E-01  0.7132E+00  0.8107E-02  0.1392E+06  0.1392E+06  0.1392E+06  0.4153E-02  0.2165E-01  0.2814E-09  0.2484E+00 -0.1170E-08  0.2136E-01 -0.3240E-01 -0.2026E-01 -0.5543E-01  0.4847E-03  0.5804E-01  0.1976E+00
    16  0.1800E+02  0.2681E-03  0.4233E-02  0.1651E-01  0.2930E-06  0.1677E+00  0.2212E+00  0.4453E+00  0.2727E-01  0.7017E+00  0.2559E-01  0.1388E+06  0.1388E+06  0.1388E+06  0.4932E-02  0.2144E-01  0.2751E-09  0.2458E+00 -0.7155E-09  0.2116E-01 -0.3191E-01 -0.1954E-01 -0.6411E-01  0.1183E-01  0.5147E-01  0.1913E+00
    17  0.1920E+02  0.2697E-03  0.4203E-02  0.1619E-01  0.2822E-06  0.1733E+00  0.2208E+00  0.4870E+00  0.9993E-01  0.6879E+00  0.2761E-01  0.1385E+06  0.1385E+06  0.1385E+06  0.4846E-02  0.2133E-01  0.2700E-09  0.1989E+00 -0.6706E-10  0.2114E-01 -0.3187E-01 -0.2058E-01 -0.6738E-01 -0.1706E-02  0.6251E-01  0.1988E+00
    18  0.2040E+02  0.2639E-03  0.4124E-02  0.1575E-01  0.2669E-06  0.1796E+00  0.2205E+00  0.5161E+00  0.5815E-02  0.6806E+00  0.2153E-01  0.1380E+06  0.1380E+06  0.1380E+06  0.4803E-02  0.2120E-01  0.2651E-09  0.2404E+00  0.2997E-09  0.2095E-01 -0.3239E-01 -0.2021E-01 -0.5592E-01  0.7528E-02  0.5645E-01  0.2030E+00
    19  0.2160E+02  0.2708E-03  0.4077E-02  0.1540E-01  0.2551E-06  0.1787E+00  0.2205E+00  0.4764E+00 -0.5474E-01  0.6831E+00 -0.2731E-02  0.1376E+06  0.1376E+06  0.1376E+06  0.5172E-02  0.2097E-01  0.2628E-09  0.2604E+00  0.8467E-09  0.2067E-01 -0.3117E-01 -0.1992E-01 -0.6393E-01  0.6109E-02  0.5305E-01  0.1945E+00
    20  0.2280E+02  0.2663E-03  0.4065E-02  0.1516E-01  0.2496E-06  0.1815E+00  0.2206E+00  0.4597E+00  0.1231E-01  0.6957E+00 -0.8433E-02  0.1373E+06  0.1373E+06  0.1373E+06  0.4687E-02  0.2067E-01  0.2634E-09  0.2789E+00  0.1300E-08  0.2033E-01 -0.3278E-01 -0.2082E-01 -0.7109E-01  0.2401E-02  0.6836E-01  0.2213E+00
    21  0.2400E+02  0.2665E-03  0.4012E-02  0.1492E-01  0.2429E-06  0.1874E+00  0.2210E+00  0.4731E+00  0.3844E-01  0.7058E+00 -0.1323E-01  0.1372E+06  0.1372E+06  0.1372E+06  0.5248E-02  0.2048E-01  0.2632E-09  0.3230E+00  0.1632E-08  0.2004E-01 -0.3207E-01 -0.1974E-01 -0.5353E-01  0.3067E-02  0.6348E-01  0.2126E+00
    22  0.2520E+02  0.2704E-03  0.3990E-02  0.1472E-01  0.2380E-06  0.1874E+00  0.2215E+00  0.4823E+00  0.2424E-01  0.7150E+00 -0.1439E-01  0.1369E+06  0.1369E+06  0.1369E+06  0.4941E-02  0.2037E-01  0.2631E-09  0.3606E+00  0.1946E-08  0.1981E-01 -0.3153E-01 -0.2052E-01 -0.6011E-01  0.8615E-02  0.6141E-01  0.2153E+00
    23  0.2640E+02  0.2646E-03  0.3950E-02  0.1454E-01  0.2309E-06  0.1886E+00  0.2219E+00  0.4851E+00  0.1016E-01  0.7199E+00  0.8218E-02  0.1366E+06  0.1366E+06  0.1366E+06  0.4758E-02  0.2032E-01  0.2616E-09  0.4076E+00  0.1560E-08  0.1965E-01 -0.3369E-01 -0.2042E-01 -0.6731E-01  0.3810E-02  0.7301E-01  0.2383E+00
    24  0.2760E+02  0.2693E-03  0.3904E-02  0.1446E-01  0.2257E-06  0.1864E+00  0.2223E+00  0.4773E+00  0.3754E-02  0.7180E+00  0.1114E-01  0.1363E+06  0.1363E+06  0.1363E+06  0.5384E-02  0.2037E-01  0.2600E-09  0.4238E+00  0.1414E-08  0.1964E-01 -0.3175E-01 -0.2009E-01 -0.5711E-01  0.4484E-02  0.6536E-01  0.2162E+00
    25  0.2880E+02  0.2679E-03  0.3859E-02  0.1439E-01  0.2201E-06  0.1831E+00  0.2228E+00  0.4807E+00  0.1166E-01  0.7153E+00  0.1789E-01  0.1360E+06  0.1360E+06  0.1360E+06  0.4306E-02  0.2044E-01  0.2584E-09  0.4344E+00  0.1212E-08  0.1966E-01 -0.3265E-01 -0.2089E-01 -0.5484E-01  0.5293E-02  0.6685E-01  0.2291E+00
    26  0.3000E+02  0.2655E-03  0.3828E-02  0.1417E-01  0.2126E-06  0.1815E+00  0.2230E+00  0.4847E+00  0.8465E-02  0.7090E+00  0.2555E-01  0.1357E+06  0.1357E+06  0.1357E+06  0.4694E-02  0.2050E-01  0.2549E-09  0.4801E+00  0.7589E-09  0.1962E-01 -0.3360E-01 -0.2001E-01 -0.6871E-01  0.6760E-02  0.7504E-01  0.2329E+00
    27  0.3120E+02  0.2701E-03  0.3790E-02  0.1407E-01  0.2071E-06  0.1788E+00  0.2231E+00  0.4798E+00  0.1191E-01  0.6914E+00  0.1975E-01  0.1355E+06  0.1355E+06  0.1355E+06  0.4905E-02  0.2058E-01  0.2505E-09  0.4541E+00  0.2805E-09  0.1980E-01 -0.3193E-01 -0.2040E-01 -0.5594E-01  0.4939E-02  0.6237E-01  0.2163E+00
    28  0.3240E+02  0.2658E-03  0.3750E-02  0.1392E-01  0.2000E-06  0.1742E+00  0.2231E+00  0.4817E+00  0.8053E-02  0.6872E+00 -0.6398E-02  0.1352E+06  0.1352E+06  0.1352E+06  0.3921E-02  0.2047E-01  0.2484E-09  0.4407E+00  0.7994E-10  0.1975E-01 -0.3320E-01 -0.2097E-01 -0.5522E-01  0.5185E-02  0.6471E-01  0.2343E+00
    29  0.3360E+02  0.2677E-03  0.3733E-02  0.1376E-01  0.1945E-06  0.1684E+00  0.2229E+00  0.4823E+00  0.9880E-03  0.6969E+00 -0.5532E-02  0.1350E+06  0.1350E+06  0.1350E+06  0.4403E-02  0.2014E-01  0.2489E-09  0.4035E+00 -0.2202E-09  0.1949E-01 -0.3294E-01 -0.1977E-01 -0.6809E-01  0.2381E-02  0.7037E-01  0.2319E+00
    30  0.3480E+02  0.2690E-03  0.3677E-02  0.1361E-01  0.1872E-06  0.1640E+00  0.2225E+00  0.4775E+00  0.5156E-02  0.7013E+00 -0.6260E-02  0.1348E+06  0.1348E+06  0.1348E+06  0.4146E-02  0.1992E-01  0.2486E-09  0.4095E+00 -0.3400E-09  0.1930E-01 -0.3238E-01 -0.2102E-01 -0.5746E-01  0.8207E-02  0.6137E-01  0.2375E+00
    31  0.3600E+02  0.2654E-03  0.3644E-02  0.1346E-01  0.1813E-06  0.1589E+00  0.2220E+00  0.4746E+00  0.7371E-02  0.6995E+00  0.1128E-01  0.1345E+06  0.1345E+06  0.1345E+06  0.3568E-02  0.1971E-01  0.2474E-09  0.3667E+00 -0.6255E-09  0.1919E-01 -0.3288E-01 -0.2038E-01 -0.5435E-01  0.2129E-02  0.6303E-01  0.2427E+00
    32  0.3720E+02  0.2692E-03  0.3614E-02  0.1326E-01  0.1738E-06  0.1507E+00  0.2216E+00  0.4792E+00  0.1101E-01  0.6939E+00  0.1709E-01  0.1343E+06  0.1343E+06  0.1343E+06  0.3898E-02  0.1955E-01  0.2448E-09  0.3486E+00 -0.4224E-09  0.1909E-01 -0.3238E-01 -0.2028E-01 -0.7140E-01  0.7893E-02  0.6730E-01  0.2404E+00
    33  0.3840E+02  0.2672E-03  0.3572E-02  0.1303E-01  0.1679E-06  0.1430E+00  0.2211E+00  0.4768E+00  0.1175E-02  0.6895E+00  0.1745E-01  0.1341E+06  0.1341E+06  0.1341E+06  0.3336E-02  0.1940E-01  0.2423E-09  0.3458E+00 -0.2356E-09  0.1897E-01 -0.3264E-01 -0.2105E-01 -0.5772E-01 -0.1589E-02  0.6150E-01  0.2502E+00
    34  0.3960E+02  0.2665E-03  0.3540E-02  0.1288E-01  0.1624E-06  0.1394E+00  0.2207E+00  0.4666E+00  0.4811E-03  0.6797E+00  0.1956E-01  0.1339E+06  0.1339E+06  0.1339E+06  0.3161E-02  0.1936E-01  0.2394E-09  0.3339E+00 -0.8346E-10  0.1897E-01 -0.3196E-01 -0.2004E-01 -0.5646E-01  0.6717E-02  0.5706E-01  0.2359E+00
    35  0.4080E+02  0.2694E-03  0.3523E-02  0.1261E-01  0.1566E-06  0.1322E+00  0.2206E+00  0.4699E+00  0.2329E-01  0.6740E+00  0.1517E-01  0.1337E+06  0.1337E+06  0.1337E+06  0.3187E-02  0.1922E-01  0.2360E-09  0.3226E+00  0.9076E-10  0.1884E-01 -0.3247E-01 -0.2058E-01 -0.7112E-01  0.4601E-02  0.6696E-01  0.2496E+00
