 #NTuple/Z0                                                                     
  
 output from Ecalc9f version   2.09
  settings: 
    particle type:            2
    pzmin/pzmax:   0.000000000000000E+000 /   100.000000000000     
    transverse cuts:   0.000000000000000E+000  0.000000000000000E+000
    longitudinal cut:   0.000000000000000E+000
    RF frequency (MHz):    352.000000000000     
    sigma cut:   0.000000000000000E+000
    subtract out amplitude correlation
    wrnew9 =  F
 
regn #   Z           Bz          eperp       elong       e6D         Ldim        Pzavg       beta        alpha       betaL       alphaL      n0          n1          n2          Lcan(eVs)   sigmaE      sigmaT      corrE       corrT       sigmaE_c    xavg        yavg        Dx          Dy          Dr          Dr2
     1  0.0000E+00  0.1260E-02  0.1713E-01  0.4574E-01  0.1348E-04 -0.6641E+00  0.2875E+00  0.9800E+00 -0.1366E-01  0.4067E+00  0.1856E+00  0.1968E+06  0.1968E+06  0.1968E+06 -0.7901E-01  0.5597E-01  0.2945E-09  0.7007E-01  0.3078E-09  0.5580E-01 -0.7503E-01 -0.3172E-01  0.4738E-02  0.1113E-02  0.5006E-02  0.2016E+00
     2  0.1800E+01  0.1259E-02  0.1666E-01  0.4604E-01  0.1310E-04 -0.6479E+00  0.2970E+00  0.1240E+01 -0.9589E-01  0.4331E+00  0.5572E-01  0.1918E+06  0.1918E+06  0.1918E+06 -0.7842E-01  0.5878E-01  0.3022E-09  0.5391E+00  0.1206E-08  0.5450E-01 -0.6523E-01 -0.2438E-01 -0.6937E-01  0.1073E-01  0.1109E+00  0.1752E+00
     3  0.3600E+01  0.1264E-02  0.1637E-01  0.4480E-01  0.1255E-04 -0.6146E+00  0.2948E+00  0.9794E+00 -0.8172E-01  0.4795E+00 -0.8871E-01  0.1911E+06  0.1911E+06  0.1911E+06 -0.6862E-01  0.5694E-01  0.3134E-09  0.6285E+00  0.9753E-09  0.5099E-01 -0.7766E-01 -0.2474E-01 -0.1155E+00 -0.1119E-01  0.1199E+00  0.2415E+00
     4  0.5400E+01  0.1261E-02  0.1570E-01  0.4266E-01  0.1130E-04 -0.5923E+00  0.2907E+00  0.1083E+01  0.3503E-01  0.5547E+00 -0.1718E+00  0.1873E+06  0.1873E+06  0.1873E+06 -0.6039E-01  0.5168E-01  0.3297E-09  0.5805E+00  0.4885E-09  0.4635E-01 -0.7976E-01 -0.3366E-01 -0.1058E+00 -0.2234E-01  0.1399E+00  0.3157E+00
     5  0.7200E+01  0.1263E-02  0.1518E-01  0.4085E-01  0.1019E-04 -0.5890E+00  0.2858E+00  0.1057E+01 -0.8609E-01  0.6431E+00 -0.1516E+00  0.1864E+06  0.1864E+06  0.1864E+06 -0.6564E-01  0.4542E-01  0.3511E-09  0.4736E+00  0.5404E-09  0.4155E-01 -0.6512E-01 -0.2772E-01 -0.6596E-01 -0.1112E-01  0.1023E+00  0.2585E+00
     6  0.9000E+01  0.1265E-02  0.1482E-01  0.3955E-01  0.9301E-05 -0.5717E+00  0.2815E+00  0.1005E+01 -0.1001E-01  0.6885E+00 -0.1066E+00  0.1846E+06  0.1846E+06  0.1846E+06 -0.5926E-01  0.4193E-01  0.3611E-09  0.4028E+00  0.6829E-09  0.3892E-01 -0.7104E-01 -0.2216E-01 -0.3610E-01  0.1164E-01  0.9104E-01  0.3161E+00
     7  0.1080E+02  0.1262E-02  0.1477E-01  0.3643E-01  0.8270E-05 -0.5271E+00  0.2778E+00  0.1013E+01 -0.5316E-01  0.7183E+00 -0.3941E-01  0.1800E+06  0.1800E+06  0.1800E+06 -0.5067E-01  0.3924E-01  0.3563E-09  0.3935E+00  0.4019E-09  0.3609E-01 -0.7414E-01 -0.3019E-01 -0.1092E+00  0.8487E-03  0.1443E+00  0.4146E+00
     8  0.1260E+02  0.1267E-02  0.1440E-01  0.3547E-01  0.7814E-05 -0.5044E+00  0.2749E+00  0.9889E+00 -0.2144E-01  0.7153E+00  0.2410E-01  0.1780E+06  0.1780E+06  0.1780E+06 -0.5231E-01  0.3887E-01  0.3529E-09  0.4037E+00  0.1796E-09  0.3544E-01 -0.6693E-01 -0.2934E-01 -0.1070E+00 -0.1882E-01  0.1425E+00  0.3512E+00
     9  0.1440E+02  0.1267E-02  0.1394E-01  0.3533E-01  0.7302E-05 -0.4767E+00  0.2721E+00  0.9875E+00 -0.2819E-01  0.6864E+00  0.7863E-02  0.1767E+06  0.1767E+06  0.1767E+06 -0.4735E-01  0.3880E-01  0.3473E-09  0.3766E+00  0.1780E-09  0.3586E-01 -0.6868E-01 -0.2373E-01 -0.5841E-01  0.1706E-01  0.1051E+00  0.3331E+00
    10  0.1620E+02  0.1264E-02  0.1372E-01  0.3542E-01  0.6851E-05 -0.4343E+00  0.2693E+00  0.9337E+00 -0.3961E-01  0.6810E+00 -0.3931E-01  0.1756E+06  0.1756E+06  0.1756E+06 -0.3880E-01  0.3816E-01  0.3486E-09  0.3304E+00 -0.9563E-10  0.3584E-01 -0.6778E-01 -0.2656E-01 -0.8853E-01  0.7565E-02  0.1134E+00  0.3401E+00
    11  0.1800E+02  0.1270E-02  0.1348E-01  0.3527E-01  0.6622E-05 -0.4009E+00  0.2677E+00  0.9576E+00  0.9489E-02  0.7021E+00 -0.7312E-01  0.1745E+06  0.1745E+06  0.1745E+06 -0.3869E-01  0.3726E-01  0.3546E-09  0.3101E+00 -0.1092E-09  0.3515E-01 -0.6679E-01 -0.3004E-01 -0.8962E-01 -0.8057E-02  0.1122E+00  0.3556E+00
    12  0.1980E+02  0.1267E-02  0.1326E-01  0.3595E-01  0.6486E-05 -0.3669E+00  0.2664E+00  0.9641E+00 -0.5686E-01  0.7574E+00 -0.7993E-01  0.1743E+06  0.1743E+06  0.1743E+06 -0.3559E-01  0.3633E-01  0.3730E-09  0.3173E+00  0.1400E-09  0.3408E-01 -0.6965E-01 -0.2468E-01 -0.1010E+00  0.9568E-02  0.1244E+00  0.3787E+00
    13  0.2160E+02  0.1266E-02  0.1285E-01  0.3604E-01  0.6135E-05 -0.3335E+00  0.2644E+00  0.9042E+00 -0.7935E-02  0.7919E+00 -0.2725E-01  0.1734E+06  0.1734E+06  0.1734E+06 -0.2695E-01  0.3523E-01  0.3836E-09  0.3024E+00  0.5117E-10  0.3313E-01 -0.6700E-01 -0.2539E-01 -0.8524E-01  0.2454E-01  0.1021E+00  0.3681E+00
    14  0.2340E+02  0.1273E-02  0.1266E-01  0.3512E-01  0.5829E-05 -0.2865E+00  0.2630E+00  0.9447E+00 -0.5167E-02  0.7881E+00  0.1247E-02  0.1720E+06  0.1720E+06  0.1720E+06 -0.2573E-01  0.3442E-01  0.3793E-09  0.2737E+00  0.3072E-09  0.3265E-01 -0.6482E-01 -0.2913E-01 -0.6456E-01  0.5003E-03  0.1007E+00  0.3740E+00
    15  0.2520E+02  0.1267E-02  0.1256E-01  0.3467E-01  0.5467E-05 -0.2508E+00  0.2615E+00  0.9110E+00 -0.4731E-01  0.7777E+00 -0.8807E-03  0.1709E+06  0.1709E+06  0.1709E+06 -0.2333E-01  0.3391E-01  0.3757E-09  0.2390E+00  0.2884E-09  0.3254E-01 -0.6818E-01 -0.2496E-01 -0.1164E+00 -0.6870E-02  0.1187E+00  0.4007E+00
    16  0.2700E+02  0.1269E-02  0.1219E-01  0.3404E-01  0.5147E-05 -0.2204E+00  0.2608E+00  0.9038E+00  0.1321E-01  0.7826E+00 -0.7544E-02  0.1694E+06  0.1694E+06  0.1694E+06 -0.1624E-01  0.3343E-01  0.3741E-09  0.2351E+00  0.3664E-09  0.3209E-01 -0.6871E-01 -0.2669E-01 -0.8488E-01  0.1692E-01  0.1004E+00  0.4171E+00
    17  0.2880E+02  0.1276E-02  0.1207E-01  0.3369E-01  0.4951E-05 -0.1762E+00  0.2609E+00  0.9192E+00 -0.2584E-01  0.7811E+00 -0.3746E-02  0.1681E+06  0.1681E+06  0.1681E+06 -0.1560E-01  0.3323E-01  0.3731E-09  0.2309E+00  0.8842E-09  0.3196E-01 -0.6296E-01 -0.2784E-01 -0.1003E+00  0.1906E-01  0.1073E+00  0.3727E+00
    18  0.3060E+02  0.1267E-02  0.1190E-01  0.3388E-01  0.4790E-05 -0.1344E+00  0.2605E+00  0.8999E+00 -0.1298E-03  0.7674E+00  0.2163E-01  0.1674E+06  0.1674E+06  0.1674E+06 -0.1219E-01  0.3349E-01  0.3715E-09  0.2250E+00  0.9433E-09  0.3231E-01 -0.6885E-01 -0.2447E-01 -0.1166E+00  0.3505E-02  0.1118E+00  0.4101E+00
    19  0.3240E+02  0.1273E-02  0.1164E-01  0.3351E-01  0.4556E-05 -0.9536E-01  0.2593E+00  0.8934E+00 -0.2365E-02  0.7380E+00  0.3080E-01  0.1665E+06  0.1665E+06  0.1665E+06 -0.5244E-02  0.3364E-01  0.3630E-09  0.2047E+00  0.8454E-09  0.3268E-01 -0.6827E-01 -0.2756E-01 -0.9372E-01  0.3928E-02  0.1019E+00  0.4061E+00
    20  0.3420E+02  0.1277E-02  0.1138E-01  0.3266E-01  0.4298E-05 -0.6493E-01  0.2584E+00  0.8893E+00 -0.1277E-02  0.7218E+00  0.2500E-01  0.1653E+06  0.1653E+06  0.1653E+06 -0.6395E-02  0.3367E-01  0.3561E-09  0.2252E+00  0.1074E-08  0.3254E-01 -0.6131E-01 -0.2792E-01 -0.8437E-01  0.1417E-01  0.8921E-01  0.3386E+00
    21  0.3600E+02  0.1268E-02  0.1128E-01  0.3190E-01  0.4098E-05 -0.2781E-01  0.2572E+00  0.8839E+00 -0.1024E-01  0.7057E+00  0.2950E-02  0.1644E+06  0.1644E+06  0.1644E+06 -0.3446E-02  0.3368E-01  0.3491E-09  0.2399E+00  0.1050E-08  0.3242E-01 -0.6818E-01 -0.2455E-01 -0.9722E-01  0.1724E-01  0.1053E+00  0.3891E+00
    22  0.3780E+02  0.1277E-02  0.1119E-01  0.3108E-01  0.3896E-05  0.1291E-01  0.2557E+00  0.8658E+00  0.7998E-02  0.7128E+00 -0.1931E-01  0.1637E+06  0.1637E+06  0.1637E+06  0.3166E-02  0.3318E-01  0.3467E-09  0.2568E+00  0.8345E-09  0.3173E-01 -0.6683E-01 -0.2719E-01 -0.1246E+00  0.1333E-01  0.1236E+00  0.3974E+00
    23  0.3960E+02  0.1276E-02  0.1090E-01  0.3026E-01  0.3721E-05  0.3602E-01  0.2545E+00  0.8789E+00  0.1041E-01  0.7387E+00 -0.2691E-01  0.1625E+06  0.1625E+06  0.1625E+06  0.1848E-02  0.3226E-01  0.3497E-09  0.2696E+00  0.9497E-09  0.3066E-01 -0.6140E-01 -0.2789E-01 -0.8499E-01  0.5625E-02  0.1059E+00  0.3624E+00
    24  0.4140E+02  0.1269E-02  0.1070E-01  0.2986E-01  0.3530E-05  0.6954E-01  0.2525E+00  0.8587E+00 -0.2920E-02  0.7466E+00 -0.7253E-02  0.1614E+06  0.1614E+06  0.1614E+06  0.3693E-02  0.3182E-01  0.3501E-09  0.2793E+00  0.6779E-09  0.3014E-01 -0.6609E-01 -0.2550E-01 -0.8005E-01  0.2591E-01  0.1012E+00  0.4011E+00
    25  0.4320E+02  0.1281E-02  0.1064E-01  0.2929E-01  0.3377E-05  0.9952E-01  0.2504E+00  0.8492E+00  0.9244E-02  0.7403E+00  0.2853E-01  0.1607E+06  0.1607E+06  0.1607E+06  0.8781E-02  0.3159E-01  0.3467E-09  0.2867E+00  0.4360E-09  0.2982E-01 -0.6382E-01 -0.2654E-01 -0.1116E+00  0.2846E-01  0.1210E+00  0.3878E+00
    26  0.4500E+02  0.1275E-02  0.1045E-01  0.2838E-01  0.3183E-05  0.1275E+00  0.2485E+00  0.8453E+00  0.1080E-01  0.7286E+00  0.1259E-01  0.1598E+06  0.1598E+06  0.1598E+06  0.8492E-02  0.3112E-01  0.3400E-09  0.2838E+00  0.2720E-09  0.2944E-01 -0.6114E-01 -0.2809E-01 -0.9778E-01  0.4513E-02  0.1154E+00  0.3728E+00
    27  0.4680E+02  0.1273E-02  0.1026E-01  0.2727E-01  0.2958E-05  0.1508E+00  0.2473E+00  0.8436E+00  0.1042E-01  0.7280E+00  0.3754E-02  0.1587E+06  0.1587E+06  0.1587E+06  0.9678E-02  0.3041E-01  0.3341E-09  0.2806E+00  0.7010E-10  0.2877E-01 -0.6459E-01 -0.2663E-01 -0.8692E-01  0.1402E-01  0.1108E+00  0.4140E+00
    28  0.4860E+02  0.1284E-02  0.1012E-01  0.2664E-01  0.2773E-05  0.1782E+00  0.2461E+00  0.8312E+00  0.2909E-02  0.7178E+00 -0.2520E-01  0.1580E+06  0.1580E+06  0.1580E+06  0.1322E-01  0.2991E-01  0.3289E-09  0.2570E+00 -0.7757E-10  0.2855E-01 -0.6045E-01 -0.2618E-01 -0.1001E+00  0.2504E-01  0.1087E+00  0.3784E+00
    29  0.5040E+02  0.1273E-02  0.9994E-02  0.2569E-01  0.2604E-05  0.1992E+00  0.2457E+00  0.8281E+00  0.1011E-01  0.7520E+00 -0.5043E-01  0.1570E+06  0.1570E+06  0.1570E+06  0.1311E-01  0.2858E-01  0.3310E-09  0.2386E+00 -0.2743E-10  0.2739E-01 -0.6205E-01 -0.2841E-01 -0.1008E+00  0.1916E-01  0.1134E+00  0.4397E+00
    30  0.5220E+02  0.1278E-02  0.9791E-02  0.2484E-01  0.2416E-05  0.2239E+00  0.2453E+00  0.8256E+00  0.2479E-01  0.7822E+00 -0.3150E-01  0.1558E+06  0.1558E+06  0.1558E+06  0.1475E-01  0.2740E-01  0.3323E-09  0.2237E+00  0.3175E-10  0.2636E-01 -0.6467E-01 -0.2715E-01 -0.9823E-01  0.1134E-01  0.1146E+00  0.5003E+00
    31  0.5400E+02  0.1284E-02  0.9583E-02  0.2431E-01  0.2278E-05  0.2425E+00  0.2449E+00  0.8300E+00  0.1377E-01  0.7889E+00 -0.2719E-02  0.1550E+06  0.1550E+06  0.1550E+06  0.1674E-01  0.2694E-01  0.3305E-09  0.2243E+00  0.2108E-09  0.2593E-01 -0.5974E-01 -0.2726E-01 -0.8455E-01  0.2793E-01  0.1048E+00  0.4524E+00
    32  0.5580E+02  0.1272E-02  0.9487E-02  0.2347E-01  0.2129E-05  0.2610E+00  0.2448E+00  0.8204E+00  0.9841E-02  0.7770E+00  0.3147E-01  0.1540E+06  0.1540E+06  0.1540E+06  0.1571E-01  0.2654E-01  0.3227E-09  0.2084E+00  0.4527E-09  0.2568E-01 -0.6295E-01 -0.2835E-01 -0.1030E+00  0.2010E-01  0.1093E+00  0.5124E+00
    33  0.5760E+02  0.1283E-02  0.9332E-02  0.2288E-01  0.2008E-05  0.2774E+00  0.2442E+00  0.8174E+00  0.2459E-01  0.7550E+00  0.2631E-01  0.1533E+06  0.1533E+06  0.1533E+06  0.1814E-01  0.2653E-01  0.3149E-09  0.2130E+00  0.6569E-09  0.2567E-01 -0.6428E-01 -0.2693E-01 -0.1096E+00  0.1103E-01  0.1191E+00  0.5221E+00
    34  0.5940E+02  0.1281E-02  0.9150E-02  0.2199E-01  0.1872E-05  0.2890E+00  0.2440E+00  0.8214E+00  0.1825E-01  0.7414E+00  0.1017E-01  0.1523E+06  0.1523E+06  0.1523E+06  0.1885E-01  0.2626E-01  0.3068E-09  0.2194E+00  0.9326E-09  0.2538E-01 -0.5912E-01 -0.2818E-01 -0.9194E-01  0.2506E-01  0.1100E+00  0.4693E+00
    35  0.6120E+02  0.1274E-02  0.8990E-02  0.2159E-01  0.1781E-05  0.3040E+00  0.2433E+00  0.8091E+00  0.2274E-01  0.7280E+00  0.1820E-01  0.1515E+06  0.1515E+06  0.1515E+06  0.1749E-01  0.2629E-01  0.3020E-09  0.2348E+00  0.9926E-09  0.2533E-01 -0.6306E-01 -0.2837E-01 -0.8774E-01  0.2371E-01  0.1040E+00  0.5161E+00
    36  0.6300E+02  0.1287E-02  0.8891E-02  0.2094E-01  0.1685E-05  0.3137E+00  0.2423E+00  0.8160E+00  0.1588E-01  0.7290E+00  0.3598E-02  0.1507E+06  0.1507E+06  0.1507E+06  0.1986E-01  0.2598E-01  0.2986E-09  0.2574E+00  0.1105E-08  0.2486E-01 -0.6236E-01 -0.2691E-01 -0.1229E+00  0.1269E-01  0.1404E+00  0.5144E+00
    37  0.6480E+02  0.1278E-02  0.8735E-02  0.2055E-01  0.1628E-05  0.3220E+00  0.2411E+00  0.7929E+00  0.1235E-01  0.7329E+00 -0.1228E-01  0.1501E+06  0.1501E+06  0.1501E+06  0.1965E-01  0.2573E-01  0.2980E-09  0.2743E+00  0.1229E-08  0.2448E-01 -0.5965E-01 -0.2887E-01 -0.8531E-01  0.2543E-01  0.1133E+00  0.4903E+00
    38  0.6660E+02  0.1279E-02  0.8565E-02  0.2016E-01  0.1543E-05  0.3295E+00  0.2397E+00  0.7949E+00  0.3007E-01  0.7421E+00 -0.4294E-02  0.1492E+06  0.1492E+06  0.1492E+06  0.1863E-01  0.2537E-01  0.2976E-09  0.2934E+00  0.1120E-08  0.2400E-01 -0.6148E-01 -0.2825E-01 -0.8107E-01  0.1575E-01  0.1234E+00  0.5212E+00
    39  0.6840E+02  0.1287E-02  0.8447E-02  0.1951E-01  0.1450E-05  0.3291E+00  0.2384E+00  0.7928E+00  0.4535E-02  0.7399E+00  0.7324E-02  0.1486E+06  0.1486E+06  0.1486E+06  0.1954E-01  0.2508E-01  0.2929E-09  0.3136E+00  0.9152E-09  0.2356E-01 -0.5989E-01 -0.2744E-01 -0.1085E+00  0.2221E-01  0.1381E+00  0.5049E+00
    40  0.7020E+02  0.1276E-02  0.8337E-02  0.1888E-01  0.1368E-05  0.3296E+00  0.2371E+00  0.7704E+00  0.1837E-01  0.7374E+00  0.2488E-01  0.1479E+06  0.1479E+06  0.1479E+06  0.1880E-01  0.2460E-01  0.2882E-09  0.3079E+00  0.7003E-09  0.2314E-01 -0.5989E-01 -0.2910E-01 -0.9823E-01  0.2023E-01  0.1281E+00  0.5273E+00
    41  0.7200E+02  0.1285E-02  0.8149E-02  0.1854E-01  0.1286E-05  0.3284E+00  0.2361E+00  0.7745E+00  0.3542E-01  0.7276E+00 -0.7836E-03  0.1474E+06  0.1474E+06  0.1474E+06  0.1823E-01  0.2440E-01  0.2844E-09  0.3074E+00  0.5711E-09  0.2301E-01 -0.6000E-01 -0.2844E-01 -0.7892E-01  0.1799E-01  0.1208E+00  0.5276E+00
    42  0.7380E+02  0.1285E-02  0.8057E-02  0.1781E-01  0.1201E-05  0.3239E+00  0.2356E+00  0.7763E+00  0.5500E-02  0.7220E+00 -0.6277E-02  0.1467E+06  0.1467E+06  0.1467E+06  0.1805E-01  0.2391E-01  0.2779E-09  0.2957E+00  0.4539E-09  0.2261E-01 -0.5808E-01 -0.2831E-01 -0.9508E-01  0.2472E-01  0.1223E+00  0.5188E+00
    43  0.7560E+02  0.1277E-02  0.7950E-02  0.1724E-01  0.1128E-05  0.3168E+00  0.2352E+00  0.7606E+00  0.1447E-01  0.7300E+00 -0.4000E-02  0.1461E+06  0.1461E+06  0.1461E+06  0.1698E-01  0.2332E-01  0.2752E-09  0.2873E+00  0.4057E-09  0.2210E-01 -0.6065E-01 -0.2929E-01 -0.1040E+00  0.1662E-01  0.1268E+00  0.5881E+00
