 #NTuple/Z0                                                                      
 output from Ecalc9f version   2.09
  settings: 
    particle type:            2
    pzmin/pzmax:    0.0000000000000000      /   100.00000000000000     
    transverse cuts:    0.0000000000000000        0.0000000000000000     
    longitudinal cut:    0.0000000000000000     
    RF frequency (MHz):    1056.0000000000000     
    sigma cut:    4.0000000000000000     
    subtract out amplitude correlation
    wrnew9 =  F

regn #   Z           Bz          eperp       elong       e6D         Ldim        Pzavg       beta        alpha       betaL       alphaL      n0          n1          n2          Lcan(eVs)   sigmaE      sigmaT      corrE       corrT       sigmaE_c    xavg        yavg        Dx          Dy          Dr          Dr2
     1  0.0000E+00 -0.8132E-16  0.1843E-03  0.1720E-02  0.5994E-10  0.2637E-01  0.2044E+00  0.2084E-01  0.4412E-01  0.5330E+00 -0.1367E-01  0.1713E+05  0.1713E+05  0.1713E+05  0.8121E-05  0.7691E-02  0.8191E-10  0.2967E+01  0.7644E-08  0.7416E-02 -0.1228E-02 -0.1347E-02 -0.6789E-02 -0.1294E-03  0.6258E-02  0.3032E-02
     2  0.6000E+00 -0.4066E-15  0.1872E-03  0.1731E-02  0.6196E-10  0.1741E-01  0.2040E+00  0.1507E-01  0.1755E+00  0.5304E+00 -0.8921E-02  0.1710E+05  0.1710E+05  0.1710E+05  0.5310E-04  0.7705E-02  0.8212E-10  0.2743E+01  0.8049E-08  0.7449E-02 -0.1262E-02 -0.1258E-02 -0.5994E-02  0.1389E-03  0.6231E-02  0.2887E-02
     3  0.1200E+01  0.2711E-16  0.1933E-03  0.1711E-02  0.6580E-10  0.1480E-01  0.2041E+00  0.1523E-01  0.2185E-01  0.5362E+00 -0.4095E-02  0.1701E+05  0.1701E+05  0.1701E+05 -0.2590E-04  0.7636E-02  0.8212E-10  0.2694E+01  0.8868E-08  0.7366E-02 -0.1317E-02 -0.1258E-02 -0.5030E-02 -0.7175E-03  0.3283E-02  0.3051E-02
     4  0.1800E+01  0.1491E-14  0.1926E-03  0.1684E-02  0.6468E-10  0.1503E-01  0.2043E+00  0.1617E-01  0.3331E-01  0.5395E+00  0.8914E-02  0.1693E+05  0.1693E+05  0.1693E+05 -0.2644E-04  0.7622E-02  0.8165E-10  0.3018E+01  0.8730E-08  0.7291E-02 -0.1240E-02 -0.1324E-02 -0.5885E-02 -0.4085E-03  0.4734E-02  0.3051E-02
     5  0.2400E+01 -0.1653E-14  0.1897E-03  0.1681E-02  0.6207E-10  0.1218E-01  0.2045E+00  0.1576E-01  0.6080E-01  0.5290E+00  0.1088E-01  0.1685E+05  0.1685E+05  0.1685E+05  0.2945E-04  0.7653E-02  0.8079E-10  0.2931E+01  0.1003E-07  0.7361E-02 -0.1256E-02 -0.1285E-02 -0.6758E-02  0.5355E-03  0.4880E-02  0.2975E-02
     6  0.3000E+01 -0.8945E-15  0.1897E-03  0.1687E-02  0.6240E-10  0.1042E-01  0.2047E+00  0.1573E-01  0.4329E-01  0.5220E+00  0.5694E-02  0.1680E+05  0.1680E+05  0.1680E+05 -0.9716E-05  0.7700E-02  0.8046E-10  0.2800E+01  0.1172E-07  0.7430E-02 -0.1317E-02 -0.1272E-02 -0.5562E-02 -0.5253E-03  0.4158E-02  0.3054E-02
     7  0.3600E+01 -0.1111E-14  0.1878E-03  0.1667E-02  0.6089E-10  0.1108E-01  0.2050E+00  0.1577E-01  0.6731E-01  0.5199E+00  0.2210E-02  0.1670E+05  0.1670E+05  0.1670E+05 -0.1292E-04  0.7711E-02  0.7975E-10  0.3034E+01  0.1164E-07  0.7408E-02 -0.1293E-02 -0.1298E-02 -0.5356E-02 -0.4344E-03  0.4226E-02  0.3052E-02
     8  0.4200E+01  0.2168E-15  0.1884E-03  0.1658E-02  0.6067E-10  0.8175E-02  0.2052E+00  0.1538E-01  0.6387E-01  0.5164E+00  0.9757E-04  0.1663E+05  0.1663E+05  0.1663E+05 -0.7738E-05  0.7729E-02  0.7914E-10  0.3100E+01  0.1065E-07  0.7416E-02 -0.1282E-02 -0.1290E-02 -0.6251E-02  0.2347E-03  0.3999E-02  0.2997E-02
     9  0.4800E+01 -0.1626E-15  0.1881E-03  0.1649E-02  0.6015E-10  0.5872E-02  0.2053E+00  0.1540E-01  0.4557E-01  0.5153E+00 -0.5897E-02  0.1656E+05  0.1656E+05  0.1656E+05 -0.5621E-05  0.7722E-02  0.7881E-10  0.3095E+01  0.1079E-07  0.7410E-02 -0.1304E-02 -0.1286E-02 -0.6178E-02 -0.5251E-03  0.4357E-02  0.3051E-02
    10  0.5400E+01 -0.2439E-15  0.1877E-03  0.1640E-02  0.6001E-10  0.6551E-02  0.2055E+00  0.1542E-01  0.5581E-01  0.5161E+00 -0.8517E-02  0.1649E+05  0.1649E+05  0.1649E+05 -0.1050E-04  0.7717E-02  0.7863E-10  0.3161E+01  0.1096E-07  0.7388E-02 -0.1314E-02 -0.1288E-02 -0.5301E-02 -0.2482E-04  0.3782E-02  0.3086E-02
