 #NTuple/Z0                                                                      
 output from Ecalc9f version   2.09
  settings: 
    particle type:            2
    pzmin/pzmax:    0.0000000000000000      /   100.00000000000000     
    transverse cuts:    0.0000000000000000        0.0000000000000000     
    longitudinal cut:    0.0000000000000000     
    RF frequency (MHz):    352.00000000000000     
    sigma cut:    4.0000000000000000     
    subtract out amplitude correlation
    wrnew9 =  F

regn #   Z           Bz          eperp       elong       e6D         Ldim        Pzavg       beta        alpha       betaL       alphaL      n0          n1          n2          Lcan(eVs)   sigmaE      sigmaT      corrE       corrT       sigmaE_c    xavg        yavg        Dx          Dy          Dr          Dr2
     1  0.0000E+00  0.0000E+00  0.2909E-02  0.8589E-02  0.7426E-07  0.1396E-01  0.2083E+00  0.3804E+00  0.2041E+00  0.8774E+00  0.4084E-01  0.4620E+05  0.4620E+05  0.4620E+05  0.4349E-03  0.1351E-01  0.2315E-09  0.3327E+00  0.1033E-08  0.1310E-01 -0.6416E-02 -0.1796E-02 -0.4823E-01  0.5060E-02  0.6256E-01  0.1871E-01
     2  0.1800E+01  0.1084E-15  0.2870E-02  0.8561E-02  0.7176E-07  0.1247E-01  0.2087E+00  0.3417E+00  0.2924E+00  0.8315E+00  0.4895E-01  0.4609E+05  0.4609E+05  0.4609E+05  0.2993E-03  0.1387E-01  0.2253E-09  0.3384E+00  0.2030E-08  0.1346E-01 -0.8653E-02 -0.1461E-02 -0.5708E-01 -0.8929E-03  0.7626E-01  0.2830E-01
     3  0.3600E+01 -0.5421E-16  0.2804E-02  0.8528E-02  0.6849E-07  0.1512E-01  0.2088E+00  0.3088E+00  0.2019E+00  0.8027E+00  0.1858E-01  0.4592E+05  0.4592E+05  0.4592E+05  0.3409E-03  0.1409E-01  0.2215E-09  0.3568E+00  0.2649E-08  0.1366E-01 -0.6297E-02 -0.2194E-02 -0.5558E-01  0.1932E-02  0.7018E-01  0.1764E-01
     4  0.5400E+01  0.1084E-15  0.2770E-02  0.8424E-02  0.6621E-07  0.1538E-01  0.2085E+00  0.3205E+00  0.1247E+00  0.8030E+00 -0.2533E-01  0.4577E+05  0.4577E+05  0.4577E+05  0.4877E-03  0.1406E-01  0.2209E-09  0.3901E+00  0.3135E-08  0.1357E-01 -0.7919E-02 -0.1271E-02 -0.6738E-01 -0.6752E-02  0.6481E-01  0.2288E-01
     5  0.7200E+01  0.5421E-16  0.2696E-02  0.8358E-02  0.6363E-07  0.2204E-01  0.2078E+00  0.3353E+00  0.1214E+00  0.8242E+00 -0.3025E-01  0.4561E+05  0.4561E+05  0.4561E+05  0.3836E-03  0.1390E-01  0.2239E-09  0.4355E+00  0.3567E-08  0.1331E-01 -0.6968E-02 -0.1830E-02 -0.4178E-01  0.1472E-02  0.6709E-01  0.1976E-01
     6  0.9000E+01  0.1084E-15  0.2679E-02  0.8298E-02  0.6248E-07  0.2531E-01  0.2066E+00  0.3492E+00  0.1483E+00  0.8349E+00 -0.8440E-02  0.4548E+05  0.4548E+05  0.4548E+05  0.6321E-03  0.1387E-01  0.2251E-09  0.4935E+00  0.3308E-08  0.1311E-01 -0.6805E-02 -0.1872E-02 -0.6641E-01 -0.5419E-02  0.8801E-01  0.2067E-01
     7  0.1080E+02  0.5421E-16  0.2638E-02  0.8289E-02  0.6102E-07  0.2836E-01  0.2054E+00  0.3493E+00  0.1843E+00  0.8236E+00  0.1635E-01  0.4534E+05  0.4534E+05  0.4534E+05  0.5481E-03  0.1403E-01  0.2236E-09  0.5399E+00  0.2691E-08  0.1314E-01 -0.6619E-02 -0.1036E-02 -0.4849E-01  0.5065E-02  0.9127E-01  0.1915E-01
     8  0.1260E+02 -0.5421E-16  0.2609E-02  0.8146E-02  0.5860E-07  0.3001E-01  0.2045E+00  0.3431E+00  0.2197E+00  0.8039E+00  0.1488E-01  0.4521E+05  0.4521E+05  0.4521E+05  0.5983E-03  0.1410E-01  0.2190E-09  0.5673E+00  0.1836E-08  0.1315E-01 -0.6287E-02 -0.2456E-02 -0.6344E-01 -0.2617E-02  0.8969E-01  0.1916E-01
     9  0.1440E+02  0.0000E+00  0.2563E-02  0.7992E-02  0.5547E-07  0.3355E-01  0.2041E+00  0.3271E+00  0.2108E+00  0.8026E+00 -0.4664E-02  0.4504E+05  0.4504E+05  0.4504E+05  0.7938E-03  0.1394E-01  0.2166E-09  0.5601E+00  0.8299E-09  0.1301E-01 -0.6234E-02 -0.8012E-03 -0.4943E-01 -0.6928E-03  0.8587E-01  0.1738E-01
    10  0.1620E+02 -0.5421E-16  0.2547E-02  0.7801E-02  0.5295E-07  0.3400E-01  0.2043E+00  0.3262E+00  0.1820E+00  0.8179E+00 -0.2272E-01  0.4491E+05  0.4491E+05  0.4491E+05  0.5747E-03  0.1359E-01  0.2157E-09  0.5291E+00  0.1766E-10  0.1275E-01 -0.6690E-02 -0.1844E-02 -0.6490E-01 -0.5554E-02  0.8535E-01  0.2046E-01
    11  0.1800E+02 -0.5421E-16  0.2512E-02  0.7698E-02  0.5085E-07  0.3758E-01  0.2050E+00  0.3346E+00  0.1672E+00  0.8446E+00 -0.2061E-01  0.4476E+05  0.4476E+05  0.4476E+05  0.8462E-03  0.1320E-01  0.2172E-09  0.4814E+00 -0.1205E-09  0.1249E-01 -0.6253E-02 -0.1861E-02 -0.4305E-01  0.1710E-02  0.7764E-01  0.1917E-01
    12  0.1980E+02  0.5421E-16  0.2489E-02  0.7597E-02  0.4822E-07  0.3575E-01  0.2059E+00  0.3489E+00  0.2086E+00  0.8581E+00 -0.2039E-02  0.4463E+05  0.4463E+05  0.4463E+05  0.6754E-03  0.1284E-01  0.2168E-09  0.4028E+00  0.1191E-09  0.1235E-01 -0.7410E-02 -0.1047E-02 -0.6279E-01  0.1950E-02  0.7291E-01  0.2401E-01
    13  0.2160E+02  0.0000E+00  0.2460E-02  0.7548E-02  0.4650E-07  0.3762E-01  0.2068E+00  0.3416E+00  0.2404E+00  0.8538E+00  0.1998E-01  0.4453E+05  0.4453E+05  0.4453E+05  0.7110E-03  0.1279E-01  0.2151E-09  0.3677E+00  0.7974E-09  0.1238E-01 -0.6492E-02 -0.2502E-02 -0.5542E-01 -0.5430E-02  0.7034E-01  0.2138E-01
    14  0.2340E+02 -0.1084E-15  0.2440E-02  0.7477E-02  0.4521E-07  0.3790E-01  0.2074E+00  0.3308E+00  0.2257E+00  0.8329E+00  0.3260E-01  0.4442E+05  0.4442E+05  0.4442E+05  0.8408E-03  0.1285E-01  0.2114E-09  0.3408E+00  0.1674E-08  0.1250E-01 -0.7677E-02 -0.8116E-03 -0.5861E-01  0.1936E-02  0.6878E-01  0.2477E-01
    15  0.2520E+02  0.2168E-15  0.2401E-02  0.7411E-02  0.4358E-07  0.4112E-01  0.2077E+00  0.3303E+00  0.1922E+00  0.8132E+00  0.2376E-01  0.4425E+05  0.4425E+05  0.4425E+05  0.6372E-03  0.1297E-01  0.2084E-09  0.3525E+00  0.2582E-08  0.1261E-01 -0.7104E-02 -0.2297E-02 -0.4898E-01 -0.5514E-02  0.6057E-01  0.2261E-01
    16  0.2700E+02 -0.5421E-16  0.2385E-02  0.7286E-02  0.4247E-07  0.4074E-01  0.2075E+00  0.3397E+00  0.1933E+00  0.8009E+00  0.6742E-02  0.4411E+05  0.4411E+05  0.4411E+05  0.8991E-03  0.1302E-01  0.2060E-09  0.3872E+00  0.3302E-08  0.1259E-01 -0.7230E-02 -0.1540E-02 -0.6680E-01  0.6116E-02  0.6640E-01  0.2254E-01
    17  0.2880E+02  0.1626E-15  0.2355E-02  0.7214E-02  0.4159E-07  0.4038E-01  0.2070E+00  0.3401E+00  0.1999E+00  0.8012E+00  0.7226E-02  0.4398E+05  0.4398E+05  0.4398E+05  0.6576E-03  0.1305E-01  0.2055E-09  0.4438E+00  0.3388E-08  0.1250E-01 -0.6934E-02 -0.1446E-02 -0.4718E-01 -0.7459E-02  0.7168E-01  0.2127E-01
    18  0.3060E+02 -0.1084E-15  0.2333E-02  0.7080E-02  0.4042E-07  0.4374E-01  0.2060E+00  0.3396E+00  0.2099E+00  0.7943E+00  0.2354E-01  0.4385E+05  0.4385E+05  0.4385E+05  0.8311E-03  0.1311E-01  0.2030E-09  0.5098E+00  0.3080E-08  0.1240E-01 -0.7080E-02 -0.2100E-02 -0.6103E-01 -0.4161E-03  0.7998E-01  0.2294E-01
    19  0.3240E+02 -0.1084E-15  0.2305E-02  0.7022E-02  0.3928E-07  0.4257E-01  0.2050E+00  0.3329E+00  0.2121E+00  0.7797E+00  0.2646E-01  0.4377E+05  0.4377E+05  0.4377E+05  0.7653E-03  0.1323E-01  0.2005E-09  0.5489E+00  0.2536E-08  0.1242E-01 -0.6251E-02 -0.1113E-02 -0.5144E-01 -0.3274E-02  0.7763E-01  0.1799E-01
    20  0.3420E+02 -0.1084E-15  0.2289E-02  0.6870E-02  0.3795E-07  0.4423E-01  0.2042E+00  0.3266E+00  0.1967E+00  0.7675E+00  0.1600E-01  0.4365E+05  0.4365E+05  0.4365E+05  0.7508E-03  0.1322E-01  0.1967E-09  0.5668E+00  0.1710E-08  0.1234E-01 -0.6633E-02 -0.1983E-02 -0.6081E-01  0.5427E-03  0.8219E-01  0.2056E-01
    21  0.3600E+02 -0.1084E-15  0.2264E-02  0.6779E-02  0.3668E-07  0.4371E-01  0.2039E+00  0.3278E+00  0.1765E+00  0.7724E+00 -0.7812E-03  0.4354E+05  0.4354E+05  0.4354E+05  0.8313E-03  0.1304E-01  0.1958E-09  0.5532E+00  0.9082E-09  0.1221E-01 -0.6329E-02 -0.1552E-02 -0.4741E-01 -0.3453E-02  0.7661E-01  0.1884E-01
    22  0.3780E+02  0.2168E-15  0.2252E-02  0.6701E-02  0.3544E-07  0.4560E-01  0.2040E+00  0.3357E+00  0.1863E+00  0.7911E+00 -0.1331E-01  0.4346E+05  0.4346E+05  0.4346E+05  0.7690E-03  0.1273E-01  0.1968E-09  0.5117E+00  0.2729E-09  0.1200E-01 -0.6309E-02 -0.1295E-02 -0.6295E-01  0.8406E-03  0.7767E-01  0.1938E-01
