 #NTuple/Z0                                                                      
 output from Ecalc9f version   2.09
  settings: 
    particle type:            2
    pzmin/pzmax:    0.0000000000000000      /   100.00000000000000     
    transverse cuts:    0.0000000000000000        0.0000000000000000     
    longitudinal cut:    0.0000000000000000     
    RF frequency (MHz):    1056.0000000000000     
    sigma cut:    4.0000000000000000     
    subtract out amplitude correlation
    wrnew9 =  F

regn #   Z           Bz          eperp       elong       e6D         Ldim        Pzavg       beta        alpha       betaL       alphaL      n0          n1          n2          Lcan(eVs)   sigmaE      sigmaT      corrE       corrT       sigmaE_c    xavg        yavg        Dx          Dy          Dr          Dr2
     1  0.0000E+00 -0.1084E-15  0.3651E-03  0.1926E-02  0.2686E-09  0.2880E+00  0.2029E+00  0.3920E-01  0.3260E-01  0.3831E+00 -0.2148E-02  0.2454E+05  0.2454E+05  0.2454E+05  0.7276E-03  0.9765E-02  0.7385E-10  0.2243E+01  0.2989E-08  0.9207E-02 -0.9608E-03 -0.9874E-03 -0.1019E-01 -0.1198E-02  0.8702E-02  0.1131E-02
     2  0.6000E+00 -0.9758E-15  0.3683E-03  0.1973E-02  0.2781E-09  0.2840E+00  0.2023E+00  0.2480E-01  0.1009E+00  0.3851E+00 -0.8294E-01  0.2453E+05  0.2453E+05  0.2453E+05  0.7426E-03  0.9772E-02  0.7529E-10  0.2032E+01  0.4730E-08  0.9307E-02 -0.1065E-02 -0.9862E-03 -0.8155E-02 -0.2630E-04  0.1141E-01  0.1255E-02
     3  0.1200E+01 -0.1409E-14  0.3752E-03  0.1979E-02  0.2961E-09  0.2768E+00  0.2028E+00  0.2969E-01 -0.4579E-01  0.4200E+00 -0.1528E+00  0.2443E+05  0.2443E+05  0.2443E+05  0.7072E-03  0.9458E-02  0.7919E-10  0.1880E+01  0.7933E-08  0.9015E-02 -0.1215E-02 -0.1072E-02 -0.5488E-02  0.4012E-03  0.5806E-02  0.1603E-02
     4  0.1800E+01  0.7589E-15  0.3671E-03  0.1973E-02  0.2856E-09  0.2804E+00  0.2032E+00  0.3086E-01  0.3113E-01  0.4636E+00 -0.1617E+00  0.2434E+05  0.2434E+05  0.2434E+05  0.7010E-03  0.9134E-02  0.8287E-10  0.2129E+01  0.8299E-08  0.8592E-02 -0.1069E-02 -0.1027E-02 -0.7001E-02 -0.3599E-03  0.1301E-01  0.1509E-02
     5  0.2400E+01  0.3253E-15  0.3652E-03  0.2004E-02  0.2889E-09  0.2798E+00  0.2036E+00  0.3019E-01  0.6456E-01  0.4991E+00 -0.1480E+00  0.2429E+05  0.2429E+05  0.2429E+05  0.7141E-03  0.8917E-02  0.8689E-10  0.2172E+01  0.1018E-07  0.8340E-02 -0.1044E-02 -0.9673E-03 -0.8439E-02  0.4758E-03  0.1264E-01  0.1460E-02
     6  0.3000E+01  0.1301E-14  0.3631E-03  0.2015E-02  0.2887E-09  0.2778E+00  0.2040E+00  0.2931E-01  0.2802E-01  0.5226E+00 -0.1022E+00  0.2420E+05  0.2420E+05  0.2420E+05  0.6993E-03  0.8772E-02  0.8905E-10  0.2270E+01  0.1055E-07  0.8138E-02 -0.1202E-02 -0.1057E-02 -0.8089E-02 -0.1116E-02  0.1179E-01  0.1875E-02
     7  0.3600E+01 -0.1301E-14  0.3593E-03  0.2008E-02  0.2847E-09  0.2786E+00  0.2045E+00  0.3030E-01  0.2546E-01  0.5300E+00 -0.3627E-01  0.2410E+05  0.2410E+05  0.2410E+05  0.6897E-03  0.8765E-02  0.8924E-10  0.2446E+01  0.1016E-07  0.8043E-02 -0.1165E-02 -0.1026E-02 -0.6560E-02  0.3027E-03  0.1241E-01  0.1785E-02
     8  0.4200E+01 -0.6505E-15  0.3572E-03  0.2001E-02  0.2794E-09  0.2765E+00  0.2048E+00  0.2988E-01  0.4691E-01  0.5178E+00  0.2704E-01  0.2401E+05  0.2401E+05  0.2401E+05  0.6807E-03  0.8908E-02  0.8780E-10  0.2576E+01  0.9553E-08  0.8130E-02 -0.1113E-02 -0.9960E-03 -0.7297E-02  0.3778E-03  0.1288E-01  0.1617E-02
     9  0.4800E+01  0.6505E-15  0.3548E-03  0.2003E-02  0.2735E-09  0.2765E+00  0.2052E+00  0.2951E-01  0.3206E-01  0.4937E+00  0.6569E-01  0.2392E+05  0.2392E+05  0.2392E+05  0.6830E-03  0.9136E-02  0.8568E-10  0.2631E+01  0.9426E-08  0.8355E-02 -0.1201E-02 -0.1049E-02 -0.8908E-02 -0.8041E-03  0.1261E-01  0.1745E-02
    10  0.5400E+01  0.8674E-15  0.3526E-03  0.1997E-02  0.2709E-09  0.2768E+00  0.2056E+00  0.2955E-01  0.3410E-01  0.4654E+00  0.8669E-01  0.2386E+05  0.2386E+05  0.2386E+05  0.6732E-03  0.9416E-02  0.8295E-10  0.2685E+01  0.8965E-08  0.8617E-02 -0.1191E-02 -0.1013E-02 -0.5910E-02  0.5039E-03  0.1114E-01  0.1582E-02
