 #PostMerge Stage ALL                                                           
  
 output from Ecalc9f version   2.09
  settings: 
    particle type:            2
    pzmin/pzmax:   0.000000000000000E+000 /   100.000000000000     
    transverse cuts:   0.000000000000000E+000  0.000000000000000E+000
    longitudinal cut:   0.000000000000000E+000
    RF frequency (MHz):    325.000000000000     
    sigma cut:    4.00000000000000     
    subtract out amplitude correlation
    wrnew9 =  F
 
regn #   Z           Bz          eperp       elong       e6D         Ldim        Pzavg       beta        alpha       betaL       alphaL      n0          n1          n2          Lcan(eVs)   sigmaE      sigmaT      corrE       corrT       sigmaE_c    xavg        yavg        Dx          Dy          Dr          Dr2
     1  0.0000E+00  0.1592E-15  0.5128E-02  0.9912E-02  0.2603E-06 -0.2332E-01  0.2083E+00  0.3787E+00  0.7052E-02  0.8555E+00  0.2664E+00  0.3375E+05  0.3375E+05  0.3375E+05 -0.7918E-03  0.1475E-01  0.2454E-09  0.5309E-01 -0.5563E-09  0.1474E-01  0.2366E-02 -0.5905E-02 -0.6322E-02 -0.1561E-02 -0.9128E-02  0.9406E-02
    25  0.2750E+01 -0.5019E-12  0.5133E-02  0.9951E-02  0.2609E-06 -0.4965E-01  0.2121E+00  0.4864E+00  0.3367E-01  0.7499E+00 -0.4766E-01  0.3349E+05  0.3349E+05  0.3349E+05  0.2623E-03  0.1547E-01  0.2319E-09  0.4595E-01  0.3653E-08  0.1545E-01 -0.1773E-01 -0.8280E-02 -0.5738E-01  0.5200E-01  0.2135E-01  0.9289E-01
    45  0.5500E+01 -0.2290E-11  0.5118E-02  0.1024E-01  0.2814E-06 -0.2821E-01  0.2153E+00  0.4983E+00  0.1839E+00  0.1006E+01 -0.3493E+00  0.3337E+05  0.3337E+05  0.3337E+05 -0.4294E-02  0.1452E-01  0.2789E-09  0.9028E-01  0.6592E-08  0.1447E-01 -0.7969E-02 -0.2231E-01 -0.4127E-01 -0.8145E-01  0.9742E-01  0.1659E+00
    65  0.8250E+01 -0.3124E-11  0.5053E-02  0.1006E-01  0.2707E-06 -0.3297E-01  0.2167E+00  0.4915E+00  0.1979E+00  0.1362E+01 -0.2863E+00  0.3304E+05  0.3304E+05  0.3304E+05  0.1382E-02  0.1243E-01  0.3204E-09  0.1858E+00  0.7456E-08  0.1216E-01 -0.1309E-01 -0.1982E-01 -0.1121E+00  0.1179E+00  0.6946E-01  0.2241E+00
    85  0.1100E+02  0.0000E+00  0.4830E-02  0.9423E-02  0.2332E-06 -0.4079E-01  0.2160E+00  0.4617E+00  0.2049E+00  0.1327E+01  0.1207E+00  0.3239E+05  0.3239E+05  0.3239E+05 -0.3049E-02  0.1230E-01  0.2998E-09  0.3399E+00  0.5901E-08  0.1152E-01 -0.1344E-01 -0.1195E-01 -0.4271E-02 -0.1738E-01  0.1209E+00  0.1383E+00
   105  0.1375E+02  0.0000E+00  0.4718E-02  0.9099E-02  0.2110E-06 -0.3977E-01  0.2136E+00  0.4448E+00  0.1410E+00  0.9429E+00  0.3194E+00  0.3192E+05  0.3192E+05  0.3192E+05 -0.1615E-02  0.1490E-01  0.2472E-09  0.4279E+00  0.3847E-08  0.1389E-01 -0.1019E-01 -0.2644E-01 -0.7968E-01 -0.1621E-01  0.1001E+00  0.2190E+00
   125  0.1650E+02  0.0000E+00  0.4643E-02  0.9005E-02  0.2039E-06 -0.4520E-01  0.2115E+00  0.4585E+00  0.1234E+00  0.6772E+00  0.6443E-01  0.3168E+05  0.3168E+05  0.3168E+05 -0.7928E-03  0.1655E-01  0.2078E-09  0.4633E+00  0.2289E-08  0.1545E-01 -0.1201E-01 -0.1045E-01 -0.4653E-01  0.3247E-01  0.7243E-01  0.6015E-01
   145  0.1925E+02  0.0000E+00  0.4566E-02  0.9159E-02  0.2038E-06 -0.4611E-01  0.2098E+00  0.4539E+00  0.1530E+00  0.8529E+00 -0.2434E+00  0.3166E+05  0.3166E+05  0.3166E+05 -0.3407E-02  0.1524E-01  0.2345E-09  0.4340E+00  0.8055E-09  0.1418E-01 -0.9618E-02 -0.2085E-01 -0.5091E-01 -0.1888E-01  0.9861E-01  0.1376E+00
   165  0.2200E+02 -0.5651E-11  0.4485E-02  0.9042E-02  0.1943E-06 -0.4527E-01  0.2088E+00  0.4592E+00  0.1504E+00  0.1195E+01 -0.1574E+00  0.3163E+05  0.3163E+05  0.3163E+05 -0.6592E-03  0.1272E-01  0.2764E-09  0.3900E+00 -0.3511E-09  0.1167E-01 -0.1145E-01 -0.2147E-01 -0.7198E-01  0.4036E-01  0.9454E-01  0.2133E+00
   185  0.2475E+02 -0.1430E-10  0.4415E-02  0.8759E-02  0.1788E-06 -0.5835E-01  0.2089E+00  0.4485E+00  0.1657E+00  0.1208E+01  0.1520E+00  0.3148E+05  0.3148E+05  0.3148E+05 -0.2513E-02  0.1208E-01  0.2735E-09  0.3092E+00 -0.5788E-09  0.1142E-01 -0.8864E-02 -0.1060E-01 -0.7043E-01  0.2424E-01  0.8420E-01  0.8169E-01
   205  0.2750E+02 -0.2296E-10  0.4348E-02  0.8534E-02  0.1639E-06 -0.5345E-01  0.2101E+00  0.4421E+00  0.1263E+00  0.9277E+00  0.2472E+00  0.3131E+05  0.3131E+05  0.3131E+05 -0.1865E-02  0.1348E-01  0.2356E-09  0.2305E+00 -0.7571E-10  0.1315E-01 -0.1210E-01 -0.2562E-01 -0.6381E-01 -0.1359E-01  0.7171E-01  0.2546E+00
   225  0.3025E+02 -0.3161E-10  0.4274E-02  0.8384E-02  0.1538E-06 -0.6262E-01  0.2128E+00  0.4733E+00  0.1359E+00  0.7695E+00  0.1569E-01  0.3118E+05  0.3118E+05  0.3118E+05 -0.1654E-02  0.1420E-01  0.2114E-09  0.1775E+00  0.1286E-08  0.1402E-01 -0.1161E-01 -0.1416E-01 -0.4668E-01  0.5510E-01  0.3643E-01  0.9888E-01
   245  0.3300E+02 -0.3008E-10  0.4223E-02  0.8274E-02  0.1497E-06 -0.6242E-01  0.2149E+00  0.4850E+00  0.1904E+00  0.9396E+00 -0.1929E+00  0.3109E+05  0.3109E+05  0.3109E+05 -0.2522E-02  0.1314E-01  0.2330E-09  0.1880E+00  0.3027E-08  0.1292E-01 -0.1009E-01 -0.1786E-01 -0.7147E-01 -0.5873E-01  0.9189E-01  0.1507E+00
   265  0.3575E+02 -0.9393E-11  0.4154E-02  0.8260E-02  0.1489E-06 -0.5876E-01  0.2152E+00  0.4734E+00  0.1714E+00  0.1133E+01 -0.1044E+00  0.3099E+05  0.3099E+05  0.3099E+05 -0.1511E-02  0.1207E-01  0.2572E-09  0.2635E+00  0.4199E-08  0.1162E-01 -0.1500E-01 -0.2120E-01 -0.6891E-01  0.7474E-01  0.7232E-01  0.2764E+00
   285  0.3850E+02  0.0000E+00  0.4100E-02  0.8156E-02  0.1457E-06 -0.6337E-01  0.2138E+00  0.4661E+00  0.1498E+00  0.1078E+01  0.1467E+00  0.3081E+05  0.3081E+05  0.3081E+05 -0.2402E-02  0.1262E-01  0.2498E-09  0.3568E+00  0.3889E-08  0.1185E-01 -0.8465E-02 -0.1382E-01 -0.3716E-01 -0.1309E-01  0.1050E+00  0.1057E+00
   305  0.4125E+02  0.0000E+00  0.4052E-02  0.8102E-02  0.1402E-06 -0.6053E-01  0.2113E+00  0.4656E+00  0.1433E+00  0.8370E+00  0.1727E+00  0.3061E+05  0.3061E+05  0.3061E+05 -0.1677E-02  0.1430E-01  0.2199E-09  0.4189E+00  0.2832E-08  0.1334E-01 -0.1307E-01 -0.2132E-01 -0.8050E-01  0.7083E-02  0.9394E-01  0.1829E+00
   325  0.4400E+02  0.0000E+00  0.3989E-02  0.8000E-02  0.1360E-06 -0.5988E-01  0.2093E+00  0.4550E+00  0.1474E+00  0.7519E+00 -0.3760E-01  0.3051E+05  0.3051E+05  0.3051E+05 -0.2384E-02  0.1470E-01  0.2068E-09  0.4359E+00  0.1566E-08  0.1370E-01 -0.1068E-01 -0.1694E-01 -0.4030E-01  0.1848E-01  0.8739E-01  0.1122E+00
   345  0.4675E+02  0.0000E+00  0.3949E-02  0.7899E-02  0.1315E-06 -0.6500E-01  0.2083E+00  0.4519E+00  0.1519E+00  0.9388E+00 -0.1399E+00  0.3047E+05  0.3047E+05  0.3047E+05 -0.2010E-02  0.1323E-01  0.2295E-09  0.4067E+00  0.4398E-09  0.1225E-01 -0.7469E-02 -0.1662E-01 -0.7315E-01  0.5671E-02  0.9893E-01  0.1153E+00
   365  0.4950E+02  0.0000E+00  0.3893E-02  0.7797E-02  0.1258E-06 -0.6247E-01  0.2082E+00  0.4501E+00  0.1416E+00  0.1070E+01  0.3386E-02  0.3039E+05  0.3039E+05  0.3039E+05 -0.1642E-02  0.1213E-01  0.2434E-09  0.3624E+00  0.7708E-10  0.1129E-01 -0.1418E-01 -0.2085E-01 -0.5378E-01  0.2157E-01  0.8997E-01  0.2476E+00
   385  0.5225E+02  0.0000E+00  0.3832E-02  0.7690E-02  0.1173E-06 -0.6406E-01  0.2094E+00  0.4547E+00  0.1431E+00  0.9784E+00  0.1382E+00  0.3026E+05  0.3026E+05  0.3026E+05 -0.2682E-02  0.1242E-01  0.2302E-09  0.2954E+00  0.1072E-09  0.1188E-01 -0.7940E-02 -0.1552E-01 -0.5244E-01  0.8506E-02  0.8141E-01  0.1180E+00
   405  0.5500E+02  0.0000E+00  0.3814E-02  0.7554E-02  0.1108E-06 -0.6176E-01  0.2112E+00  0.4671E+00  0.1476E+00  0.8554E+00  0.6717E-01  0.3016E+05  0.3016E+05  0.3016E+05 -0.1139E-02  0.1292E-01  0.2122E-09  0.2407E+00  0.6367E-09  0.1258E-01 -0.1139E-01 -0.1933E-01 -0.8516E-01 -0.1882E-02  0.7934E-01  0.1781E+00
   427  0.5700E+02  0.0000E+00  0.3909E-02  0.7639E-02  0.1195E-06 -0.5863E-01  0.2107E+00  0.3259E+00  0.5285E+00  0.8124E+00 -0.2723E-01  0.3006E+05  0.3006E+05  0.3006E+05 -0.2398E-02  0.1311E-01  0.2125E-09  0.1604E+00  0.3242E-08  0.1294E-01 -0.1328E-01 -0.1619E-01 -0.2930E-01  0.3046E-01  0.9637E-01  0.1528E+00
   445  0.5900E+02  0.0000E+00  0.3992E-02  0.7389E-02  0.1286E-06 -0.6619E-01  0.2105E+00  0.2350E+00  0.2673E+00  0.9076E+00 -0.8194E-01  0.2993E+05  0.2993E+05  0.2993E+05 -0.2444E-02  0.1256E-01  0.2305E-09  0.2528E+00  0.5721E-08  0.1207E-01 -0.9366E-02 -0.1688E-01 -0.6235E-01 -0.1275E-01  0.7758E-01  0.1395E+00
   463  0.6100E+02  0.0000E+00  0.4066E-02  0.7308E-02  0.1385E-06 -0.6053E-01  0.2107E+00  0.2487E+00  0.9530E-01  0.9792E+00 -0.4395E-01  0.2977E+05  0.2977E+05  0.2977E+05 -0.1376E-02  0.1264E-01  0.2407E-09  0.3640E+00  0.6287E-08  0.1154E-01 -0.1296E-01 -0.1695E-01 -0.6294E-01  0.1895E-01  0.4739E-01  0.1645E+00
   481  0.6300E+02  0.0000E+00  0.3999E-02  0.7260E-02  0.1384E-06 -0.6437E-01  0.2109E+00  0.2755E+00  0.1071E+00  0.9600E+00  0.3982E-01  0.2956E+05  0.2956E+05  0.2956E+05 -0.2821E-02  0.1331E-01  0.2365E-09  0.4595E+00  0.6051E-08  0.1161E-01 -0.1119E-01 -0.1629E-01 -0.3170E-01  0.4684E-02  0.6421E-01  0.1300E+00
   499  0.6500E+02  0.0000E+00  0.3911E-02  0.7328E-02  0.1327E-06 -0.6253E-01  0.2107E+00  0.2792E+00  0.1608E+00  0.8950E+00  0.3714E-01  0.2938E+05  0.2938E+05  0.2938E+05 -0.1685E-02  0.1422E-01  0.2248E-09  0.5432E+00  0.4979E-08  0.1208E-01 -0.1063E-01 -0.1701E-01 -0.7628E-01 -0.8424E-02  0.9560E-01  0.1204E+00
   517  0.6700E+02  0.0000E+00  0.3758E-02  0.7342E-02  0.1249E-06 -0.6584E-01  0.2106E+00  0.2674E+00  0.1784E+00  0.8729E+00 -0.1273E-01  0.2925E+05  0.2925E+05  0.2925E+05 -0.1929E-02  0.1456E-01  0.2177E-09  0.6049E+00  0.3908E-08  0.1223E-01 -0.1274E-01 -0.1619E-01 -0.3272E-01  0.1478E-01  0.7651E-01  0.1190E+00
   535  0.6900E+02  0.0000E+00  0.3672E-02  0.7210E-02  0.1158E-06 -0.7013E-01  0.2104E+00  0.2608E+00  0.1462E+00  0.9065E+00 -0.4809E-01  0.2912E+05  0.2912E+05  0.2912E+05 -0.2750E-02  0.1421E-01  0.2170E-09  0.6016E+00  0.2876E-08  0.1190E-01 -0.1084E-01 -0.1739E-01 -0.6325E-01  0.3015E-02  0.8155E-01  0.1240E+00
   553  0.7100E+02  0.0000E+00  0.3590E-02  0.7097E-02  0.1081E-06 -0.7043E-01  0.2103E+00  0.2706E+00  0.1213E+00  0.9512E+00  0.3014E-02  0.2902E+05  0.2902E+05  0.2902E+05 -0.1328E-02  0.1370E-01  0.2183E-09  0.5974E+00  0.1582E-08  0.1150E-01 -0.1100E-01 -0.1642E-01 -0.4346E-01  0.4524E-02  0.7651E-01  0.1231E+00
   571  0.7300E+02  0.0000E+00  0.3541E-02  0.7073E-02  0.1008E-06 -0.7230E-01  0.2101E+00  0.2823E+00  0.1657E+00  0.9232E+00  0.7403E-01  0.2893E+05  0.2893E+05  0.2893E+05 -0.2552E-02  0.1344E-01  0.2142E-09  0.5358E+00  0.8621E-09  0.1168E-01 -0.1280E-01 -0.1620E-01 -0.5234E-01  0.2771E-02  0.7275E-01  0.1382E+00
   589  0.7500E+02  0.0000E+00  0.3452E-02  0.6966E-02  0.9109E-07 -0.7447E-01  0.2098E+00  0.2707E+00  0.2105E+00  0.8557E+00  0.9570E-01  0.2884E+05  0.2884E+05  0.2884E+05 -0.2416E-02  0.1346E-01  0.2047E-09  0.4882E+00  0.3927E-09  0.1205E-01 -0.9770E-02 -0.1773E-01 -0.5829E-01  0.9604E-02  0.5758E-01  0.1313E+00
   607  0.7700E+02  0.0000E+00  0.3370E-02  0.6808E-02  0.8328E-07 -0.7686E-01  0.2097E+00  0.2503E+00  0.1508E+00  0.8073E+00  0.5388E-01  0.2876E+05  0.2876E+05  0.2876E+05 -0.1326E-02  0.1333E-01  0.1967E-09  0.4464E+00  0.6955E-09  0.1222E-01 -0.1222E-01 -0.1576E-01 -0.5296E-01  0.1421E-02  0.6223E-01  0.1300E+00
   625  0.7900E+02  0.0000E+00  0.3305E-02  0.6729E-02  0.7838E-07 -0.7727E-01  0.2098E+00  0.2654E+00  0.5783E-01  0.8109E+00 -0.1750E-01  0.2868E+05  0.2868E+05  0.2868E+05 -0.2953E-02  0.1302E-01  0.1965E-09  0.4019E+00  0.1385E-08  0.1212E-01 -0.1167E-01 -0.1702E-01 -0.4148E-01  0.1417E-02  0.4848E-01  0.1443E+00
   643  0.8100E+02  0.0000E+00  0.3269E-02  0.6628E-02  0.7522E-07 -0.7711E-01  0.2098E+00  0.2946E+00  0.1110E+00  0.8620E+00 -0.5834E-01  0.2860E+05  0.2860E+05  0.2860E+05 -0.1757E-02  0.1251E-01  0.2017E-09  0.3811E+00  0.2028E-08  0.1168E-01 -0.1043E-01 -0.1727E-01 -0.7199E-01  0.1275E-01  0.6014E-01  0.1500E+00
   661  0.8300E+02  0.0000E+00  0.3197E-02  0.6626E-02  0.7307E-07 -0.8268E-01  0.2096E+00  0.2877E+00  0.1772E+00  0.9189E+00 -0.3623E-01  0.2854E+05  0.2854E+05  0.2854E+05 -0.1976E-02  0.1218E-01  0.2097E-09  0.3994E+00  0.2938E-08  0.1129E-01 -0.1208E-01 -0.1578E-01 -0.4050E-01  0.1057E-02  0.7577E-01  0.1543E+00
   679  0.8500E+02  0.0000E+00  0.3150E-02  0.6527E-02  0.7071E-07 -0.8061E-01  0.2091E+00  0.2743E+00  0.1588E+00  0.9221E+00  0.2462E-01  0.2846E+05  0.2846E+05  0.2846E+05 -0.2559E-02  0.1220E-01  0.2102E-09  0.4387E+00  0.3683E-08  0.1117E-01 -0.1127E-01 -0.1744E-01 -0.6732E-01  0.3716E-02  0.8489E-01  0.1677E+00
   697  0.8700E+02  0.0000E+00  0.3088E-02  0.6539E-02  0.6889E-07 -0.8507E-01  0.2088E+00  0.2758E+00  0.1331E+00  0.8823E+00  0.5993E-01  0.2835E+05  0.2835E+05  0.2835E+05 -0.1775E-02  0.1262E-01  0.2059E-09  0.4935E+00  0.3666E-08  0.1143E-01 -0.1053E-01 -0.1667E-01 -0.4100E-01  0.7058E-02  0.6823E-01  0.1406E+00
   715  0.8900E+02  0.0000E+00  0.3055E-02  0.6507E-02  0.6705E-07 -0.8793E-01  0.2085E+00  0.2800E+00  0.1530E+00  0.8371E+00  0.3509E-01  0.2827E+05  0.2827E+05  0.2827E+05 -0.2271E-02  0.1296E-01  0.1998E-09  0.5171E+00  0.3350E-08  0.1168E-01 -0.1220E-01 -0.1618E-01 -0.6200E-01  0.5881E-02  0.7718E-01  0.1414E+00
   733  0.9100E+02  0.0000E+00  0.2992E-02  0.6475E-02  0.6433E-07 -0.8954E-01  0.2084E+00  0.2751E+00  0.1507E+00  0.8347E+00 -0.2374E-01  0.2818E+05  0.2818E+05  0.2818E+05 -0.2590E-02  0.1296E-01  0.1979E-09  0.5331E+00  0.2691E-08  0.1166E-01 -0.1016E-01 -0.1767E-01 -0.4763E-01  0.6960E-03  0.7326E-01  0.1423E+00
