 #NTuple/Z0                                                                      
 output from Ecalc9f version   2.09
  settings: 
    particle type:            2
    pzmin/pzmax:    0.0000000000000000      /   100.00000000000000     
    transverse cuts:    0.0000000000000000        0.0000000000000000     
    longitudinal cut:    0.0000000000000000     
    RF frequency (MHz):    1056.0000000000000     
    sigma cut:    4.0000000000000000     
    subtract out amplitude correlation
    wrnew9 =  F

regn #   Z           Bz          eperp       elong       e6D         Ldim        Pzavg       beta        alpha       betaL       alphaL      n0          n1          n2          Lcan(eVs)   sigmaE      sigmaT      corrE       corrT       sigmaE_c    xavg        yavg        Dx          Dy          Dr          Dr2
     1  0.0000E+00 -0.1518E-14  0.2690E-03  0.1891E-02  0.1403E-09  0.2524E+00  0.2024E+00  0.2973E-01  0.3834E-01  0.4177E+00 -0.1273E-01  0.2136E+05  0.2136E+05  0.2136E+05  0.4609E-03  0.9052E-02  0.7648E-10  0.2547E+01  0.3606E-08  0.8725E-02 -0.9939E-03 -0.1096E-02 -0.8126E-02  0.9373E-04  0.7356E-02  0.1456E-02
     2  0.6000E+00  0.1464E-14  0.2556E-03  0.1887E-02  0.1232E-09  0.2236E+00  0.2021E+00  0.2189E-01  0.7811E-01  0.4258E+00 -0.6554E-01  0.2089E+05  0.2089E+05  0.2089E+05  0.3965E-03  0.8819E-02  0.7720E-10  0.2118E+01  0.3238E-08  0.8637E-02 -0.1082E-02 -0.1064E-02 -0.8778E-02  0.3348E-03  0.8569E-02  0.1610E-02
     3  0.1200E+01  0.0000E+00  0.2489E-03  0.1873E-02  0.1170E-09  0.2113E+00  0.2023E+00  0.2463E-01  0.1184E-01  0.4535E+00 -0.1054E+00  0.2054E+05  0.2054E+05  0.2054E+05  0.3410E-03  0.8514E-02  0.7939E-10  0.1930E+01  0.5787E-08  0.8376E-02 -0.1157E-02 -0.1109E-02 -0.6239E-02 -0.5706E-03  0.4879E-02  0.1890E-02
     4  0.1800E+01 -0.1084E-15  0.2412E-03  0.1858E-02  0.1090E-09  0.2020E+00  0.2025E+00  0.2456E-01  0.4308E-01  0.4837E+00 -0.1047E+00  0.2032E+05  0.2032E+05  0.2032E+05  0.3112E-03  0.8211E-02  0.8163E-10  0.1933E+01  0.6827E-08  0.8080E-02 -0.1082E-02 -0.1090E-02 -0.6845E-02  0.6297E-04  0.6989E-02  0.1884E-02
     5  0.2400E+01  0.9758E-15  0.2382E-03  0.1858E-02  0.1059E-09  0.1933E+00  0.2026E+00  0.2433E-01  0.5309E-01  0.5065E+00 -0.8483E-01  0.2017E+05  0.2017E+05  0.2017E+05  0.3071E-03  0.8000E-02  0.8366E-10  0.1799E+01  0.9809E-08  0.7887E-02 -0.1073E-02 -0.1087E-02 -0.8151E-02 -0.2010E-03  0.6509E-02  0.1958E-02
     6  0.3000E+01 -0.4337E-15  0.2353E-03  0.1866E-02  0.1039E-09  0.1875E+00  0.2028E+00  0.2426E-01  0.2761E-01  0.5190E+00 -0.4855E-01  0.2005E+05  0.2005E+05  0.2005E+05  0.2934E-03  0.7910E-02  0.8492E-10  0.1846E+01  0.1159E-07  0.7793E-02 -0.1138E-02 -0.1101E-02 -0.8090E-02 -0.9905E-05  0.6479E-02  0.2153E-02
     7  0.3600E+01 -0.5421E-15  0.2325E-03  0.1874E-02  0.1023E-09  0.1826E+00  0.2030E+00  0.2491E-01  0.4079E-01  0.5197E+00 -0.8357E-02  0.1993E+05  0.1993E+05  0.1993E+05  0.2733E-03  0.7929E-02  0.8518E-10  0.1961E+01  0.1275E-07  0.7801E-02 -0.1124E-02 -0.1098E-02 -0.7511E-02 -0.1591E-03  0.6800E-02  0.2115E-02
     8  0.4200E+01 -0.4337E-15  0.2301E-03  0.1875E-02  0.1002E-09  0.1796E+00  0.2030E+00  0.2420E-01  0.4760E-01  0.5091E+00  0.2533E-01  0.1982E+05  0.1982E+05  0.1982E+05  0.2699E-03  0.8022E-02  0.8436E-10  0.2056E+01  0.1358E-07  0.7887E-02 -0.1095E-02 -0.1093E-02 -0.7805E-02  0.5331E-04  0.6915E-02  0.2004E-02
     9  0.4800E+01  0.1301E-14  0.2278E-03  0.1873E-02  0.9823E-10  0.1736E+00  0.2031E+00  0.2431E-01  0.3383E-01  0.4936E+00  0.4147E-01  0.1970E+05  0.1970E+05  0.1970E+05  0.2628E-03  0.8174E-02  0.8297E-10  0.2305E+01  0.1332E-07  0.8012E-02 -0.1132E-02 -0.1112E-02 -0.7538E-02 -0.4362E-04  0.6541E-02  0.2029E-02
    10  0.5400E+01 -0.1084E-14  0.2262E-03  0.1875E-02  0.9691E-10  0.1695E+00  0.2032E+00  0.2414E-01  0.4136E-01  0.4779E+00  0.4295E-01  0.1959E+05  0.1959E+05  0.1959E+05  0.2532E-03  0.8329E-02  0.8167E-10  0.2453E+01  0.1324E-07  0.8152E-02 -0.1144E-02 -0.1105E-02 -0.7902E-02 -0.5125E-03  0.7087E-02  0.1971E-02
