 #NTuple/Z0                                                                      
 output from Ecalc9f version   2.09
  settings: 
    particle type:            2
    pzmin/pzmax:    0.0000000000000000      /   100.00000000000000     
    transverse cuts:    0.0000000000000000        0.0000000000000000     
    longitudinal cut:    0.0000000000000000     
    RF frequency (MHz):    704.00000000000000     
    sigma cut:    4.0000000000000000     
    subtract out amplitude correlation
    wrnew9 =  F

regn #   Z           Bz          eperp       elong       e6D         Ldim        Pzavg       beta        alpha       betaL       alphaL      n0          n1          n2          Lcan(eVs)   sigmaE      sigmaT      corrE       corrT       sigmaE_c    xavg        yavg        Dx          Dy          Dr          Dr2
     1  0.0000E+00  0.8674E-15  0.1066E-02  0.2367E-02  0.2856E-08  0.8640E-01  0.2020E+00  0.1576E+00  0.1310E+00  0.7108E+00  0.3413E-01  0.3426E+05  0.3426E+05  0.3426E+05  0.6541E-03  0.7984E-02  0.1129E-09  0.7776E+00  0.4587E-08  0.7474E-02 -0.1207E-02 -0.5068E-03 -0.3736E-01 -0.1979E-02  0.3731E-01  0.2585E-02
     2  0.8000E+00  0.0000E+00  0.1046E-02  0.2388E-02  0.2795E-08  0.8889E-01  0.2014E+00  0.1182E+00  0.4304E+00  0.6471E+00  0.2183E+00  0.3415E+05  0.3415E+05  0.3415E+05  0.6431E-03  0.8597E-02  0.1090E-09  0.8806E+00  0.5642E-08  0.8033E-02 -0.1540E-02 -0.5912E-03 -0.6545E-02 -0.5259E-03  0.4595E-01  0.3159E-02
     3  0.1600E+01 -0.8674E-15  0.1064E-02  0.2400E-02  0.2912E-08  0.8478E-01  0.2011E+00  0.8225E-01  0.1956E+00  0.5421E+00  0.2923E+00  0.3403E+05  0.3403E+05  0.3403E+05  0.6312E-03  0.9568E-02  0.1011E-09  0.9528E+00  0.6363E-08  0.8944E-02 -0.1681E-02 -0.7769E-03 -0.1589E-01  0.4992E-03  0.3308E-01  0.2731E-02
     4  0.2400E+01  0.0000E+00  0.1108E-02  0.2396E-02  0.3195E-08  0.7845E-01  0.2015E+00  0.9016E-01 -0.1565E-01  0.4474E+00  0.2151E+00  0.3394E+05  0.3394E+05  0.3394E+05  0.6142E-03  0.1044E-01  0.9308E-10  0.1033E+01  0.6881E-08  0.9671E-02 -0.1076E-02 -0.4952E-03 -0.2165E-01 -0.2158E-03  0.6603E-02  0.8467E-03
     5  0.3200E+01 -0.8674E-15  0.1114E-02  0.2362E-02  0.3307E-08  0.8127E-01  0.2020E+00  0.1011E+00  0.1221E-01  0.4041E+00  0.5896E-01  0.3385E+05  0.3385E+05  0.3385E+05  0.6419E-03  0.1095E-01  0.8794E-10  0.1206E+01  0.6676E-08  0.9916E-02 -0.1748E-02 -0.6708E-03 -0.1842E-01 -0.2980E-02  0.1232E-01  0.1876E-02
     6  0.4000E+01 -0.1301E-14  0.1091E-02  0.2352E-02  0.3274E-08  0.8349E-01  0.2026E+00  0.1012E+00  0.6753E-01  0.4219E+00 -0.9940E-01  0.3379E+05  0.3379E+05  0.3379E+05  0.6346E-03  0.1105E-01  0.8826E-10  0.1397E+01  0.5766E-08  0.9734E-02 -0.1464E-02 -0.6130E-03 -0.1521E-01  0.1502E-02  0.2462E-01  0.1716E-02
     7  0.4800E+01 -0.1301E-14  0.1078E-02  0.2382E-02  0.3304E-08  0.8420E-01  0.2031E+00  0.9968E-01  0.8782E-01  0.4840E+00 -0.2001E+00  0.3374E+05  0.3374E+05  0.3374E+05  0.6474E-03  0.1080E-01  0.9380E-10  0.1494E+01  0.4868E-08  0.9298E-02 -0.1574E-02 -0.6449E-03 -0.1982E-01 -0.1595E-02  0.2999E-01  0.2058E-02
     8  0.5600E+01  0.4337E-15  0.1066E-02  0.2412E-02  0.3333E-08  0.8699E-01  0.2035E+00  0.9824E-01  0.9449E-01  0.5598E+00 -0.2082E+00  0.3368E+05  0.3368E+05  0.3368E+05  0.6529E-03  0.1039E-01  0.1006E-09  0.1538E+01  0.3923E-08  0.8725E-02 -0.1747E-02 -0.6079E-03 -0.1473E-01 -0.6293E-03  0.3019E-01  0.2435E-02
     9  0.6400E+01 -0.4337E-15  0.1060E-02  0.2401E-02  0.3305E-08  0.8783E-01  0.2035E+00  0.9685E-01  0.1010E+00  0.6185E+00 -0.1108E+00  0.3360E+05  0.3360E+05  0.3360E+05  0.6536E-03  0.9957E-02  0.1048E-09  0.1554E+01  0.2571E-08  0.8158E-02 -0.1547E-02 -0.6409E-03 -0.1521E-01 -0.1279E-03  0.3173E-01  0.2268E-02
    10  0.7200E+01  0.0000E+00  0.1053E-02  0.2380E-02  0.3203E-08  0.8888E-01  0.2033E+00  0.9549E-01  0.8300E-01  0.6342E+00  0.3073E-01  0.3349E+05  0.3349E+05  0.3349E+05  0.6610E-03  0.9761E-02  0.1054E-09  0.1534E+01  0.1339E-08  0.7971E-02 -0.1721E-02 -0.6488E-03 -0.1805E-01  0.3347E-04  0.3253E-01  0.2642E-02
