 #NTuple/Z0                                                                      
 output from Ecalc9f version   2.09
  settings: 
    particle type:            2
    pzmin/pzmax:    0.0000000000000000      /   100.00000000000000     
    transverse cuts:    0.0000000000000000        0.0000000000000000     
    longitudinal cut:    0.0000000000000000     
    RF frequency (MHz):    704.00000000000000     
    sigma cut:    4.0000000000000000     
    subtract out amplitude correlation
    wrnew9 =  F

regn #   Z           Bz          eperp       elong       e6D         Ldim        Pzavg       beta        alpha       betaL       alphaL      n0          n1          n2          Lcan(eVs)   sigmaE      sigmaT      corrE       corrT       sigmaE_c    xavg        yavg        Dx          Dy          Dr          Dr2
     1  0.0000E+00  0.0000E+00  0.7271E-03  0.2284E-02  0.1266E-08  0.1478E+00  0.1979E+00  0.1030E+00  0.4921E-01  0.5106E+00  0.1824E-01  0.3126E+05  0.3126E+05  0.3126E+05  0.7586E-03  0.9020E-02  0.9446E-10  0.1151E+01  0.1797E-08  0.8535E-02 -0.7508E-03 -0.6160E-03 -0.1943E-01 -0.4357E-03  0.1705E-01  0.9598E-03
     2  0.7000E+00 -0.6505E-15  0.7265E-03  0.2353E-02  0.1270E-08  0.1465E+00  0.1972E+00  0.4854E-01  0.3322E+00  0.4778E+00  0.7873E-01  0.3092E+05  0.3092E+05  0.3092E+05  0.7328E-03  0.9231E-02  0.9329E-10  0.9086E+00  0.3632E-08  0.8957E-02 -0.7489E-03 -0.6454E-03 -0.1090E-01 -0.8269E-03  0.2791E-01  0.9860E-03
     3  0.1400E+01 -0.1301E-14  0.7425E-03  0.2335E-02  0.1341E-08  0.1389E+00  0.1987E+00  0.5789E-01 -0.1599E+00  0.4600E+00  0.8510E-01  0.3070E+05  0.3070E+05  0.3070E+05  0.7222E-03  0.9461E-02  0.9189E-10  0.9650E+00  0.6865E-08  0.9149E-02 -0.9183E-03 -0.8642E-03 -0.1103E-01  0.1863E-03 -0.2439E-02  0.8802E-03
     4  0.2100E+01 -0.1084E-14  0.7492E-03  0.2331E-02  0.1382E-08  0.1396E+00  0.2005E+00  0.6870E-01  0.6427E-01  0.4392E+00  0.6104E-01  0.3062E+05  0.3062E+05  0.3062E+05  0.7387E-03  0.9818E-02  0.8987E-10  0.1149E+01  0.8197E-08  0.9399E-02 -0.9451E-03 -0.6569E-03 -0.1518E-01  0.9812E-03  0.2151E-01  0.1060E-02
     5  0.2800E+01 -0.2168E-15  0.7329E-03  0.2345E-02  0.1355E-08  0.1431E+00  0.2022E+00  0.6167E-01  0.1293E+00  0.4317E+00 -0.2561E-02  0.3054E+05  0.3054E+05  0.3054E+05  0.7298E-03  0.1008E-01  0.8942E-10  0.1360E+01  0.9439E-08  0.9549E-02 -0.9414E-03 -0.6756E-03 -0.1273E-01 -0.1591E-02  0.2319E-01  0.1049E-02
     6  0.3500E+01  0.0000E+00  0.7286E-03  0.2341E-02  0.1366E-08  0.1448E+00  0.2040E+00  0.5947E-01  0.8258E-01  0.4446E+00 -0.5714E-01  0.3042E+05  0.3042E+05  0.3042E+05  0.7461E-03  0.1016E-01  0.9033E-10  0.1556E+01  0.9918E-08  0.9473E-02 -0.1242E-02 -0.8237E-03 -0.1430E-01 -0.1703E-02  0.1715E-01  0.1408E-02
     7  0.4200E+01  0.6505E-15  0.7253E-03  0.2330E-02  0.1385E-08  0.1450E+00  0.2056E+00  0.5983E-01  0.7701E-01  0.4740E+00 -0.6476E-01  0.3035E+05  0.3035E+05  0.3035E+05  0.7368E-03  0.1017E-01  0.9179E-10  0.1821E+01  0.8888E-08  0.9210E-02 -0.1187E-02 -0.7038E-03 -0.9081E-02  0.2999E-02  0.1732E-01  0.1253E-02
     8  0.4900E+01 -0.8674E-15  0.7179E-03  0.2330E-02  0.1359E-08  0.1456E+00  0.2068E+00  0.5935E-01  0.8420E-01  0.4939E+00 -0.2662E-01  0.3023E+05  0.3023E+05  0.3023E+05  0.7335E-03  0.1017E-01  0.9266E-10  0.1984E+01  0.7810E-08  0.9046E-02 -0.1298E-02 -0.7834E-03 -0.1347E-01 -0.3442E-02  0.1922E-01  0.1504E-02
     9  0.5600E+01  0.6505E-15  0.7069E-03  0.2337E-02  0.1326E-08  0.1488E+00  0.2075E+00  0.5796E-01  0.7566E-01  0.4921E+00  0.3615E-01  0.3012E+05  0.3012E+05  0.3012E+05  0.7374E-03  0.1035E-01  0.9181E-10  0.2136E+01  0.6503E-08  0.9101E-02 -0.1321E-02 -0.7307E-03 -0.1188E-01  0.6176E-03  0.1822E-01  0.1433E-02
    10  0.6300E+01  0.1518E-14  0.6929E-03  0.2337E-02  0.1267E-08  0.1493E+00  0.2077E+00  0.5768E-01  0.5223E-01  0.4728E+00  0.9511E-01  0.2998E+05  0.2998E+05  0.2998E+05  0.7225E-03  0.1057E-01  0.8945E-10  0.2218E+01  0.5078E-08  0.9323E-02 -0.1343E-02 -0.7755E-03 -0.9942E-02 -0.3309E-03  0.1673E-01  0.1424E-02
    11  0.7000E+01  0.8674E-15  0.6887E-03  0.2334E-02  0.1239E-08  0.1518E+00  0.2073E+00  0.5823E-01  0.5006E-01  0.4395E+00  0.1194E+00  0.2989E+05  0.2989E+05  0.2989E+05  0.7301E-03  0.1095E-01  0.8598E-10  0.2272E+01  0.3603E-08  0.9679E-02 -0.1344E-02 -0.7593E-03 -0.1317E-01 -0.2576E-03  0.1637E-01  0.1327E-02
    12  0.7700E+01  0.1301E-14  0.6788E-03  0.2335E-02  0.1190E-08  0.1527E+00  0.2064E+00  0.5818E-01  0.5290E-01  0.4049E+00  0.1048E+00  0.2976E+05  0.2976E+05  0.2976E+05  0.7212E-03  0.1119E-01  0.8251E-10  0.2231E+01  0.1611E-08  0.1004E-01 -0.1200E-02 -0.7382E-03 -0.1067E-01 -0.9503E-03  0.1402E-01  0.1060E-02
    13  0.8400E+01  0.6505E-15  0.6677E-03  0.2325E-02  0.1127E-08  0.1569E+00  0.2051E+00  0.5751E-01  0.3556E-01  0.3811E+00  0.4657E-01  0.2964E+05  0.2964E+05  0.2964E+05  0.7306E-03  0.1125E-01  0.8016E-10  0.2151E+01 -0.1296E-09  0.1023E-01 -0.1244E-02 -0.7415E-03 -0.1295E-01 -0.5203E-03  0.1359E-01  0.1080E-02
    14  0.9100E+01  0.1518E-14  0.6588E-03  0.2313E-02  0.1084E-08  0.1604E+00  0.2036E+00  0.5886E-01  0.1686E-02  0.3804E+00 -0.3343E-01  0.2955E+05  0.2955E+05  0.2955E+05  0.7304E-03  0.1108E-01  0.8034E-10  0.2068E+01 -0.1183E-08  0.1016E-01 -0.1099E-02 -0.7561E-03 -0.1224E-01 -0.3245E-03  0.1352E-01  0.9622E-03
