 #NTuple/Z0                                                                      
 output from Ecalc9f version   2.09
  settings: 
    particle type:            2
    pzmin/pzmax:    0.0000000000000000      /   100.00000000000000     
    transverse cuts:    0.0000000000000000        0.0000000000000000     
    longitudinal cut:    0.0000000000000000     
    RF frequency (MHz):    1056.0000000000000     
    sigma cut:    4.0000000000000000     
    subtract out amplitude correlation
    wrnew9 =  F

regn #   Z           Bz          eperp       elong       e6D         Ldim        Pzavg       beta        alpha       betaL       alphaL      n0          n1          n2          Lcan(eVs)   sigmaE      sigmaT      corrE       corrT       sigmaE_c    xavg        yavg        Dx          Dy          Dr          Dr2
     1  0.0000E+00  0.1735E-14  0.4955E-03  0.2149E-02  0.5374E-09  0.2124E+00  0.2095E+00  0.5981E-01  0.7006E-01  0.4516E+00 -0.2631E-01  0.2756E+05  0.2756E+05  0.2756E+05  0.7309E-03  0.9390E-02  0.8312E-10  0.1209E+01  0.5310E-08  0.9167E-02 -0.1006E-02 -0.1034E-02 -0.1311E-01 -0.1215E-03  0.5554E-02  0.1376E-02
     2  0.6000E+00  0.7589E-15  0.4919E-03  0.2189E-02  0.5359E-09  0.2097E+00  0.2090E+00  0.3733E-01  0.3362E+00  0.4465E+00 -0.5271E-02  0.2741E+05  0.2741E+05  0.2741E+05  0.7742E-03  0.9463E-02  0.8416E-10  0.1098E+01  0.8039E-08  0.9284E-02 -0.1643E-02 -0.9717E-03 -0.1143E-01 -0.1457E-02  0.1531E-01  0.2416E-02
     3  0.1200E+01 -0.8674E-15  0.5085E-03  0.2204E-02  0.5966E-09  0.1995E+00  0.2089E+00  0.3325E-01 -0.3284E-01  0.4428E+00  0.2244E-01  0.2729E+05  0.2729E+05  0.2729E+05  0.6335E-03  0.9592E-02  0.8523E-10  0.1190E+01  0.1072E-07  0.9354E-02 -0.1581E-02 -0.1033E-02 -0.3982E-02  0.6614E-05 -0.5083E-03  0.2135E-02
     4  0.1800E+01 -0.4337E-15  0.5189E-03  0.2189E-02  0.6245E-09  0.1972E+00  0.2088E+00  0.4066E-01 -0.3740E-01  0.4388E+00  0.4616E-01  0.2718E+05  0.2718E+05  0.2718E+05  0.7172E-03  0.9833E-02  0.8503E-10  0.1679E+01  0.1177E-07  0.9371E-02 -0.1172E-02 -0.1070E-02 -0.1230E-01  0.1452E-03  0.6419E-02  0.1506E-02
     5  0.2400E+01 -0.1084E-15  0.5059E-03  0.2218E-02  0.6044E-09  0.2015E+00  0.2084E+00  0.4091E-01  0.3674E-01  0.4178E+00  0.4524E-01  0.2710E+05  0.2710E+05  0.2710E+05  0.7329E-03  0.1027E-01  0.8384E-10  0.2050E+01  0.1247E-07  0.9652E-02 -0.1493E-02 -0.9557E-03 -0.1380E-01 -0.9273E-04  0.1461E-01  0.1793E-02
     6  0.3000E+01 -0.8674E-15  0.4945E-03  0.2227E-02  0.5984E-09  0.2078E+00  0.2077E+00  0.3948E-01  0.5652E-01  0.3986E+00  0.2072E-01  0.2700E+05  0.2700E+05  0.2700E+05  0.6814E-03  0.1061E-01  0.8243E-10  0.2335E+01  0.1299E-07  0.9870E-02 -0.1429E-02 -0.1019E-02 -0.6000E-02 -0.1280E-02  0.1115E-01  0.1616E-02
     7  0.3600E+01  0.2168E-15  0.4955E-03  0.2213E-02  0.6022E-09  0.2083E+00  0.2068E+00  0.3862E-01  0.6064E-01  0.3955E+00 -0.1408E-01  0.2691E+05  0.2691E+05  0.2691E+05  0.7144E-03  0.1080E-01  0.8161E-10  0.2660E+01  0.1181E-07  0.9848E-02 -0.1276E-02 -0.1038E-02 -0.1112E-01 -0.3670E-03  0.1249E-01  0.1389E-02
     8  0.4200E+01  0.0000E+00  0.4925E-03  0.2217E-02  0.6008E-09  0.2053E+00  0.2060E+00  0.3809E-01  0.3295E-01  0.4036E+00 -0.4495E-01  0.2682E+05  0.2682E+05  0.2682E+05  0.7011E-03  0.1086E-01  0.8194E-10  0.2901E+01  0.9780E-08  0.9738E-02 -0.1279E-02 -0.9810E-03 -0.1076E-01  0.4882E-03  0.1178E-01  0.1311E-02
     9  0.4800E+01  0.2168E-15  0.4883E-03  0.2211E-02  0.5956E-09  0.2094E+00  0.2052E+00  0.3832E-01  0.1967E-01  0.4151E+00 -0.4918E-01  0.2674E+05  0.2674E+05  0.2674E+05  0.7082E-03  0.1081E-01  0.8253E-10  0.3046E+01  0.7610E-08  0.9566E-02 -0.1302E-02 -0.1014E-02 -0.9521E-02 -0.1344E-02  0.1255E-01  0.1384E-02
    10  0.5400E+01  0.0000E+00  0.4813E-03  0.2211E-02  0.5777E-09  0.2132E+00  0.2046E+00  0.3903E-01  0.1827E-01  0.4234E+00 -0.3663E-01  0.2665E+05  0.2665E+05  0.2665E+05  0.7017E-03  0.1072E-01  0.8294E-10  0.3101E+01  0.4842E-08  0.9447E-02 -0.1223E-02 -0.9972E-03 -0.9367E-02  0.9398E-05  0.1335E-01  0.1296E-02
