 #NTuple/Z0                                                                      
 output from Ecalc9f version   2.09
  settings: 
    particle type:            2
    pzmin/pzmax:    0.0000000000000000      /   100.00000000000000     
    transverse cuts:    0.0000000000000000        0.0000000000000000     
    longitudinal cut:    0.0000000000000000     
    RF frequency (MHz):    704.00000000000000     
    sigma cut:    4.0000000000000000     
    subtract out amplitude correlation
    wrnew9 =  F

regn #   Z           Bz          eperp       elong       e6D         Ldim        Pzavg       beta        alpha       betaL       alphaL      n0          n1          n2          Lcan(eVs)   sigmaE      sigmaT      corrE       corrT       sigmaE_c    xavg        yavg        Dx          Dy          Dr          Dr2
     1  0.0000E+00  0.0000E+00  0.8987E-03  0.3021E-02  0.2476E-08 -0.1393E+00  0.2083E+00  0.1493E+00  0.8092E-01  0.7292E+00 -0.1519E-01  0.3321E+05  0.3321E+05  0.3321E+05 -0.9043E-03  0.8801E-02  0.1251E-09  0.7264E+00  0.1076E-08  0.8516E-02 -0.2944E-02 -0.3619E-02 -0.4104E-01 -0.2506E-02  0.2464E-01  0.1613E-01
     2  0.8500E+00  0.0000E+00  0.8843E-03  0.3058E-02  0.2425E-08 -0.1364E+00  0.2082E+00  0.1116E+00  0.4001E+00  0.6919E+00  0.1401E+00  0.3309E+05  0.3309E+05  0.3309E+05 -0.7761E-03  0.9089E-02  0.1229E-09  0.6630E+00  0.3030E-08  0.8879E-02 -0.3148E-02 -0.3345E-02 -0.8207E-02 -0.7519E-03  0.2929E-01  0.1478E-01
     3  0.1700E+01  0.0000E+00  0.8950E-03  0.3066E-02  0.2494E-08 -0.1334E+00  0.2084E+00  0.8114E-01  0.1435E+00  0.6132E+00  0.2309E+00  0.3293E+05  0.3293E+05  0.3293E+05 -0.9219E-03  0.9796E-02  0.1163E-09  0.6523E+00  0.4813E-08  0.9605E-02 -0.3556E-02 -0.3633E-02 -0.1695E-01 -0.2044E-02  0.1885E-01  0.1528E-01
     4  0.2550E+01  0.0000E+00  0.9238E-03  0.3075E-02  0.2678E-08 -0.1260E+00  0.2092E+00  0.9326E-01 -0.1085E-01  0.5286E+00  0.2056E+00  0.3283E+05  0.3283E+05  0.3283E+05 -0.8314E-03  0.1058E-01  0.1091E-09  0.7391E+00  0.6726E-08  0.1033E-01 -0.2899E-02 -0.3557E-02 -0.2206E-01  0.8743E-03  0.5529E-03  0.1042E-01
     5  0.3400E+01  0.0000E+00  0.9211E-03  0.3041E-02  0.2669E-08 -0.1239E+00  0.2099E+00  0.1013E+00  0.4573E-01  0.4701E+00  0.1079E+00  0.3270E+05  0.3270E+05  0.3270E+05 -0.7494E-03  0.1112E-01  0.1026E-09  0.9139E+00  0.7229E-08  0.1076E-01 -0.3419E-02 -0.3361E-02 -0.2444E-01 -0.1122E-02  0.1090E-01  0.1061E-01
     6  0.4250E+01  0.0000E+00  0.8979E-03  0.3038E-02  0.2599E-08 -0.1229E+00  0.2105E+00  0.9947E-01  0.9005E-01  0.4592E+00 -0.2313E-01  0.3259E+05  0.3259E+05  0.3259E+05 -0.8421E-03  0.1132E-01  0.1011E-09  0.1105E+01  0.7385E-08  0.1085E-01 -0.3447E-02 -0.3675E-02 -0.1446E-01 -0.2397E-02  0.1598E-01  0.1145E-01
     7  0.5100E+01  0.0000E+00  0.8935E-03  0.3044E-02  0.2615E-08 -0.1221E+00  0.2110E+00  0.9812E-01  0.1113E+00  0.4918E+00 -0.1371E+00  0.3249E+05  0.3249E+05  0.3249E+05 -0.7215E-03  0.1118E-01  0.1048E-09  0.1212E+01  0.7930E-08  0.1060E-01 -0.3287E-02 -0.3405E-02 -0.2253E-01  0.1346E-02  0.1880E-01  0.1049E-01
     8  0.5950E+01  0.0000E+00  0.8835E-03  0.3058E-02  0.2611E-08 -0.1221E+00  0.2112E+00  0.9582E-01  0.1048E+00  0.5498E+00 -0.1891E+00  0.3238E+05  0.3238E+05  0.3238E+05 -0.7980E-03  0.1084E-01  0.1105E-09  0.1330E+01  0.7812E-08  0.1014E-01 -0.3487E-02 -0.3568E-02 -0.1794E-01 -0.2253E-02  0.1873E-01  0.1234E-01
     9  0.6800E+01  0.0000E+00  0.8774E-03  0.3037E-02  0.2602E-08 -0.1179E+00  0.2110E+00  0.9423E-01  0.9762E-01  0.6122E+00 -0.1556E+00  0.3225E+05  0.3225E+05  0.3225E+05 -0.6992E-03  0.1043E-01  0.1154E-09  0.1489E+01  0.6614E-08  0.9517E-02 -0.3439E-02 -0.3529E-02 -0.1651E-01  0.2493E-03  0.1992E-01  0.1300E-01
    10  0.7650E+01  0.0000E+00  0.8750E-03  0.3011E-02  0.2581E-08 -0.1177E+00  0.2106E+00  0.9439E-01  0.7758E-01  0.6493E+00 -0.6721E-01  0.3213E+05  0.3213E+05  0.3213E+05 -0.7706E-03  0.1019E-01  0.1179E-09  0.1601E+01  0.5262E-08  0.9100E-02 -0.3318E-02 -0.3467E-02 -0.1986E-01 -0.7471E-03  0.2263E-01  0.1293E-01
