 #NTuple/Z0                                                                     
  
 output from Ecalc9f version   2.09
  settings: 
    particle type:            2
    pzmin/pzmax:   0.000000000000000E+000 /   100.000000000000     
    transverse cuts:   0.000000000000000E+000  0.000000000000000E+000
    longitudinal cut:   0.000000000000000E+000
    RF frequency (MHz):    352.000000000000     
    sigma cut:   0.000000000000000E+000
    subtract out amplitude correlation
    wrnew9 =  T
 
regn #   Z           Bz          eperp       elong       e6D         Ldim        Pzavg       beta        alpha       betaL       alphaL      n0          n1          n2          Lcan(eVs)   sigmaE      sigmaT      corrE       corrT       sigmaE_c    xavg        yavg        Dx          Dy          Dr          Dr2
     1  0.0000E+00  0.1785E-03  0.1686E-01  0.4497E-01  0.1311E-04 -0.6810E+00  0.2879E+00  0.9724E+00 -0.7747E-02  0.4124E+00  0.1806E+00  0.1973E+06  0.1973E+06  0.1973E+06 -0.8040E-01  0.5629E-01  0.2943E-09  0.2874E+00  0.6192E-09  0.5494E-01 -0.4308E-01 -0.1747E-01  0.8693E-02 -0.1906E-02  0.2084E-01  0.7025E-01
     2  0.1900E+01  0.1553E-03  0.1650E-01  0.4707E-01  0.1353E-04 -0.6608E+00  0.2978E+00  0.1302E+01 -0.9028E-01  0.4155E+00  0.7598E-01  0.1939E+06  0.1939E+06  0.1939E+06 -0.7780E-01  0.6076E-01  0.2983E-09  0.5592E+00  0.1128E-08  0.5643E-01 -0.3505E-01 -0.1088E-01 -0.3655E-01  0.2560E-02  0.1117E+00  0.6726E-01
     3  0.3800E+01  0.1647E-03  0.1601E-01  0.4759E-01  0.1312E-04 -0.6338E+00  0.2966E+00  0.1014E+01 -0.9056E-01  0.4335E+00 -0.8297E-01  0.1933E+06  0.1933E+06  0.1933E+06 -0.7042E-01  0.6114E-01  0.3055E-09  0.6559E+00  0.8771E-09  0.5544E-01 -0.4397E-01 -0.1180E-01 -0.7410E-01 -0.1365E-01  0.9208E-01  0.8016E-01
     4  0.5700E+01  0.1777E-03  0.1555E-01  0.4659E-01  0.1228E-04 -0.6090E+00  0.2941E+00  0.1123E+01  0.1540E-01  0.4835E+00 -0.1896E+00  0.1907E+06  0.1907E+06  0.1907E+06 -0.6505E-01  0.5847E-01  0.3190E-09  0.6753E+00  0.2601E-09  0.5241E-01 -0.4949E-01 -0.1938E-01 -0.8097E-01 -0.2113E-01  0.1144E+00  0.1118E+00
     5  0.7600E+01  0.1560E-03  0.1497E-01  0.4385E-01  0.1087E-04 -0.6036E+00  0.2887E+00  0.1086E+01 -0.1019E+00  0.5589E+00 -0.1722E+00  0.1889E+06  0.1889E+06  0.1889E+06 -0.6480E-01  0.5228E-01  0.3364E-09  0.6379E+00 -0.1849E-10  0.4662E-01 -0.3752E-01 -0.1400E-01 -0.6513E-01 -0.1707E-01  0.1118E+00  0.8517E-01
     6  0.9500E+01  0.1654E-03  0.1451E-01  0.3990E-01  0.9262E-05 -0.5954E+00  0.2831E+00  0.1036E+01 -0.1146E-01  0.6194E+00 -0.8275E-01  0.1853E+06  0.1853E+06  0.1853E+06 -0.6058E-01  0.4557E-01  0.3420E-09  0.5339E+00 -0.8418E-10  0.4126E-01 -0.3822E-01 -0.9446E-02 -0.9832E-02  0.2404E-02  0.1017E+00  0.9387E-01
     7  0.1140E+02  0.1767E-03  0.1428E-01  0.3729E-01  0.8218E-05 -0.5835E+00  0.2791E+00  0.1039E+01 -0.7766E-01  0.6352E+00 -0.9964E-02  0.1820E+06  0.1820E+06  0.1820E+06 -0.5725E-01  0.4272E-01  0.3378E-09  0.4940E+00 -0.2113E-09  0.3891E-01 -0.4283E-01 -0.1648E-01 -0.5442E-01 -0.3904E-02  0.1286E+00  0.1353E+00
     8  0.1330E+02  0.1566E-03  0.1400E-01  0.3671E-01  0.7741E-05 -0.5684E+00  0.2755E+00  0.1003E+01 -0.3338E-01  0.6123E+00  0.5480E-01  0.1811E+06  0.1811E+06  0.1811E+06 -0.5698E-01  0.4282E-01  0.3325E-09  0.4946E+00 -0.6587E-09  0.3907E-01 -0.3896E-01 -0.1540E-01 -0.8834E-01 -0.2022E-01  0.1317E+00  0.1165E+00
     9  0.1520E+02  0.1663E-03  0.1364E-01  0.3788E-01  0.7512E-05 -0.5575E+00  0.2736E+00  0.1019E+01 -0.5738E-01  0.5834E+00  0.1400E-01  0.1812E+06  0.1812E+06  0.1812E+06 -0.5357E-01  0.4363E-01  0.3310E-09  0.4710E+00 -0.6097E-09  0.4042E-01 -0.3916E-01 -0.1045E-01 -0.5766E-01  0.8756E-03  0.1121E+00  0.1024E+00
    10  0.1710E+02  0.1755E-03  0.1321E-01  0.3828E-01  0.7033E-05 -0.5481E+00  0.2723E+00  0.9613E+00 -0.5846E-01  0.5803E+00 -0.5561E-01  0.1802E+06  0.1802E+06  0.1802E+06 -0.4940E-01  0.4325E-01  0.3332E-09  0.4313E+00 -0.7662E-09  0.4067E-01 -0.3908E-01 -0.1478E-01 -0.4540E-01 -0.3683E-02  0.9477E-01  0.1029E+00
    11  0.1900E+02  0.1570E-03  0.1301E-01  0.3935E-01  0.6948E-05 -0.5366E+00  0.2711E+00  0.1001E+01 -0.1878E-01  0.6018E+00 -0.1082E+00  0.1804E+06  0.1804E+06  0.1804E+06 -0.4987E-01  0.4255E-01  0.3449E-09  0.3772E+00 -0.7498E-09  0.4056E-01 -0.3737E-01 -0.1629E-01 -0.4302E-01 -0.1287E-01  0.8779E-01  0.9969E-01
    12  0.2090E+02  0.1674E-03  0.1279E-01  0.3893E-01  0.6619E-05 -0.5269E+00  0.2705E+00  0.9810E+00 -0.1010E+00  0.6525E+00 -0.8835E-01  0.1800E+06  0.1800E+06  0.1800E+06 -0.4824E-01  0.4074E-01  0.3568E-09  0.3868E+00 -0.2350E-09  0.3862E-01 -0.4003E-01 -0.1064E-01 -0.5766E-01 -0.1041E-02  0.9755E-01  0.1109E+00
    13  0.2280E+02  0.1742E-03  0.1244E-01  0.3769E-01  0.6105E-05 -0.5163E+00  0.2687E+00  0.9480E+00 -0.1756E-02  0.6854E+00 -0.3814E-01  0.1786E+06  0.1786E+06  0.1786E+06 -0.4342E-01  0.3905E-01  0.3613E-09  0.3911E+00 -0.2253E-09  0.3680E-01 -0.4067E-01 -0.1353E-01 -0.5741E-01  0.4602E-02  0.9522E-01  0.1245E+00
