 #NTuple/Z0                                                                      
 output from Ecalc9f version   2.09
  settings: 
    particle type:            2
    pzmin/pzmax:    0.0000000000000000      /   100.00000000000000     
    transverse cuts:    0.0000000000000000        0.0000000000000000     
    longitudinal cut:    0.0000000000000000     
    RF frequency (MHz):    352.00000000000000     
    sigma cut:    0.0000000000000000     
    subtract out amplitude correlation
    wrnew9 =  F

regn #   Z           Bz          eperp       elong       e6D         Ldim        Pzavg       beta        alpha       betaL       alphaL      n0          n1          n2          Lcan(eVs)   sigmaE      sigmaT      corrE       corrT       sigmaE_c    xavg        yavg        Dx          Dy          Dr          Dr2
     1  0.0000E+00  0.7163E-03  0.4977E-02  0.1783E-01  0.4472E-06 -0.1558E+00  0.2383E+00  0.7807E+00 -0.3867E-01  0.7290E+00 -0.1356E-01  0.1433E+06  0.1433E+06  0.1433E+06 -0.5383E-02  0.2313E-01  0.2774E-09  0.2598E+00  0.8603E-09  0.2269E-01 -0.3066E-01 -0.1335E-01 -0.5278E-01 -0.1896E-02  0.6684E-01  0.1533E+00
     2  0.1300E+01  0.6014E-03  0.4853E-02  0.1773E-01  0.4212E-06 -0.1563E+00  0.2379E+00  0.5751E+00 -0.4057E+00  0.7359E+00 -0.2531E-01  0.1414E+06  0.1414E+06  0.1414E+06 -0.5619E-02  0.2293E-01  0.2786E-09  0.2693E+00  0.1250E-08  0.2250E-01 -0.3292E-01 -0.1208E-01 -0.6955E-01  0.4371E-02  0.4395E-01  0.1660E+00
     3  0.2600E+01  0.6900E-03  0.4782E-02  0.1748E-01  0.4051E-06 -0.1538E+00  0.2370E+00  0.4194E+00 -0.7596E-01  0.7443E+00 -0.2461E-01  0.1391E+06  0.1391E+06  0.1391E+06 -0.4506E-02  0.2265E-01  0.2795E-09  0.3082E+00  0.1776E-08  0.2216E-01 -0.3125E-01 -0.1270E-01 -0.5351E-01  0.8904E-03  0.4445E-01  0.1564E+00
     4  0.3900E+01  0.6708E-03  0.4733E-02  0.1750E-01  0.4005E-06 -0.1643E+00  0.2364E+00  0.5201E+00  0.9166E-01  0.7470E+00 -0.1135E-01  0.1381E+06  0.1381E+06  0.1381E+06 -0.5824E-02  0.2269E-01  0.2813E-09  0.3440E+00  0.2169E-08  0.2209E-01 -0.3085E-01 -0.1317E-01 -0.5710E-01 -0.1380E-01  0.9598E-01  0.1607E+00
     5  0.5200E+01  0.6145E-03  0.4659E-02  0.1740E-01  0.3907E-06 -0.1737E+00  0.2354E+00  0.5534E+00 -0.5871E-01  0.7383E+00  0.1453E-02  0.1377E+06  0.1377E+06  0.1377E+06 -0.5737E-02  0.2301E-01  0.2796E-09  0.4391E+00  0.2274E-08  0.2209E-01 -0.3257E-01 -0.1210E-01 -0.6153E-01  0.9692E-02  0.7377E-01  0.1632E+00
     6  0.6500E+01  0.7141E-03  0.4604E-02  0.1726E-01  0.3825E-06 -0.1776E+00  0.2343E+00  0.5077E+00 -0.6895E-01  0.7374E+00  0.8606E-03  0.1372E+06  0.1372E+06  0.1372E+06 -0.5230E-02  0.2315E-01  0.2785E-09  0.5130E+00  0.1848E-08  0.2195E-01 -0.3010E-01 -0.1249E-01 -0.5440E-01  0.2366E-03  0.6168E-01  0.1399E+00
     7  0.7800E+01  0.6240E-03  0.4543E-02  0.1737E-01  0.3762E-06 -0.1904E+00  0.2334E+00  0.5094E+00 -0.4099E-01  0.7278E+00  0.9313E-02  0.1368E+06  0.1368E+06  0.1368E+06 -0.6308E-02  0.2338E-01  0.2776E-09  0.5344E+00  0.1280E-08  0.2211E-01 -0.3110E-01 -0.1340E-01 -0.4679E-01 -0.1019E-01  0.7260E-01  0.1488E+00
     8  0.9100E+01  0.6591E-03  0.4482E-02  0.1727E-01  0.3617E-06 -0.1974E+00  0.2327E+00  0.5112E+00 -0.5287E-01  0.7150E+00  0.1111E-01  0.1364E+06  0.1364E+06  0.1364E+06 -0.6202E-02  0.2354E-01  0.2744E-09  0.5627E+00  0.5200E-09  0.2219E-01 -0.3110E-01 -0.1191E-01 -0.6656E-01  0.6663E-02  0.7861E-01  0.1421E+00
     9  0.1040E+02  0.6942E-03  0.4416E-02  0.1712E-01  0.3486E-06 -0.2015E+00  0.2323E+00  0.5120E+00 -0.3492E-01  0.7048E+00  0.2593E-02  0.1362E+06  0.1362E+06  0.1362E+06 -0.5802E-02  0.2350E-01  0.2715E-09  0.5491E+00 -0.5014E-09  0.2223E-01 -0.3025E-01 -0.1276E-01 -0.5407E-01 -0.1478E-02  0.7101E-01  0.1375E+00
    10  0.1170E+02  0.6109E-03  0.4356E-02  0.1705E-01  0.3360E-06 -0.2100E+00  0.2323E+00  0.5210E+00 -0.5699E-01  0.7096E+00 -0.2107E-01  0.1359E+06  0.1359E+06  0.1359E+06 -0.6607E-02  0.2322E-01  0.2722E-09  0.5146E+00 -0.1020E-08  0.2212E-01 -0.3123E-01 -0.1320E-01 -0.4937E-01 -0.6052E-02  0.7173E-01  0.1495E+00
