 #NTuple/Z0                                                                      
 output from Ecalc9f version   2.09
  settings: 
    particle type:            2
    pzmin/pzmax:    0.0000000000000000      /   100.00000000000000     
    transverse cuts:    0.0000000000000000        0.0000000000000000     
    longitudinal cut:    0.0000000000000000     
    RF frequency (MHz):    704.00000000000000     
    sigma cut:    4.0000000000000000     
    subtract out amplitude correlation
    wrnew9 =  F

regn #   Z           Bz          eperp       elong       e6D         Ldim        Pzavg       beta        alpha       betaL       alphaL      n0          n1          n2          Lcan(eVs)   sigmaE      sigmaT      corrE       corrT       sigmaE_c    xavg        yavg        Dx          Dy          Dr          Dr2
     1  0.0000E+00  0.3219E-02  0.1896E-03  0.1717E-02  0.6105E-10  0.3322E+00  0.1999E+00  0.3194E-01  0.2437E-01  0.4320E+00 -0.1947E-01  0.1766E+05  0.1766E+05  0.1766E+05  0.4439E-03  0.8129E-02  0.7472E-10  0.1215E+01  0.3340E-08  0.8101E-02 -0.9848E-03 -0.1672E-02 -0.8058E-02 -0.1024E-03  0.4036E-02  0.2958E-02
     2  0.6318E+00  0.3241E-02  0.1882E-03  0.1721E-02  0.6018E-10  0.3256E+00  0.2002E+00  0.2464E-01  0.8598E-01  0.4548E+00 -0.1309E+00  0.1754E+05  0.1754E+05  0.1754E+05  0.4305E-03  0.7994E-02  0.7677E-10  0.9075E+00  0.7627E-08  0.7978E-02 -0.1033E-02 -0.1678E-02 -0.7534E-02  0.9458E-04  0.4885E-02  0.3167E-02
     3  0.1264E+01  0.3210E-02  0.1875E-03  0.1716E-02  0.6015E-10  0.3205E+00  0.2007E+00  0.2701E-01 -0.1879E-01  0.5067E+00 -0.2019E+00  0.1741E+05  0.1741E+05  0.1741E+05  0.4136E-03  0.7671E-02  0.8091E-10  0.1010E+01  0.1184E-07  0.7651E-02 -0.1075E-02 -0.1715E-02 -0.6592E-02  0.4707E-05  0.1999E-02  0.3616E-02
     4  0.1895E+01  0.3215E-02  0.1850E-03  0.1719E-02  0.5878E-10  0.3228E+00  0.2011E+00  0.2775E-01  0.2834E-01  0.5705E+00 -0.2147E+00  0.1734E+05  0.1734E+05  0.1734E+05  0.4098E-03  0.7284E-02  0.8583E-10  0.1417E+01  0.1375E-07  0.7244E-02 -0.1044E-02 -0.1680E-02 -0.7192E-02  0.3021E-03  0.4864E-02  0.3859E-02
     5  0.2527E+01  0.3231E-02  0.1828E-03  0.1725E-02  0.5790E-10  0.3224E+00  0.2014E+00  0.2720E-01  0.3791E-01  0.6253E+00 -0.1726E+00  0.1727E+05  0.1727E+05  0.1727E+05  0.4154E-03  0.6932E-02  0.9017E-10  0.1532E+01  0.1881E-07  0.6884E-02 -0.1053E-02 -0.1679E-02 -0.7194E-02 -0.3524E-03  0.4442E-02  0.4284E-02
     6  0.3159E+01  0.3214E-02  0.1815E-03  0.1729E-02  0.5747E-10  0.3243E+00  0.2015E+00  0.2734E-01  0.1470E-01  0.6621E+00 -0.8772E-01  0.1722E+05  0.1722E+05  0.1722E+05  0.4094E-03  0.6706E-02  0.9294E-10  0.1931E+01  0.2091E-07  0.6629E-02 -0.1095E-02 -0.1698E-02 -0.7754E-02 -0.7198E-03  0.5134E-02  0.4760E-02
     7  0.3791E+01  0.3220E-02  0.1802E-03  0.1737E-02  0.5715E-10  0.3246E+00  0.2015E+00  0.2749E-01  0.1502E-01  0.6687E+00  0.2343E-01  0.1718E+05  0.1718E+05  0.1718E+05  0.3982E-03  0.6687E-02  0.9364E-10  0.2203E+01  0.2151E-07  0.6587E-02 -0.1060E-02 -0.1683E-02 -0.6585E-02  0.9121E-03  0.4630E-02  0.4638E-02
     8  0.4422E+01  0.3229E-02  0.1791E-03  0.1739E-02  0.5636E-10  0.3232E+00  0.2013E+00  0.2733E-01  0.1408E-01  0.6442E+00  0.1272E+00  0.1712E+05  0.1712E+05  0.1712E+05  0.4045E-03  0.6892E-02  0.9200E-10  0.2554E+01  0.2117E-07  0.6763E-02 -0.1059E-02 -0.1701E-02 -0.7425E-02  0.1433E-03  0.5968E-02  0.4433E-02
     9  0.5054E+01  0.3210E-02  0.1779E-03  0.1740E-02  0.5574E-10  0.3223E+00  0.2010E+00  0.2758E-01  0.2129E-01  0.5978E+00  0.1979E+00  0.1706E+05  0.1706E+05  0.1706E+05  0.4024E-03  0.7250E-02  0.8870E-10  0.2877E+01  0.1978E-07  0.7096E-02 -0.1070E-02 -0.1695E-02 -0.7210E-02 -0.1380E-03  0.5625E-02  0.4001E-02
    10  0.5686E+01  0.3218E-02  0.1769E-03  0.1735E-02  0.5508E-10  0.3179E+00  0.2006E+00  0.2678E-01  0.2387E-01  0.5389E+00  0.2221E+00  0.1700E+05  0.1700E+05  0.1700E+05  0.3853E-03  0.7663E-02  0.8419E-10  0.3172E+01  0.1829E-07  0.7487E-02 -0.1042E-02 -0.1670E-02 -0.6485E-02  0.7463E-04  0.5072E-02  0.3445E-02
    11  0.6318E+01  0.3237E-02  0.1768E-03  0.1731E-02  0.5479E-10  0.3184E+00  0.2001E+00  0.2690E-01  0.1089E-01  0.4819E+00  0.1939E+00  0.1695E+05  0.1695E+05  0.1695E+05  0.3877E-03  0.8056E-02  0.7958E-10  0.3476E+01  0.1574E-07  0.7852E-02 -0.1031E-02 -0.1698E-02 -0.7126E-02 -0.7232E-03  0.5292E-02  0.3167E-02
    12  0.6950E+01  0.3210E-02  0.1756E-03  0.1732E-02  0.5396E-10  0.3157E+00  0.1997E+00  0.2669E-01  0.1657E-01  0.4391E+00  0.1196E+00  0.1689E+05  0.1689E+05  0.1689E+05  0.3809E-03  0.8337E-02  0.7599E-10  0.3675E+01  0.1270E-07  0.8120E-02 -0.1021E-02 -0.1692E-02 -0.7515E-02  0.3016E-03  0.5033E-02  0.2916E-02
    13  0.7581E+01  0.3208E-02  0.1746E-03  0.1734E-02  0.5345E-10  0.3148E+00  0.1992E+00  0.2657E-01  0.1128E-01  0.4216E+00  0.2039E-01  0.1685E+05  0.1685E+05  0.1685E+05  0.3767E-03  0.8436E-02  0.7451E-10  0.3668E+01  0.9073E-08  0.8221E-02 -0.9896E-03 -0.1681E-02 -0.6921E-02 -0.1634E-03  0.4974E-02  0.2765E-02
    14  0.8213E+01  0.3242E-02  0.1728E-03  0.1731E-02  0.5227E-10  0.3153E+00  0.1987E+00  0.2668E-01  0.1401E-01  0.4318E+00 -0.8255E-01  0.1679E+05  0.1679E+05  0.1679E+05  0.3799E-03  0.8339E-02  0.7537E-10  0.3664E+01  0.5791E-08  0.8128E-02 -0.9924E-03 -0.1691E-02 -0.7227E-02  0.3356E-04  0.4920E-02  0.2848E-02
