 #NTuple/Z0                                                                      
 output from Ecalc9f version   2.09
  settings: 
    particle type:            2
    pzmin/pzmax:    0.0000000000000000      /   100.00000000000000     
    transverse cuts:    0.0000000000000000        0.0000000000000000     
    longitudinal cut:    0.0000000000000000     
    RF frequency (MHz):    704.00000000000000     
    sigma cut:    4.0000000000000000     
    subtract out amplitude correlation
    wrnew9 =  F

regn #   Z           Bz          eperp       elong       e6D         Ldim        Pzavg       beta        alpha       betaL       alphaL      n0          n1          n2          Lcan(eVs)   sigmaE      sigmaT      corrE       corrT       sigmaE_c    xavg        yavg        Dx          Dy          Dr          Dr2
     1  0.0000E+00  0.3227E-02  0.1997E-03  0.1772E-02  0.7052E-10  0.2666E+00  0.2039E+00  0.3086E-01  0.4560E-01  0.4972E+00  0.6494E-01  0.1720E+05  0.1720E+05  0.1720E+05  0.3551E-03  0.7843E-02  0.8049E-10  0.1559E+01 -0.1065E-07  0.7796E-02 -0.1040E-02 -0.1675E-02 -0.7063E-02  0.1421E-03  0.2571E-02  0.3367E-02
     2  0.6318E+00  0.3239E-02  0.1965E-03  0.1769E-02  0.6741E-10  0.2637E+00  0.2050E+00  0.2517E-01  0.1259E+00  0.4828E+00  0.4989E-01  0.1704E+05  0.1704E+05  0.1704E+05  0.3949E-03  0.7939E-02  0.7885E-10  0.8106E+00 -0.8438E-08  0.7928E-02 -0.1178E-02 -0.1703E-02 -0.7985E-02 -0.3189E-03  0.4309E-02  0.3671E-02
     3  0.1264E+01  0.3198E-02  0.1967E-03  0.1762E-02  0.6757E-10  0.2529E+00  0.2061E+00  0.2567E-01  0.1472E-01  0.4756E+00  0.2803E-01  0.1691E+05  0.1691E+05  0.1691E+05  0.3240E-03  0.8005E-02  0.7770E-10  0.5922E+00 -0.2561E-08  0.7998E-02 -0.1238E-02 -0.1690E-02 -0.6101E-02  0.7255E-03 -0.5831E-03  0.3693E-02
     4  0.1895E+01  0.3222E-02  0.1946E-03  0.1749E-02  0.6566E-10  0.2507E+00  0.2069E+00  0.2608E-01  0.3659E-01  0.4746E+00  0.8317E-02  0.1679E+05  0.1679E+05  0.1679E+05  0.3376E-03  0.8002E-02  0.7710E-10  0.6402E+00  0.1856E-08  0.7995E-02 -0.1170E-02 -0.1698E-02 -0.6159E-02 -0.4796E-03  0.1178E-02  0.3614E-02
     5  0.2527E+01  0.3233E-02  0.1933E-03  0.1747E-02  0.6427E-10  0.2502E+00  0.2074E+00  0.2585E-01  0.3857E-01  0.4767E+00 -0.1037E-01  0.1669E+05  0.1669E+05  0.1669E+05  0.3481E-03  0.7987E-02  0.7724E-10  0.3822E+00  0.9038E-08  0.7985E-02 -0.1241E-02 -0.1684E-02 -0.8455E-02  0.2479E-03  0.1669E-02  0.3749E-02
     6  0.3159E+01  0.3203E-02  0.1904E-03  0.1749E-02  0.6298E-10  0.2497E+00  0.2074E+00  0.2578E-01  0.2205E-01  0.4822E+00 -0.1891E-01  0.1659E+05  0.1659E+05  0.1659E+05  0.3113E-03  0.7950E-02  0.7799E-10  0.4228E+00  0.1555E-07  0.7947E-02 -0.1229E-02 -0.1701E-02 -0.6618E-02 -0.1788E-03  0.1139E-02  0.3805E-02
     7  0.3791E+01  0.3223E-02  0.1891E-03  0.1752E-02  0.6253E-10  0.2493E+00  0.2071E+00  0.2588E-01  0.1941E-01  0.4879E+00 -0.1883E-01  0.1651E+05  0.1651E+05  0.1651E+05  0.3407E-03  0.7910E-02  0.7886E-10  0.8876E+00  0.2006E-07  0.7897E-02 -0.1202E-02 -0.1699E-02 -0.6920E-02 -0.1994E-03  0.1530E-02  0.3772E-02
     8  0.4422E+01  0.3232E-02  0.1878E-03  0.1756E-02  0.6200E-10  0.2475E+00  0.2064E+00  0.2573E-01  0.9376E-02  0.4907E+00 -0.1183E-01  0.1644E+05  0.1644E+05  0.1644E+05  0.3180E-03  0.7896E-02  0.7964E-10  0.1425E+01  0.2392E-07  0.7863E-02 -0.1216E-02 -0.1682E-02 -0.7502E-02  0.2339E-03  0.2109E-02  0.3746E-02
     9  0.5054E+01  0.3201E-02  0.1853E-03  0.1756E-02  0.6094E-10  0.2500E+00  0.2053E+00  0.2622E-01 -0.1269E-01  0.4897E+00 -0.4995E-03  0.1636E+05  0.1636E+05  0.1636E+05  0.3118E-03  0.7899E-02  0.8002E-10  0.1907E+01  0.2628E-07  0.7841E-02 -0.1161E-02 -0.1701E-02 -0.6412E-02 -0.4216E-03  0.2525E-02  0.3660E-02
    10  0.5686E+01  0.3224E-02  0.1836E-03  0.1756E-02  0.5998E-10  0.2514E+00  0.2040E+00  0.2649E-01  0.7297E-03  0.4857E+00  0.9559E-02  0.1629E+05  0.1629E+05  0.1629E+05  0.3253E-03  0.7933E-02  0.8013E-10  0.2452E+01  0.2732E-07  0.7839E-02 -0.1134E-02 -0.1694E-02 -0.7204E-02  0.1873E-03  0.3731E-02  0.3528E-02
