 #NTuple/Z0                                                                      
 output from Ecalc9f version   2.09
  settings: 
    particle type:            2
    pzmin/pzmax:    0.0000000000000000      /   100.00000000000000     
    transverse cuts:    0.0000000000000000        0.0000000000000000     
    longitudinal cut:    0.0000000000000000     
    RF frequency (MHz):    352.00000000000000     
    sigma cut:    4.0000000000000000     
    subtract out amplitude correlation
    wrnew9 =  F

regn #   Z           Bz          eperp       elong       e6D         Ldim        Pzavg       beta        alpha       betaL       alphaL      n0          n1          n2          Lcan(eVs)   sigmaE      sigmaT      corrE       corrT       sigmaE_c    xavg        yavg        Dx          Dy          Dr          Dr2
     1  0.0000E+00  0.7813E-03  0.5129E-02  0.9991E-02  0.2625E-06 -0.2314E-01  0.2082E+00  0.3786E+00  0.6569E-02  0.8610E+00  0.2623E+00  0.5360E+05  0.5360E+05  0.5360E+05 -0.2136E-03  0.1474E-01  0.2472E-09  0.5334E-01 -0.5487E-09  0.1473E-01 -0.9685E-02 -0.1042E-01 -0.6337E-02 -0.1776E-02 -0.8255E-02  0.5068E-01
     2  0.2300E+01  0.7929E-03  0.5071E-02  0.1029E-01  0.2659E-06 -0.2374E-01  0.2045E+00  0.4049E+00  0.8621E-01  0.5974E+00  0.1320E+00  0.5334E+05  0.5334E+05  0.5334E+05 -0.1629E-02  0.1731E-01  0.2160E-09  0.7370E-01  0.3458E-08  0.1729E-01 -0.1186E-01 -0.8882E-02 -0.4712E-01 -0.4426E-02  0.3911E-01  0.4295E-01
     3  0.4600E+01  0.7095E-03  0.5028E-02  0.1086E-01  0.2943E-06 -0.1946E-01  0.2020E+00  0.3923E+00  0.1925E+00  0.7032E+00 -0.2918E+00  0.5326E+05  0.5326E+05  0.5326E+05 -0.1373E-02  0.1686E-01  0.2536E-09  0.1342E+00  0.6397E-08  0.1676E-01 -0.6357E-02 -0.1185E-01 -0.5623E-01  0.2210E-01  0.6893E-01  0.4032E-01
     4  0.6900E+01  0.8172E-03  0.4813E-02  0.1073E-01  0.2717E-06 -0.3458E-01  0.2012E+00  0.3952E+00  0.2237E+00  0.1119E+01 -0.3411E+00  0.5279E+05  0.5279E+05  0.5279E+05 -0.9772E-03  0.1395E-01  0.3116E-09  0.3100E+00  0.6725E-08  0.1336E-01 -0.8969E-02 -0.9734E-02 -0.8878E-01  0.1616E-01  0.9494E-01  0.5746E-01
     5  0.9200E+01  0.7328E-03  0.4631E-02  0.1050E-01  0.2470E-06 -0.3122E-01  0.2013E+00  0.3759E+00  0.2210E+00  0.1196E+01 -0.2057E-01  0.5192E+05  0.5192E+05  0.5192E+05 -0.1252E-02  0.1316E-01  0.3115E-09  0.4223E+00  0.4847E-08  0.1210E-01 -0.9547E-02 -0.9692E-02 -0.1992E-01 -0.1347E-01  0.1233E+00  0.6822E-01
     6  0.1150E+02  0.7682E-03  0.4521E-02  0.1063E-01  0.2289E-06 -0.3612E-01  0.2035E+00  0.3907E+00  0.2073E+00  0.9579E+00  0.1458E+00  0.5106E+05  0.5106E+05  0.5106E+05 -0.1469E-02  0.1483E-01  0.2746E-09  0.4307E+00  0.2151E-08  0.1385E-01 -0.9548E-02 -0.1151E-01 -0.7057E-01  0.2019E-01  0.1017E+00  0.6453E-01
     7  0.1380E+02  0.7807E-03  0.4368E-02  0.1024E-01  0.2025E-06 -0.3838E-01  0.2071E+00  0.4225E+00  0.2909E+00  0.8163E+00 -0.1691E-02  0.5033E+05  0.5033E+05  0.5033E+05 -0.1031E-02  0.1548E-01  0.2447E-09  0.3844E+00  0.8818E-09  0.1476E-01 -0.1051E-01 -0.9416E-02 -0.4595E-01  0.4776E-03  0.7590E-01  0.5353E-01
     8  0.1610E+02  0.7419E-03  0.4283E-02  0.9960E-02  0.1885E-06 -0.4419E-01  0.2105E+00  0.4215E+00  0.3428E+00  0.8795E+00 -0.1543E+00  0.4985E+05  0.4985E+05  0.4985E+05 -0.1635E-02  0.1489E-01  0.2476E-09  0.3186E+00  0.5984E-09  0.1435E-01 -0.1113E-01 -0.1117E-01 -0.4919E-01 -0.4319E-02  0.9182E-01  0.7236E-01
     9  0.1840E+02  0.7814E-03  0.4215E-02  0.9809E-02  0.1786E-06 -0.3978E-01  0.2120E+00  0.4110E+00  0.3292E+00  0.9992E+00 -0.1243E+00  0.4942E+05  0.4942E+05  0.4942E+05 -0.1054E-02  0.1388E-01  0.2607E-09  0.2933E+00  0.7720E-09  0.1337E-01 -0.1188E-01 -0.9406E-02 -0.6370E-01  0.2699E-01  0.1036E+00  0.7857E-01
    10  0.2070E+02  0.7579E-03  0.4141E-02  0.9384E-02  0.1663E-06 -0.4711E-01  0.2110E+00  0.3964E+00  0.2937E+00  0.9777E+00  0.7048E-01  0.4900E+05  0.4900E+05  0.4900E+05 -0.1625E-02  0.1366E-01  0.2532E-09  0.3003E+00  0.1036E-08  0.1311E-01 -0.1055E-01 -0.1141E-01 -0.3407E-01 -0.8158E-02  0.1007E+00  0.8324E-01
    11  0.2300E+02  0.7648E-03  0.4112E-02  0.9029E-02  0.1570E-06 -0.4216E-01  0.2083E+00  0.3831E+00  0.2385E+00  0.7897E+00  0.2064E+00  0.4857E+05  0.4857E+05  0.4857E+05 -0.1000E-02  0.1497E-01  0.2253E-09  0.3003E+00  0.9409E-09  0.1444E-01 -0.1183E-01 -0.9205E-02 -0.5329E-01  0.4596E-02  0.8661E-01  0.6423E-01
    12  0.2530E+02  0.7643E-03  0.4063E-02  0.8993E-02  0.1518E-06 -0.4363E-01  0.2052E+00  0.3886E+00  0.2134E+00  0.6384E+00  0.4461E-01  0.4832E+05  0.4832E+05  0.4832E+05 -0.1879E-02  0.1609E-01  0.2046E-09  0.3098E+00  0.1212E-08  0.1555E-01 -0.8573E-02 -0.1056E-01 -0.4599E-01 -0.9730E-02  0.6298E-01  0.4520E-01
    13  0.2760E+02  0.7711E-03  0.3995E-02  0.8999E-02  0.1484E-06 -0.4376E-01  0.2028E+00  0.3824E+00  0.2487E+00  0.7442E+00 -0.1755E+00  0.4823E+05  0.4823E+05  0.4823E+05 -0.1092E-02  0.1510E-01  0.2231E-09  0.3122E+00  0.1474E-08  0.1449E-01 -0.9521E-02 -0.1061E-01 -0.6598E-01  0.4018E-01  0.6351E-01  0.5378E-01
    14  0.2990E+02  0.7538E-03  0.3876E-02  0.8941E-02  0.1418E-06 -0.4706E-01  0.2019E+00  0.3601E+00  0.2220E+00  0.9533E+00 -0.1127E+00  0.4808E+05  0.4808E+05  0.4808E+05 -0.1560E-02  0.1339E-01  0.2525E-09  0.3396E+00  0.1708E-08  0.1261E-01 -0.8982E-02 -0.9909E-02 -0.4675E-01 -0.2166E-01  0.9213E-01  0.6137E-01
    15  0.3220E+02  0.7749E-03  0.3732E-02  0.8993E-02  0.1316E-06 -0.4070E-01  0.2024E+00  0.3560E+00  0.1719E+00  0.9451E+00  0.8239E-01  0.4782E+05  0.4782E+05  0.4782E+05 -0.1086E-02  0.1345E-01  0.2513E-09  0.3432E+00  0.1426E-08  0.1269E-01 -0.9218E-02 -0.1015E-01 -0.5478E-01  0.1530E-01  0.8165E-01  0.6249E-01
    16  0.3450E+02  0.7649E-03  0.3600E-02  0.9114E-02  0.1208E-06 -0.4210E-01  0.2047E+00  0.3725E+00  0.1560E+00  0.8186E+00  0.7723E-01  0.4754E+05  0.4754E+05  0.4754E+05 -0.1222E-02  0.1436E-01  0.2334E-09  0.3086E+00  0.1224E-08  0.1383E-01 -0.1083E-01 -0.1085E-01 -0.5584E-01  0.2894E-02  0.6085E-01  0.6710E-01
    17  0.3680E+02  0.7510E-03  0.3461E-02  0.9037E-02  0.1102E-06 -0.4390E-01  0.2078E+00  0.3900E+00  0.1886E+00  0.8042E+00 -0.6363E-01  0.4726E+05  0.4726E+05  0.4726E+05 -0.1137E-02  0.1439E-01  0.2281E-09  0.2684E+00  0.1383E-08  0.1403E-01 -0.9905E-02 -0.9952E-02 -0.5933E-01  0.1313E-01  0.5520E-01  0.5729E-01
