 #NTuple/Z0                                                                      
 output from Ecalc9f version   2.09
  settings: 
    particle type:            2
    pzmin/pzmax:    0.0000000000000000      /   100.00000000000000     
    transverse cuts:    0.0000000000000000        0.0000000000000000     
    longitudinal cut:    0.0000000000000000     
    RF frequency (MHz):    352.00000000000000     
    sigma cut:    4.0000000000000000     
    subtract out amplitude correlation
    wrnew9 =  F

regn #   Z           Bz          eperp       elong       e6D         Ldim        Pzavg       beta        alpha       betaL       alphaL      n0          n1          n2          Lcan(eVs)   sigmaE      sigmaT      corrE       corrT       sigmaE_c    xavg        yavg        Dx          Dy          Dr          Dr2
     1  0.0000E+00  0.1412E-02  0.2844E-02  0.8932E-02  0.7332E-07 -0.4008E-01  0.2040E+00  0.3813E+00  0.2241E+00  0.8362E+00  0.4139E-01  0.4563E+05  0.4563E+05  0.4563E+05 -0.7565E-03  0.1386E-01  0.2336E-09  0.3248E+00  0.3130E-09  0.1349E-01 -0.8357E-02 -0.1164E-01 -0.5255E-01  0.1588E-01  0.5309E-01  0.6165E-01
     2  0.1800E+01  0.1444E-02  0.2811E-02  0.8909E-02  0.7049E-07 -0.4073E-01  0.2051E+00  0.3269E+00  0.3297E+00  0.7985E+00  0.8826E-02  0.4548E+05  0.4548E+05  0.4548E+05 -0.8586E-03  0.1413E-01  0.2276E-09  0.3004E+00  0.1470E-08  0.1382E-01 -0.1115E-01 -0.1125E-01 -0.6497E-01  0.7585E-03  0.7340E-01  0.7368E-01
     3  0.3600E+01  0.1285E-02  0.2760E-02  0.8833E-02  0.6824E-07 -0.4366E-01  0.2054E+00  0.2888E+00  0.1988E+00  0.8053E+00 -0.3200E-01  0.4532E+05  0.4532E+05  0.4532E+05 -0.1155E-02  0.1408E-01  0.2280E-09  0.3220E+00  0.2393E-08  0.1373E-01 -0.8558E-02 -0.1173E-01 -0.5554E-01  0.1239E-02  0.6496E-01  0.6241E-01
     4  0.5400E+01  0.1467E-02  0.2742E-02  0.8758E-02  0.6684E-07 -0.3830E-01  0.2049E+00  0.3041E+00  0.1071E+00  0.8260E+00 -0.3813E-01  0.4514E+05  0.4514E+05  0.4514E+05 -0.5490E-03  0.1390E-01  0.2312E-09  0.3534E+00  0.3165E-08  0.1348E-01 -0.1038E-01 -0.1109E-01 -0.7159E-01  0.2125E-02  0.6293E-01  0.6899E-01
     5  0.7200E+01  0.1356E-02  0.2681E-02  0.8744E-02  0.6551E-07 -0.4016E-01  0.2035E+00  0.3236E+00  0.1132E+00  0.8251E+00  0.6278E-02  0.4494E+05  0.4494E+05  0.4494E+05 -0.1203E-02  0.1396E-01  0.2325E-09  0.4154E+00  0.3612E-08  0.1340E-01 -0.9088E-02 -0.1155E-01 -0.4366E-01  0.3898E-02  0.6312E-01  0.6383E-01
     6  0.9000E+01  0.1362E-02  0.2679E-02  0.8765E-02  0.6553E-07 -0.3421E-01  0.2016E+00  0.3349E+00  0.1638E+00  0.7898E+00  0.2207E-01  0.4478E+05  0.4478E+05  0.4478E+05 -0.6570E-03  0.1436E-01  0.2292E-09  0.4841E+00  0.3517E-08  0.1362E-01 -0.8670E-02 -0.1152E-01 -0.6726E-01 -0.1889E-02  0.8481E-01  0.5943E-01
     7  0.1080E+02  0.1436E-02  0.2629E-02  0.8700E-02  0.6308E-07 -0.3470E-01  0.2000E+00  0.3250E+00  0.2071E+00  0.7667E+00 -0.4239E-02  0.4456E+05  0.4456E+05  0.4456E+05 -0.9138E-03  0.1455E-01  0.2254E-09  0.5333E+00  0.2698E-08  0.1369E-01 -0.8481E-02 -0.1081E-01 -0.5276E-01  0.9249E-02  0.8158E-01  0.5243E-01
     8  0.1260E+02  0.1345E-02  0.2610E-02  0.8473E-02  0.6092E-07 -0.3343E-01  0.1991E+00  0.3126E+00  0.2181E+00  0.7860E+00 -0.4118E-01  0.4440E+05  0.4440E+05  0.4440E+05 -0.8619E-03  0.1432E-01  0.2251E-09  0.5700E+00  0.1806E-08  0.1331E-01 -0.8021E-02 -0.1221E-01 -0.6838E-01  0.2822E-02  0.8501E-01  0.6022E-01
     9  0.1440E+02  0.1400E-02  0.2563E-02  0.8325E-02  0.5806E-07 -0.3375E-01  0.1993E+00  0.3032E+00  0.1894E+00  0.8322E+00 -0.3988E-01  0.4426E+05  0.4426E+05  0.4426E+05 -0.5191E-03  0.1382E-01  0.2289E-09  0.5621E+00  0.7733E-09  0.1283E-01 -0.8139E-02 -0.1068E-01 -0.4839E-01  0.4642E-02  0.7932E-01  0.5472E-01
    10  0.1620E+02  0.1397E-02  0.2565E-02  0.8136E-02  0.5581E-07 -0.3039E-01  0.2004E+00  0.3149E+00  0.1665E+00  0.8547E+00 -0.1642E-01  0.4408E+05  0.4408E+05  0.4408E+05 -0.9065E-03  0.1341E-01  0.2283E-09  0.5107E+00 -0.6017E-10  0.1256E-01 -0.9080E-02 -0.1150E-01 -0.7544E-01 -0.4050E-02  0.8780E-01  0.6874E-01
