 #NTuple/Z0                                                                      
 output from Ecalc9f version   2.09
  settings: 
    particle type:            2
    pzmin/pzmax:    0.0000000000000000      /   100.00000000000000     
    transverse cuts:    0.0000000000000000        0.0000000000000000     
    longitudinal cut:    0.0000000000000000     
    RF frequency (MHz):    352.00000000000000     
    sigma cut:    4.0000000000000000     
    subtract out amplitude correlation
    wrnew9 =  F

regn #   Z           Bz          eperp       elong       e6D         Ldim        Pzavg       beta        alpha       betaL       alphaL      n0          n1          n2          Lcan(eVs)   sigmaE      sigmaT      corrE       corrT       sigmaE_c    xavg        yavg        Dx          Dy          Dr          Dr2
     1  0.0000E+00  0.2450E-02  0.2017E-02  0.5869E-02  0.2419E-07 -0.2965E-01  0.2060E+00  0.3293E+00  0.1861E+00  0.7855E+00  0.6145E-02  0.4094E+05  0.4094E+05  0.4094E+05 -0.4506E-03  0.1169E-01  0.1824E-09  0.3754E+00  0.7077E-09  0.1135E-01 -0.6194E-02 -0.8419E-02 -0.5834E-01 -0.4547E-02  0.6840E-01  0.4784E-01
     2  0.1400E+01  0.2522E-02  0.2009E-02  0.5882E-02  0.2417E-07 -0.2617E-01  0.2062E+00  0.2398E+00  0.4865E+00  0.7722E+00  0.7414E-02  0.4073E+05  0.4073E+05  0.4073E+05 -0.3241E-03  0.1174E-01  0.1822E-09  0.3358E+00  0.2972E-08  0.1147E-01 -0.7037E-02 -0.8048E-02 -0.3369E-01  0.3306E-02  0.7784E-01  0.4962E-01
     3  0.2800E+01  0.2305E-02  0.2042E-02  0.5790E-02  0.2515E-07 -0.3101E-01  0.2063E+00  0.1756E+00  0.2400E+00  0.7768E+00  0.1677E-01  0.4055E+05  0.4055E+05  0.4055E+05 -0.6038E-03  0.1176E-01  0.1835E-09  0.4018E+00  0.4761E-08  0.1135E-01 -0.7052E-02 -0.8642E-02 -0.3679E-01 -0.1079E-02  0.5374E-01  0.5172E-01
     4  0.4200E+01  0.2515E-02  0.2084E-02  0.5742E-02  0.2649E-07 -0.2970E-01  0.2064E+00  0.1853E+00  0.8728E-01  0.7722E+00  0.2550E-01  0.4041E+05  0.4041E+05  0.4041E+05 -0.4469E-03  0.1195E-01  0.1841E-09  0.4770E+00  0.5712E-08  0.1134E-01 -0.6520E-02 -0.8177E-02 -0.4748E-01  0.2726E-02  0.2653E-01  0.4306E-01
     5  0.5600E+01  0.2435E-02  0.2063E-02  0.5705E-02  0.2633E-07 -0.3230E-01  0.2061E+00  0.1985E+00  0.7515E-01  0.7572E+00  0.3951E-01  0.4025E+05  0.4025E+05  0.4025E+05 -0.5105E-03  0.1229E-01  0.1818E-09  0.5892E+00  0.5654E-08  0.1141E-01 -0.6903E-02 -0.8163E-02 -0.4305E-01 -0.2035E-02  0.3867E-01  0.4306E-01
     6  0.7000E+01  0.2367E-02  0.2018E-02  0.5686E-02  0.2546E-07 -0.2648E-01  0.2055E+00  0.2025E+00  0.9528E-01  0.7286E+00  0.3660E-01  0.4010E+05  0.4010E+05  0.4010E+05 -0.4798E-03  0.1273E-01  0.1772E-09  0.6941E+00  0.5006E-08  0.1159E-01 -0.6708E-02 -0.8435E-02 -0.4619E-01 -0.2509E-03  0.4893E-01  0.4126E-01
     7  0.8400E+01  0.2491E-02  0.1974E-02  0.5683E-02  0.2469E-07 -0.2952E-01  0.2047E+00  0.2004E+00  0.1056E+00  0.7180E+00  0.9129E-02  0.4001E+05  0.4001E+05  0.4001E+05 -0.4235E-03  0.1300E-01  0.1751E-09  0.7813E+00  0.4261E-08  0.1163E-01 -0.6397E-02 -0.8122E-02 -0.4138E-01  0.1083E-02  0.5633E-01  0.3681E-01
     8  0.9800E+01  0.2408E-02  0.1933E-02  0.5660E-02  0.2359E-07 -0.2720E-01  0.2039E+00  0.2018E+00  0.9217E-01  0.7239E+00 -0.2375E-01  0.3990E+05  0.3990E+05  0.3990E+05 -0.4632E-03  0.1299E-01  0.1749E-09  0.8249E+00  0.3440E-08  0.1153E-01 -0.6628E-02 -0.8355E-02 -0.4709E-01 -0.1836E-02  0.6059E-01  0.3905E-01
     9  0.1120E+02  0.2422E-02  0.1899E-02  0.5632E-02  0.2279E-07 -0.2730E-01  0.2033E+00  0.2046E+00  0.1067E+00  0.7444E+00 -0.2101E-01  0.3983E+05  0.3983E+05  0.3983E+05 -0.4245E-03  0.1280E-01  0.1762E-09  0.8422E+00  0.2149E-08  0.1131E-01 -0.6028E-02 -0.8253E-02 -0.3791E-01  0.1619E-02  0.5738E-01  0.3676E-01
    10  0.1260E+02  0.2471E-02  0.1876E-02  0.5593E-02  0.2170E-07 -0.2525E-01  0.2028E+00  0.2048E+00  0.1211E+00  0.7578E+00 -0.1821E-02  0.3973E+05  0.3973E+05  0.3973E+05 -0.3654E-03  0.1254E-01  0.1768E-09  0.8263E+00  0.9062E-09  0.1115E-01 -0.6449E-02 -0.8222E-02 -0.4849E-01 -0.2878E-03  0.6030E-01  0.3982E-01
