 #NTuple/Z0                                                                      
 output from Ecalc9f version   2.09
  settings: 
    particle type:            2
    pzmin/pzmax:    0.0000000000000000      /   100.00000000000000     
    transverse cuts:    0.0000000000000000        0.0000000000000000     
    longitudinal cut:    0.0000000000000000     
    RF frequency (MHz):    704.00000000000000     
    sigma cut:    4.0000000000000000     
    subtract out amplitude correlation
    wrnew9 =  F

regn #   Z           Bz          eperp       elong       e6D         Ldim        Pzavg       beta        alpha       betaL       alphaL      n0          n1          n2          Lcan(eVs)   sigmaE      sigmaT      corrE       corrT       sigmaE_c    xavg        yavg        Dx          Dy          Dr          Dr2
     1  0.0000E+00  0.0000E+00  0.3855E-03  0.2064E-02  0.3121E-09  0.1455E+00  0.2076E+00  0.5062E-01  0.3358E-01  0.4411E+00  0.1274E-01  0.2348E+05  0.2348E+05  0.2348E+05  0.3934E-03  0.9297E-02  0.8065E-10  0.1820E+01  0.2828E-08  0.9030E-02 -0.1036E-02 -0.1800E-02 -0.1251E-01  0.8559E-03  0.4803E-02  0.2779E-02
     2  0.6500E+00  0.0000E+00  0.3739E-03  0.2080E-02  0.2936E-09  0.1439E+00  0.2070E+00  0.3353E-01  0.2265E+00  0.4317E+00  0.2817E-01  0.2325E+05  0.2325E+05  0.2325E+05  0.4167E-03  0.9336E-02  0.8029E-10  0.1642E+01  0.3908E-08  0.9146E-02 -0.1214E-02 -0.1780E-02 -0.7173E-02 -0.1792E-03  0.9406E-02  0.2992E-02
     3  0.1300E+01  0.0000E+00  0.3780E-03  0.2060E-02  0.3007E-09  0.1387E+00  0.2067E+00  0.3493E-01 -0.8719E-01  0.4249E+00  0.4012E-01  0.2303E+05  0.2303E+05  0.2303E+05  0.3344E-03  0.9365E-02  0.7957E-10  0.1663E+01  0.6120E-08  0.9168E-02 -0.1339E-02 -0.1841E-02 -0.4974E-02 -0.6933E-03 -0.1085E-02  0.3198E-02
     4  0.1950E+01  0.0000E+00  0.3766E-03  0.2041E-02  0.2956E-09  0.1396E+00  0.2060E+00  0.3880E-01  0.1988E-01  0.4152E+00  0.4704E-01  0.2290E+05  0.2290E+05  0.2290E+05  0.3255E-03  0.9460E-02  0.7846E-10  0.1885E+01  0.6164E-08  0.9215E-02 -0.1057E-02 -0.1808E-02 -0.8012E-02  0.6462E-04  0.5218E-02  0.2694E-02
     5  0.2600E+01  0.0000E+00  0.3674E-03  0.2048E-02  0.2799E-09  0.1438E+00  0.2050E+00  0.3684E-01  0.1908E-01  0.4024E+00  0.2781E-01  0.2279E+05  0.2279E+05  0.2279E+05  0.3947E-03  0.9566E-02  0.7774E-10  0.1932E+01  0.7335E-08  0.9336E-02 -0.1079E-02 -0.1791E-02 -0.1055E-01  0.3259E-03  0.6589E-02  0.2621E-02
     6  0.3250E+01  0.0000E+00  0.3635E-03  0.2050E-02  0.2765E-09  0.1454E+00  0.2040E+00  0.3729E-01  0.1985E-02  0.3958E+00 -0.7421E-02  0.2272E+05  0.2272E+05  0.2272E+05  0.3575E-03  0.9626E-02  0.7748E-10  0.2010E+01  0.7911E-08  0.9383E-02 -0.1187E-02 -0.1834E-02 -0.8574E-02  0.2254E-03  0.5539E-02  0.2788E-02
     7  0.3900E+01  0.0000E+00  0.3598E-03  0.2042E-02  0.2728E-09  0.1479E+00  0.2029E+00  0.3707E-01  0.1231E-01  0.4007E+00 -0.3901E-01  0.2267E+05  0.2267E+05  0.2267E+05  0.3525E-03  0.9577E-02  0.7800E-10  0.2247E+01  0.7133E-08  0.9276E-02 -0.1023E-02 -0.1824E-02 -0.6743E-02 -0.4397E-03  0.6518E-02  0.2572E-02
     8  0.4550E+01  0.0000E+00  0.3571E-03  0.2043E-02  0.2689E-09  0.1494E+00  0.2019E+00  0.3723E-01  0.4001E-02  0.4137E+00 -0.6227E-01  0.2261E+05  0.2261E+05  0.2261E+05  0.3820E-03  0.9453E-02  0.7946E-10  0.2404E+01  0.6405E-08  0.9109E-02 -0.1006E-02 -0.1773E-02 -0.8286E-02 -0.9515E-04  0.7696E-02  0.2504E-02
     9  0.5200E+01  0.0000E+00  0.3545E-03  0.2044E-02  0.2654E-09  0.1515E+00  0.2011E+00  0.3734E-01  0.1673E-01  0.4304E+00 -0.6545E-01  0.2255E+05  0.2255E+05  0.2255E+05  0.3564E-03  0.9279E-02  0.8121E-10  0.2478E+01  0.5376E-08  0.8911E-02 -0.1055E-02 -0.1809E-02 -0.9318E-02  0.6244E-04  0.8424E-02  0.2726E-02
    10  0.5850E+01  0.0000E+00  0.3510E-03  0.2041E-02  0.2610E-09  0.1549E+00  0.2005E+00  0.3715E-01  0.1156E-01  0.4455E+00 -0.4303E-01  0.2250E+05  0.2250E+05  0.2250E+05  0.3586E-03  0.9113E-02  0.8260E-10  0.2557E+01  0.3536E-08  0.8724E-02 -0.9444E-03 -0.1839E-02 -0.8150E-02 -0.8461E-04  0.8774E-02  0.2748E-02
