 #NTuple/Z0                                                                      
 output from Ecalc9f version   2.09
  settings: 
    particle type:            2
    pzmin/pzmax:    0.0000000000000000      /   100.00000000000000     
    transverse cuts:    0.0000000000000000        0.0000000000000000     
    longitudinal cut:    0.0000000000000000     
    RF frequency (MHz):    704.00000000000000     
    sigma cut:    4.0000000000000000     
    subtract out amplitude correlation
    wrnew9 =  F

regn #   Z           Bz          eperp       elong       e6D         Ldim        Pzavg       beta        alpha       betaL       alphaL      n0          n1          n2          Lcan(eVs)   sigmaE      sigmaT      corrE       corrT       sigmaE_c    xavg        yavg        Dx          Dy          Dr          Dr2
     1  0.0000E+00  0.2857E-02  0.2569E-03  0.1880E-02  0.1229E-09  0.3349E+00  0.1956E+00  0.3957E-01  0.2285E-01  0.4552E+00 -0.2417E-01  0.2065E+05  0.2065E+05  0.2065E+05  0.5961E-03  0.8156E-02  0.8156E-10  0.8171E+00  0.3992E-08  0.8131E-02 -0.7797E-03 -0.1769E-02 -0.9574E-02 -0.6856E-04  0.3828E-02  0.2827E-02
     2  0.6500E+00  0.2826E-02  0.2525E-03  0.1885E-02  0.1189E-09  0.3233E+00  0.1966E+00  0.2702E-01  0.9065E-01  0.4607E+00  0.1006E-01  0.2038E+05  0.2038E+05  0.2038E+05  0.5708E-03  0.8140E-02  0.8204E-10  0.7077E+00  0.8197E-08  0.8122E-02 -0.8364E-03 -0.1745E-02 -0.8731E-02  0.9263E-05  0.5775E-02  0.2886E-02
     3  0.1300E+01  0.2776E-02  0.2498E-03  0.1885E-02  0.1176E-09  0.3137E+00  0.1982E+00  0.3239E-01 -0.2401E-01  0.4591E+00  0.4602E-01  0.2013E+05  0.2013E+05  0.2013E+05  0.5462E-03  0.8211E-02  0.8183E-10  0.8031E+00  0.1377E-07  0.8189E-02 -0.9379E-03 -0.1798E-02 -0.7360E-02  0.4205E-03  0.2143E-02  0.3113E-02
     4  0.1950E+01  0.2830E-02  0.2440E-03  0.1883E-02  0.1128E-09  0.3180E+00  0.1993E+00  0.3202E-01  0.6446E-01  0.4466E+00  0.7494E-01  0.2002E+05  0.2002E+05  0.2002E+05  0.5310E-03  0.8405E-02  0.8053E-10  0.1365E+01  0.1590E-07  0.8349E-02 -0.9521E-03 -0.1794E-02 -0.7197E-02  0.5038E-03  0.5533E-02  0.3035E-02
     5  0.2600E+01  0.2863E-02  0.2421E-03  0.1888E-02  0.1116E-09  0.3146E+00  0.2000E+00  0.3084E-01  0.4861E-01  0.4271E+00  0.7980E-01  0.1991E+05  0.1991E+05  0.1991E+05  0.5254E-03  0.8672E-02  0.7899E-10  0.1858E+01  0.1906E-07  0.8573E-02 -0.9332E-03 -0.1768E-02 -0.8285E-02 -0.1498E-03  0.4312E-02  0.2770E-02
     6  0.3250E+01  0.2784E-02  0.2390E-03  0.1888E-02  0.1095E-09  0.3149E+00  0.2004E+00  0.3120E-01  0.1253E-01  0.4089E+00  0.6396E-01  0.1978E+05  0.1978E+05  0.1978E+05  0.5260E-03  0.8918E-02  0.7708E-10  0.2408E+01  0.1811E-07  0.8763E-02 -0.9623E-03 -0.1766E-02 -0.7435E-02 -0.1359E-03  0.4549E-02  0.2659E-02
     7  0.3900E+01  0.2793E-02  0.2365E-03  0.1887E-02  0.1077E-09  0.3149E+00  0.2003E+00  0.3132E-01  0.2981E-01  0.3970E+00  0.3311E-01  0.1969E+05  0.1969E+05  0.1969E+05  0.5122E-03  0.9088E-02  0.7582E-10  0.2870E+01  0.1669E-07  0.8877E-02 -0.9969E-03 -0.1794E-02 -0.7638E-02 -0.6246E-04  0.5176E-02  0.2671E-02
     8  0.4550E+01  0.2873E-02  0.2348E-03  0.1882E-02  0.1063E-09  0.3141E+00  0.1998E+00  0.3088E-01  0.2113E-01  0.3950E+00 -0.2945E-02  0.1960E+05  0.1960E+05  0.1960E+05  0.4963E-03  0.9140E-02  0.7540E-10  0.3293E+01  0.1364E-07  0.8866E-02 -0.9357E-03 -0.1785E-02 -0.7502E-02  0.1317E-03  0.4997E-02  0.2537E-02
     9  0.5200E+01  0.2828E-02  0.2320E-03  0.1873E-02  0.1035E-09  0.3114E+00  0.1988E+00  0.3076E-01  0.5270E-02  0.4010E+00 -0.2874E-01  0.1949E+05  0.1949E+05  0.1949E+05  0.5047E-03  0.9066E-02  0.7578E-10  0.3564E+01  0.1044E-07  0.8751E-02 -0.9001E-03 -0.1764E-02 -0.7444E-02  0.7722E-04  0.5325E-02  0.2474E-02
    10  0.5850E+01  0.2762E-02  0.2305E-03  0.1868E-02  0.1020E-09  0.3123E+00  0.1977E+00  0.3112E-01 -0.4053E-02  0.4105E+00 -0.3426E-01  0.1941E+05  0.1941E+05  0.1941E+05  0.4927E-03  0.8952E-02  0.7666E-10  0.3753E+01  0.6162E-08  0.8606E-02 -0.9149E-03 -0.1773E-02 -0.7818E-02 -0.2791E-03  0.6286E-02  0.2558E-02
    11  0.6500E+01  0.2842E-02  0.2273E-03  0.1864E-02  0.9863E-10  0.3145E+00  0.1965E+00  0.3091E-01  0.7582E-02  0.4170E+00 -0.2560E-01  0.1933E+05  0.1933E+05  0.1933E+05  0.4780E-03  0.8788E-02  0.7743E-10  0.3523E+01  0.1625E-08  0.8488E-02 -0.8545E-03 -0.1789E-02 -0.7164E-02  0.2709E-03  0.6001E-02  0.2595E-02
    12  0.7150E+01  0.2878E-02  0.2259E-03  0.1855E-02  0.9604E-10  0.3109E+00  0.1954E+00  0.3082E-01 -0.5520E-02  0.4209E+00 -0.6782E-02  0.1927E+05  0.1927E+05  0.1927E+05  0.4802E-03  0.8648E-02  0.7794E-10  0.3268E+01 -0.2197E-08  0.8389E-02 -0.7949E-03 -0.1782E-02 -0.7871E-02  0.1172E-02  0.5728E-02  0.2571E-02
    13  0.7800E+01  0.2773E-02  0.2254E-03  0.1854E-02  0.9476E-10  0.3097E+00  0.1945E+00  0.3060E-01  0.1211E-01  0.4172E+00  0.7226E-02  0.1923E+05  0.1923E+05  0.1923E+05  0.4802E-03  0.8584E-02  0.7789E-10  0.2786E+01 -0.5078E-08  0.8395E-02 -0.7898E-03 -0.1788E-02 -0.8152E-02  0.3129E-03  0.5722E-02  0.2600E-02
    14  0.8450E+01  0.2783E-02  0.2243E-03  0.1849E-02  0.9295E-10  0.3113E+00  0.1939E+00  0.3038E-01 -0.6127E-02  0.4121E+00  0.9813E-02  0.1920E+05  0.1920E+05  0.1920E+05  0.4763E-03  0.8540E-02  0.7751E-10  0.2222E+01 -0.6273E-08  0.8420E-02 -0.7712E-03 -0.1777E-02 -0.8339E-02 -0.2183E-03  0.5839E-02  0.2570E-02
    15  0.9100E+01  0.2885E-02  0.2238E-03  0.1842E-02  0.9178E-10  0.3129E+00  0.1938E+00  0.3083E-01  0.1221E-01  0.4091E+00 -0.8445E-03  0.1916E+05  0.1916E+05  0.1916E+05  0.4779E-03  0.8504E-02  0.7712E-10  0.1764E+01 -0.6690E-08  0.8430E-02 -0.7533E-03 -0.1765E-02 -0.8129E-02 -0.9843E-04  0.6069E-02  0.2543E-02
    16  0.9750E+01  0.2840E-02  0.2225E-03  0.1833E-02  0.8965E-10  0.3169E+00  0.1941E+00  0.3008E-01  0.4336E-01  0.4122E+00 -0.1978E-01  0.1911E+05  0.1911E+05  0.1911E+05  0.4854E-03  0.8427E-02  0.7710E-10  0.1212E+01 -0.5606E-08  0.8391E-02 -0.7735E-03 -0.1772E-02 -0.8324E-02  0.2077E-04  0.4200E-02  0.2622E-02
    17  0.1040E+02  0.2749E-02  0.2209E-03  0.1826E-02  0.8778E-10  0.3178E+00  0.1949E+00  0.3027E-01 -0.2007E-01  0.4215E+00 -0.3541E-01  0.1906E+05  0.1906E+05  0.1906E+05  0.4801E-03  0.8328E-02  0.7752E-10  0.8949E+00 -0.1928E-08  0.8308E-02 -0.8078E-03 -0.1783E-02 -0.8780E-02  0.3816E-03  0.5097E-02  0.2773E-02
    18  0.1105E+02  0.2831E-02  0.2197E-03  0.1822E-02  0.8688E-10  0.3193E+00  0.1960E+00  0.3295E-01  0.7811E-01  0.4355E+00 -0.3500E-01  0.1902E+05  0.1902E+05  0.1902E+05  0.4830E-03  0.8210E-02  0.7837E-10  0.6956E+00  0.8201E-09  0.8198E-02 -0.8214E-03 -0.1792E-02 -0.8113E-02  0.2779E-03  0.3726E-02  0.2907E-02
