 #NTuple/Z0                                                                      
 output from Ecalc9f version   2.09
  settings: 
    particle type:            2
    pzmin/pzmax:    0.0000000000000000      /   100.00000000000000     
    transverse cuts:    0.0000000000000000        0.0000000000000000     
    longitudinal cut:    0.0000000000000000     
    RF frequency (MHz):    704.00000000000000     
    sigma cut:    4.0000000000000000     
    subtract out amplitude correlation
    wrnew9 =  F

regn #   Z           Bz          eperp       elong       e6D         Ldim        Pzavg       beta        alpha       betaL       alphaL      n0          n1          n2          Lcan(eVs)   sigmaE      sigmaT      corrE       corrT       sigmaE_c    xavg        yavg        Dx          Dy          Dr          Dr2
     1  0.0000E+00  0.2871E-02  0.2717E-03  0.1928E-02  0.1423E-09  0.2916E+00  0.2009E+00  0.4063E-01  0.4325E-01  0.4922E+00 -0.6543E-01  0.2086E+05  0.2086E+05  0.2086E+05  0.5516E-03  0.8139E-02  0.8449E-10  0.1148E+01 -0.9108E-08  0.8090E-02 -0.9560E-03 -0.1777E-02 -0.8887E-02 -0.4646E-03  0.3516E-02  0.3217E-02
     2  0.6500E+00  0.2841E-02  0.2655E-03  0.1938E-02  0.1352E-09  0.2837E+00  0.2023E+00  0.2744E-01  0.1858E+00  0.5234E+00 -0.1309E+00  0.2058E+05  0.2058E+05  0.2058E+05  0.5355E-03  0.7970E-02  0.8671E-10  0.6973E+00 -0.5177E-08  0.7952E-02 -0.1043E-02 -0.1778E-02 -0.8345E-02  0.2012E-03  0.5638E-02  0.3558E-02
     3  0.1300E+01  0.2804E-02  0.2648E-03  0.1940E-02  0.1354E-09  0.2685E+00  0.2041E+00  0.3012E-01 -0.5305E-01  0.5709E+00 -0.1565E+00  0.2028E+05  0.2028E+05  0.2028E+05  0.4861E-03  0.7703E-02  0.8996E-10  0.4890E+00  0.9349E-09  0.7694E-02 -0.1148E-02 -0.1803E-02 -0.5879E-02  0.3909E-03 -0.3044E-02  0.4069E-02
     4  0.1950E+01  0.2872E-02  0.2593E-03  0.1944E-02  0.1301E-09  0.2697E+00  0.2056E+00  0.3215E-01  0.5005E-01  0.6153E+00 -0.1367E+00  0.2013E+05  0.2013E+05  0.2013E+05  0.4765E-03  0.7446E-02  0.9307E-10  0.5002E+00  0.5125E-08  0.7437E-02 -0.1128E-02 -0.1801E-02 -0.7185E-02  0.2061E-03  0.2232E-02  0.4399E-02
     5  0.2600E+01  0.2850E-02  0.2556E-03  0.1962E-02  0.1273E-09  0.2690E+00  0.2068E+00  0.3042E-01  0.7145E-01  0.6460E+00 -0.8950E-01  0.2002E+05  0.2002E+05  0.2002E+05  0.4916E-03  0.7287E-02  0.9574E-10  0.3554E+00  0.1278E-07  0.7283E-02 -0.1166E-02 -0.1799E-02 -0.9078E-02  0.6330E-03  0.1734E-02  0.4711E-02
     6  0.3250E+01  0.2793E-02  0.2536E-03  0.1973E-02  0.1269E-09  0.2685E+00  0.2076E+00  0.2976E-01  0.3951E-01  0.6593E+00 -0.1504E-01  0.1988E+05  0.1988E+05  0.1988E+05  0.4738E-03  0.7231E-02  0.9702E-10  0.5187E+00  0.1732E-07  0.7222E-02 -0.1226E-02 -0.1793E-02 -0.7210E-02 -0.1093E-02  0.9523E-03  0.4935E-02
     7  0.3900E+01  0.2873E-02  0.2508E-03  0.1976E-02  0.1251E-09  0.2692E+00  0.2081E+00  0.2966E-01  0.3252E-01  0.6509E+00  0.7143E-01  0.1976E+05  0.1976E+05  0.1976E+05  0.4662E-03  0.7326E-02  0.9657E-10  0.8335E+00  0.1979E-07  0.7304E-02 -0.1216E-02 -0.1796E-02 -0.6558E-02  0.3372E-03  0.4018E-03  0.4809E-02
     8  0.4550E+01  0.2869E-02  0.2478E-03  0.1985E-02  0.1226E-09  0.2653E+00  0.2082E+00  0.2971E-01  0.1434E-01  0.6189E+00  0.1464E+00  0.1963E+05  0.1963E+05  0.1963E+05  0.4566E-03  0.7605E-02  0.9463E-10  0.1094E+01  0.2247E-07  0.7569E-02 -0.1225E-02 -0.1811E-02 -0.7766E-02  0.5905E-03  0.1649E-02  0.4547E-02
     9  0.5200E+01  0.2786E-02  0.2446E-03  0.1987E-02  0.1203E-09  0.2648E+00  0.2078E+00  0.3004E-01  0.2118E-01  0.5689E+00  0.1914E+00  0.1949E+05  0.1949E+05  0.1949E+05  0.4472E-03  0.8009E-02  0.9133E-10  0.1481E+01  0.2588E-07  0.7949E-02 -0.1206E-02 -0.1791E-02 -0.7528E-02 -0.1178E-03  0.2196E-02  0.3993E-02
    10  0.5850E+01  0.2861E-02  0.2428E-03  0.1987E-02  0.1192E-09  0.2622E+00  0.2071E+00  0.2967E-01  0.2954E-01  0.5162E+00  0.1963E+00  0.1939E+05  0.1939E+05  0.1939E+05  0.4423E-03  0.8434E-02  0.8743E-10  0.2029E+01  0.2685E-07  0.8330E-02 -0.1186E-02 -0.1793E-02 -0.7068E-02 -0.2220E-03  0.2923E-02  0.3555E-02
    11  0.6500E+01  0.2896E-02  0.2422E-03  0.1983E-02  0.1189E-09  0.2588E+00  0.2059E+00  0.2931E-01  0.2193E-01  0.4688E+00  0.1542E+00  0.1927E+05  0.1927E+05  0.1927E+05  0.4254E-03  0.8795E-02  0.8363E-10  0.2552E+01  0.2620E-07  0.8636E-02 -0.1165E-02 -0.1807E-02 -0.7356E-02  0.3184E-03  0.2575E-02  0.3240E-02
    12  0.7150E+01  0.2784E-02  0.2405E-03  0.1977E-02  0.1178E-09  0.2582E+00  0.2046E+00  0.2936E-01  0.5184E-02  0.4385E+00  0.7709E-01  0.1916E+05  0.1916E+05  0.1916E+05  0.4276E-03  0.9037E-02  0.8100E-10  0.3189E+01  0.2440E-07  0.8798E-02 -0.1095E-02 -0.1796E-02 -0.7187E-02 -0.2776E-03  0.3153E-02  0.2915E-02
    13  0.7800E+01  0.2833E-02  0.2383E-03  0.1967E-02  0.1158E-09  0.2597E+00  0.2031E+00  0.2990E-01 -0.3544E-02  0.4310E+00 -0.1413E-01  0.1905E+05  0.1905E+05  0.1905E+05  0.4315E-03  0.9076E-02  0.8015E-10  0.3574E+01  0.2127E-07  0.8779E-02 -0.1072E-02 -0.1778E-02 -0.7251E-02  0.1645E-04  0.4023E-02  0.2787E-02
    14  0.8450E+01  0.2919E-02  0.2363E-03  0.1961E-02  0.1141E-09  0.2596E+00  0.2015E+00  0.3015E-01  0.6480E-02  0.4480E+00 -0.9655E-01  0.1896E+05  0.1896E+05  0.1896E+05  0.4128E-03  0.8940E-02  0.8161E-10  0.3873E+01  0.1755E-07  0.8590E-02 -0.1042E-02 -0.1802E-02 -0.7288E-02  0.3256E-03  0.4331E-02  0.2858E-02
    15  0.9100E+01  0.2799E-02  0.2342E-03  0.1946E-02  0.1114E-09  0.2609E+00  0.2001E+00  0.3015E-01  0.2246E-02  0.4833E+00 -0.1511E+00  0.1888E+05  0.1888E+05  0.1888E+05  0.4142E-03  0.8630E-02  0.8446E-10  0.3981E+01  0.1271E-07  0.8252E-02 -0.9611E-03 -0.1805E-02 -0.7473E-02  0.4383E-05  0.5176E-02  0.2932E-02
    16  0.9750E+01  0.2800E-02  0.2317E-03  0.1936E-02  0.1084E-09  0.2614E+00  0.1989E+00  0.3043E-01 -0.3914E-02  0.5277E+00 -0.1579E+00  0.1881E+05  0.1881E+05  0.1881E+05  0.4273E-03  0.8235E-02  0.8812E-10  0.4001E+01  0.7296E-08  0.7849E-02 -0.9312E-03 -0.1774E-02 -0.7190E-02 -0.3895E-04  0.6131E-02  0.3064E-02
    17  0.1040E+02  0.2932E-02  0.2298E-03  0.1927E-02  0.1059E-09  0.2643E+00  0.1980E+00  0.3092E-01  0.3623E-02  0.5690E+00 -0.1221E+00  0.1876E+05  0.1876E+05  0.1876E+05  0.4174E-03  0.7862E-02  0.9147E-10  0.3927E+01  0.2394E-08  0.7480E-02 -0.9492E-03 -0.1785E-02 -0.7758E-02 -0.3110E-03  0.7315E-02  0.3406E-02
    18  0.1105E+02  0.2827E-02  0.2283E-03  0.1917E-02  0.1038E-09  0.2671E+00  0.1975E+00  0.3077E-01  0.2085E-01  0.5936E+00 -0.5449E-01  0.1873E+05  0.1873E+05  0.1873E+05  0.4086E-03  0.7599E-02  0.9336E-10  0.3727E+01 -0.2345E-08  0.7249E-02 -0.8988E-03 -0.1802E-02 -0.7154E-02  0.3556E-03  0.6908E-02  0.3595E-02
    19  0.1170E+02  0.2768E-02  0.2272E-03  0.1910E-02  0.1018E-09  0.2669E+00  0.1974E+00  0.3053E-01  0.1238E-01  0.5980E+00  0.2504E-01  0.1869E+05  0.1869E+05  0.1869E+05  0.4242E-03  0.7486E-02  0.9363E-10  0.3357E+01 -0.6378E-08  0.7199E-02 -0.8802E-03 -0.1793E-02 -0.7292E-02  0.1593E-03  0.6484E-02  0.3639E-02
    20  0.1235E+02  0.2933E-02  0.2262E-03  0.1902E-02  0.9953E-10  0.2683E+00  0.1978E+00  0.3116E-01  0.1548E-01  0.5837E+00  0.8979E-01  0.1866E+05  0.1866E+05  0.1866E+05  0.4259E-03  0.7534E-02  0.9228E-10  0.3040E+01 -0.9345E-08  0.7306E-02 -0.9341E-03 -0.1783E-02 -0.8241E-02 -0.7102E-03  0.7265E-02  0.3666E-02
    21  0.1300E+02  0.2861E-02  0.2259E-03  0.1892E-02  0.9813E-10  0.2689E+00  0.1985E+00  0.3120E-01  0.4162E-01  0.5542E+00  0.1241E+00  0.1864E+05  0.1864E+05  0.1864E+05  0.4096E-03  0.7689E-02  0.8953E-10  0.2589E+01 -0.1101E-07  0.7527E-02 -0.9365E-03 -0.1784E-02 -0.7570E-02  0.7028E-03  0.5158E-02  0.3533E-02
    22  0.1365E+02  0.2744E-02  0.2246E-03  0.1884E-02  0.9563E-10  0.2684E+00  0.1995E+00  0.3019E-01  0.4148E-01  0.5208E+00  0.1195E+00  0.1860E+05  0.1860E+05  0.1860E+05  0.4196E-03  0.7876E-02  0.8633E-10  0.2104E+01 -0.1199E-07  0.7772E-02 -0.9495E-03 -0.1812E-02 -0.8181E-02 -0.2957E-03  0.3849E-02  0.3491E-02
    23  0.1430E+02  0.2919E-02  0.2228E-03  0.1876E-02  0.9321E-10  0.2722E+00  0.2009E+00  0.3103E-01 -0.4113E-02  0.4951E+00  0.7678E-01  0.1855E+05  0.1855E+05  0.1855E+05  0.4351E-03  0.8027E-02  0.8356E-10  0.1705E+01 -0.1138E-07  0.7961E-02 -0.1014E-02 -0.1792E-02 -0.7833E-02  0.1682E-03  0.4190E-02  0.3442E-02
    24  0.1495E+02  0.2896E-02  0.2223E-03  0.1865E-02  0.9193E-10  0.2726E+00  0.2025E+00  0.3229E-01  0.7230E-01  0.4859E+00  0.9844E-02  0.1852E+05  0.1852E+05  0.1852E+05  0.4232E-03  0.8075E-02  0.8201E-10  0.1342E+01 -0.9055E-08  0.8035E-02 -0.1082E-02 -0.1786E-02 -0.6854E-02 -0.7479E-04  0.2944E-02  0.3531E-02
    25  0.1560E+02  0.2733E-02  0.2215E-03  0.1861E-02  0.9042E-10  0.2744E+00  0.2040E+00  0.2934E-01  0.7946E-01  0.4958E+00 -0.5897E-01  0.1848E+05  0.1848E+05  0.1848E+05  0.4138E-03  0.8024E-02  0.8220E-10  0.1007E+01 -0.6209E-08  0.8002E-02 -0.1103E-02 -0.1806E-02 -0.8272E-02 -0.4057E-03  0.2282E-02  0.3711E-02
    26  0.1625E+02  0.2896E-02  0.2206E-03  0.1859E-02  0.8965E-10  0.2727E+00  0.2056E+00  0.3012E-01 -0.2623E-02  0.5243E+00 -0.1110E+00  0.1842E+05  0.1842E+05  0.1842E+05  0.4266E-03  0.7869E-02  0.8395E-10  0.8287E+00 -0.2731E-08  0.7854E-02 -0.1126E-02 -0.1801E-02 -0.7955E-02  0.9438E-03  0.3018E-03  0.3919E-02
    27  0.1690E+02  0.2928E-02  0.2187E-03  0.1860E-02  0.8813E-10  0.2716E+00  0.2071E+00  0.3110E-01  0.5109E-01  0.5615E+00 -0.1294E+00  0.1836E+05  0.1836E+05  0.1836E+05  0.4272E-03  0.7656E-02  0.8643E-10  0.6753E+00  0.1046E-08  0.7646E-02 -0.1221E-02 -0.1805E-02 -0.7467E-02 -0.3492E-03  0.1564E-02  0.4413E-02
    28  0.1755E+02  0.2733E-02  0.2167E-03  0.1868E-02  0.8714E-10  0.2735E+00  0.2083E+00  0.2976E-01  0.5896E-01  0.5985E+00 -0.1132E+00  0.1831E+05  0.1831E+05  0.1831E+05  0.4043E-03  0.7446E-02  0.8915E-10  0.5341E+00  0.6693E-08  0.7440E-02 -0.1240E-02 -0.1789E-02 -0.7071E-02 -0.3288E-03  0.1357E-02  0.4700E-02
