 #NTuple/Z0                                                                     
  
 output from Ecalc9f version   2.09
  settings: 
    particle type:            2
    pzmin/pzmax:   0.000000000000000E+000 /   100.000000000000     
    transverse cuts:   0.000000000000000E+000  0.000000000000000E+000
    longitudinal cut:   0.000000000000000E+000
    RF frequency (MHz):    352.000000000000     
    sigma cut:   0.000000000000000E+000
    subtract out amplitude correlation
    wrnew9 =  F
 
regn #   Z           Bz          eperp       elong       e6D         Ldim        Pzavg       beta        alpha       betaL       alphaL      n0          n1          n2          Lcan(eVs)   sigmaE      sigmaT      corrE       corrT       sigmaE_c    xavg        yavg        Dx          Dy          Dr          Dr2
     1  0.0000E+00  0.1677E-03  0.1696E-01  0.4556E-01  0.1331E-04 -0.6764E+00  0.2876E+00  0.9743E+00 -0.9815E-02  0.4062E+00  0.1789E+00  0.1974E+06  0.1974E+06  0.1974E+06 -0.8029E-01  0.5641E-01  0.2944E-09  0.1850E+00  0.5924E-09  0.5567E-01 -0.4765E-01 -0.2040E-01  0.7589E-02 -0.7241E-03  0.1695E-01  0.8386E-01
     2  0.1800E+01  0.1478E-03  0.1654E-01  0.4671E-01  0.1347E-04 -0.6661E+00  0.2977E+00  0.1277E+01 -0.7746E-01  0.4165E+00  0.9490E-01  0.1942E+06  0.1942E+06  0.1942E+06 -0.7918E-01  0.6068E-01  0.2979E-09  0.5657E+00  0.1161E-08  0.5622E-01 -0.3879E-01 -0.1303E-01 -0.3919E-01  0.5730E-02  0.1080E+00  0.7557E-01
     3  0.3600E+01  0.1482E-03  0.1613E-01  0.4716E-01  0.1318E-04 -0.6433E+00  0.2967E+00  0.1013E+01 -0.6058E-01  0.4251E+00 -0.4992E-01  0.1941E+06  0.1941E+06  0.1941E+06 -0.7169E-01  0.6140E-01  0.3017E-09  0.6570E+00  0.9692E-09  0.5562E-01 -0.4617E-01 -0.1246E-01 -0.7283E-01 -0.1128E-01  0.9162E-01  0.8569E-01
     4  0.5400E+01  0.1667E-03  0.1569E-01  0.4662E-01  0.1254E-04 -0.6286E+00  0.2945E+00  0.1128E+01  0.1914E-01  0.4626E+00 -0.1592E+00  0.1924E+06  0.1924E+06  0.1924E+06 -0.6720E-01  0.5976E-01  0.3120E-09  0.6948E+00  0.3480E-09  0.5337E-01 -0.5298E-01 -0.2210E-01 -0.7769E-01 -0.1724E-01  0.1102E+00  0.1209E+00
     5  0.7200E+01  0.1498E-03  0.1517E-01  0.4436E-01  0.1128E-04 -0.6231E+00  0.2889E+00  0.1080E+01 -0.8086E-01  0.5243E+00 -0.1681E+00  0.1910E+06  0.1910E+06  0.1910E+06 -0.6815E-01  0.5431E-01  0.3276E-09  0.6544E+00  0.4018E-10  0.4840E-01 -0.4131E-01 -0.1694E-01 -0.6246E-01 -0.1880E-01  0.1068E+00  0.9295E-01
     6  0.9000E+01  0.1480E-03  0.1470E-01  0.4081E-01  0.9777E-05 -0.6232E+00  0.2830E+00  0.1049E+01  0.1489E-02  0.5832E+00 -0.9546E-01  0.1882E+06  0.1882E+06  0.1882E+06 -0.6446E-01  0.4776E-01  0.3357E-09  0.5615E+00  0.1728E-10  0.4305E-01 -0.4092E-01 -0.1061E-01 -0.1131E-01  0.2390E-02  0.9849E-01  0.9706E-01
     7  0.1080E+02  0.1657E-03  0.1446E-01  0.3791E-01  0.8597E-05 -0.6103E+00  0.2784E+00  0.1029E+01 -0.5798E-01  0.6077E+00 -0.2757E-01  0.1846E+06  0.1846E+06  0.1846E+06 -0.6021E-01  0.4425E-01  0.3337E-09  0.5147E+00 -0.2211E-09  0.4007E-01 -0.4566E-01 -0.1814E-01 -0.4265E-01  0.4020E-02  0.1178E+00  0.1401E+00
     8  0.1260E+02  0.1511E-03  0.1421E-01  0.3705E-01  0.8122E-05 -0.6000E+00  0.2745E+00  0.1021E+01 -0.1020E-01  0.6046E+00  0.3448E-01  0.1834E+06  0.1834E+06  0.1834E+06 -0.6097E-01  0.4362E-01  0.3326E-09  0.5158E+00 -0.6063E-09  0.3937E-01 -0.4213E-01 -0.1853E-01 -0.8172E-01 -0.2162E-01  0.1336E+00  0.1308E+00
     9  0.1440E+02  0.1482E-03  0.1382E-01  0.3795E-01  0.7834E-05 -0.5956E+00  0.2719E+00  0.1019E+01 -0.5582E-01  0.5771E+00  0.2589E-01  0.1835E+06  0.1835E+06  0.1835E+06 -0.5859E-01  0.4436E-01  0.3310E-09  0.5051E+00 -0.6804E-09  0.4053E-01 -0.4223E-01 -0.1292E-01 -0.5852E-01 -0.8495E-03  0.1184E+00  0.1147E+00
    10  0.1620E+02  0.1653E-03  0.1345E-01  0.3866E-01  0.7427E-05 -0.5876E+00  0.2700E+00  0.9647E+00 -0.1777E-01  0.5695E+00 -0.3769E-01  0.1829E+06  0.1829E+06  0.1829E+06 -0.5389E-01  0.4410E-01  0.3340E-09  0.4602E+00 -0.8906E-09  0.4101E-01 -0.4234E-01 -0.1554E-01 -0.4400E-01 -0.1309E-03  0.9715E-01  0.1127E+00
