 #NTuple/Z0                                                                     
  
 output from Ecalc9f version   2.09
  settings: 
    particle type:            2
    pzmin/pzmax:   0.000000000000000E+000 /   100.000000000000     
    transverse cuts:   0.000000000000000E+000  0.000000000000000E+000
    longitudinal cut:   0.000000000000000E+000
    RF frequency (MHz):    352.000000000000     
    sigma cut:   0.000000000000000E+000
    subtract out amplitude correlation
    wrnew9 =  F
 
regn #   Z           Bz          eperp       elong       e6D         Ldim        Pzavg       beta        alpha       betaL       alphaL      n0          n1          n2          Lcan(eVs)   sigmaE      sigmaT      corrE       corrT       sigmaE_c    xavg        yavg        Dx          Dy          Dr          Dr2
     1  0.0000E+00  0.4649E-03  0.1704E-01  0.4578E-01  0.1342E-04 -0.6732E+00  0.2875E+00  0.9755E+00 -0.1164E-01  0.4046E+00  0.1814E+00  0.1973E+06  0.1973E+06  0.1973E+06 -0.8025E-01  0.5638E-01  0.2944E-09  0.1225E+00  0.4560E-09  0.5593E-01 -0.4762E-01 -0.2041E-01  0.6767E-02 -0.9060E-03  0.1572E-01  0.8305E-01
     2  0.1800E+01  0.4646E-03  0.1655E-01  0.4687E-01  0.1353E-04 -0.6626E+00  0.2976E+00  0.1280E+01 -0.7593E-01  0.4173E+00  0.8855E-01  0.1942E+06  0.1942E+06  0.1942E+06 -0.7844E-01  0.6064E-01  0.2987E-09  0.5627E+00  0.1160E-08  0.5622E-01 -0.3928E-01 -0.1477E-01 -0.3886E-01  0.7494E-02  0.1078E+00  0.7801E-01
     3  0.3600E+01  0.4615E-03  0.1613E-01  0.4726E-01  0.1320E-04 -0.6417E+00  0.2966E+00  0.1014E+01 -0.6221E-01  0.4324E+00 -0.5847E-01  0.1938E+06  0.1938E+06  0.1938E+06 -0.7204E-01  0.6095E-01  0.3045E-09  0.6534E+00  0.9691E-09  0.5522E-01 -0.4664E-01 -0.1449E-01 -0.7357E-01 -0.1259E-01  0.9214E-01  0.8941E-01
     4  0.5400E+01  0.4651E-03  0.1574E-01  0.4684E-01  0.1273E-04 -0.6250E+00  0.2946E+00  0.1134E+01  0.2296E-01  0.4728E+00 -0.1623E+00  0.1924E+06  0.1924E+06  0.1924E+06 -0.6711E-01  0.5941E-01  0.3162E-09  0.6930E+00  0.3888E-09  0.5295E-01 -0.5331E-01 -0.2270E-01 -0.7851E-01 -0.1914E-01  0.1124E+00  0.1247E+00
     5  0.7200E+01  0.4653E-03  0.1521E-01  0.4453E-01  0.1141E-04 -0.6217E+00  0.2891E+00  0.1082E+01 -0.8270E-01  0.5377E+00 -0.1678E+00  0.1907E+06  0.1907E+06  0.1907E+06 -0.6789E-01  0.5379E-01  0.3322E-09  0.6504E+00  0.5112E-10  0.4790E-01 -0.4165E-01 -0.1853E-01 -0.6316E-01 -0.1708E-01  0.1072E+00  0.9751E-01
     6  0.9000E+01  0.4622E-03  0.1478E-01  0.4123E-01  0.1001E-04 -0.6207E+00  0.2831E+00  0.1052E+01  0.1538E-02  0.6025E+00 -0.8994E-01  0.1885E+06  0.1885E+06  0.1885E+06 -0.6470E-01  0.4732E-01  0.3428E-09  0.5607E+00  0.1298E-10  0.4256E-01 -0.4122E-01 -0.1221E-01 -0.1456E-01  0.1100E-02  0.1037E+00  0.1024E+00
     7  0.1080E+02  0.4653E-03  0.1457E-01  0.3831E-01  0.8854E-05 -0.6094E+00  0.2783E+00  0.1033E+01 -0.5728E-01  0.6222E+00 -0.1992E-01  0.1852E+06  0.1852E+06  0.1852E+06 -0.6064E-01  0.4403E-01  0.3395E-09  0.5139E+00 -0.2078E-09  0.3978E-01 -0.4587E-01 -0.1903E-01 -0.4394E-01  0.4455E-02  0.1181E+00  0.1438E+00
     8  0.1260E+02  0.4659E-03  0.1428E-01  0.3681E-01  0.8211E-05 -0.5979E+00  0.2745E+00  0.1023E+01 -0.1154E-01  0.6205E+00  0.3172E-01  0.1832E+06  0.1832E+06  0.1832E+06 -0.6086E-01  0.4323E-01  0.3360E-09  0.5274E+00 -0.6603E-09  0.3873E-01 -0.4210E-01 -0.1974E-01 -0.7906E-01 -0.2218E-01  0.1368E+00  0.1354E+00
     9  0.1440E+02  0.4628E-03  0.1390E-01  0.3814E-01  0.8001E-05 -0.5910E+00  0.2719E+00  0.1016E+01 -0.5196E-01  0.5838E+00  0.4269E-01  0.1836E+06  0.1836E+06  0.1836E+06 -0.5839E-01  0.4436E-01  0.3338E-09  0.5104E+00 -0.7054E-09  0.4042E-01 -0.4222E-01 -0.1454E-01 -0.5973E-01 -0.5211E-02  0.1199E+00  0.1172E+00
    10  0.1620E+02  0.4657E-03  0.1353E-01  0.3860E-01  0.7504E-05 -0.5828E+00  0.2696E+00  0.9676E+00 -0.1390E-01  0.5722E+00 -0.3924E-01  0.1830E+06  0.1830E+06  0.1830E+06 -0.5410E-01  0.4390E-01  0.3350E-09  0.4576E+00 -0.9328E-09  0.4084E-01 -0.4246E-01 -0.1681E-01 -0.4671E-01  0.1045E-03  0.9797E-01  0.1159E+00
