 #NTuple/Z0                                                                      
 output from Ecalc9f version   2.09
  settings: 
    particle type:            2
    pzmin/pzmax:    0.0000000000000000      /   100.00000000000000     
    transverse cuts:    0.0000000000000000        0.0000000000000000     
    longitudinal cut:    0.0000000000000000     
    RF frequency (MHz):    352.00000000000000     
    sigma cut:    0.0000000000000000     
    subtract out amplitude correlation
    wrnew9 =  F

regn #   Z           Bz          eperp       elong       e6D         Ldim        Pzavg       beta        alpha       betaL       alphaL      n0          n1          n2          Lcan(eVs)   sigmaE      sigmaT      corrE       corrT       sigmaE_c    xavg        yavg        Dx          Dy          Dr          Dr2
     1  0.0000E+00  0.9046E-03  0.5214E-02  0.1771E-01  0.4840E-06 -0.1142E-01  0.2229E+00  0.7551E+00  0.6420E-02  0.7170E+00 -0.3734E-02  0.1481E+06  0.1481E+06  0.1481E+06 -0.3477E-03  0.2229E-01  0.2867E-09  0.2381E+00  0.7261E-09  0.2179E-01 -0.3245E-01 -0.2163E-01 -0.7515E-01 -0.1565E-02  0.7918E-01  0.2007E+00
     2  0.1200E+01  0.9053E-03  0.5098E-02  0.1760E-01  0.4622E-06  0.5676E-02  0.2225E+00  0.5591E+00 -0.3609E+00  0.7338E+00 -0.3001E-01  0.1459E+06  0.1459E+06  0.1459E+06  0.5268E-04  0.2194E-01  0.2904E-09  0.2453E+00  0.1402E-08  0.2146E-01 -0.3139E-01 -0.2000E-01 -0.5748E-01 -0.5145E-02  0.3916E-01  0.1817E+00
     3  0.2400E+01  0.9006E-03  0.5091E-02  0.1743E-01  0.4606E-06  0.2648E-01  0.2222E+00  0.4035E+00 -0.9008E-01  0.7448E+00 -0.3952E-01  0.1444E+06  0.1444E+06  0.1444E+06  0.1171E-02  0.2181E-01  0.2926E-09  0.2893E+00  0.2115E-08  0.2119E-01 -0.3176E-01 -0.2017E-01 -0.5302E-01  0.1236E-01  0.3842E-01  0.1873E+00
     4  0.3600E+01  0.9067E-03  0.5054E-02  0.1741E-01  0.4550E-06  0.4910E-01  0.2225E+00  0.4727E+00  0.1031E+00  0.7652E+00 -0.3661E-01  0.1428E+06  0.1428E+06  0.1428E+06  0.1402E-02  0.2169E-01  0.2966E-09  0.3315E+00  0.2378E-08  0.2091E-01 -0.3174E-01 -0.2043E-01 -0.7097E-01  0.7174E-02  0.1000E+00  0.1996E+00
     5  0.4800E+01  0.9025E-03  0.4960E-02  0.1737E-01  0.4463E-06  0.6496E-01  0.2228E+00  0.5099E+00  0.1824E-01  0.7796E+00 -0.2081E-01  0.1422E+06  0.1422E+06  0.1422E+06  0.2189E-02  0.2174E-01  0.2982E-09  0.3942E+00  0.2240E-08  0.2070E-01 -0.3275E-01 -0.2028E-01 -0.5233E-01  0.3959E-02  0.7925E-01  0.2037E+00
     6  0.6000E+01  0.9026E-03  0.4867E-02  0.1744E-01  0.4341E-06  0.7990E-01  0.2230E+00  0.4896E+00 -0.1089E-01  0.7805E+00 -0.8080E-02  0.1417E+06  0.1417E+06  0.1417E+06  0.2733E-02  0.2201E-01  0.2980E-09  0.4499E+00  0.1893E-08  0.2074E-01 -0.3127E-01 -0.2043E-01 -0.5182E-01  0.8319E-02  0.6370E-01  0.1860E+00
     7  0.7200E+01  0.9065E-03  0.4815E-02  0.1738E-01  0.4233E-06  0.9583E-01  0.2233E+00  0.4878E+00 -0.4945E-02  0.7776E+00  0.1846E-01  0.1412E+06  0.1412E+06  0.1412E+06  0.2663E-02  0.2224E-01  0.2955E-09  0.5006E+00  0.9973E-09  0.2076E-01 -0.3268E-01 -0.2033E-01 -0.6460E-01  0.9600E-02  0.8369E-01  0.1960E+00
     8  0.8400E+01  0.9007E-03  0.4736E-02  0.1741E-01  0.4100E-06  0.1117E+00  0.2233E+00  0.4818E+00  0.1014E-01  0.7582E+00  0.3447E-01  0.1408E+06  0.1408E+06  0.1408E+06  0.3966E-02  0.2252E-01  0.2917E-09  0.5080E+00  0.3792E-09  0.2105E-01 -0.3292E-01 -0.2029E-01 -0.5893E-01  0.6578E-02  0.7729E-01  0.1921E+00
     9  0.9600E+01  0.9053E-03  0.4639E-02  0.1720E-01  0.3898E-06  0.1206E+00  0.2235E+00  0.4893E+00  0.2606E-01  0.7391E+00  0.3002E-01  0.1404E+06  0.1404E+06  0.1404E+06  0.3661E-02  0.2264E-01  0.2861E-09  0.5201E+00 -0.2808E-09  0.2120E-01 -0.3106E-01 -0.2070E-01 -0.4973E-01  0.5248E-02  0.7227E-01  0.1777E+00
    10  0.1080E+02  0.9043E-03  0.4614E-02  0.1705E-01  0.3770E-06  0.1358E+00  0.2235E+00  0.4964E+00 -0.1339E-02  0.7189E+00  0.1350E-01  0.1401E+06  0.1401E+06  0.1401E+06  0.3716E-02  0.2267E-01  0.2812E-09  0.4963E+00 -0.9709E-09  0.2140E-01 -0.3333E-01 -0.2010E-01 -0.6213E-01  0.1343E-01  0.7558E-01  0.1922E+00
