 #NTuple/Z0                                                                      
 output from Ecalc9f version   2.09
  settings: 
    particle type:            2
    pzmin/pzmax:    0.0000000000000000      /   100.00000000000000     
    transverse cuts:    0.0000000000000000        0.0000000000000000     
    longitudinal cut:    0.0000000000000000     
    RF frequency (MHz):    704.00000000000000     
    sigma cut:    4.0000000000000000     
    subtract out amplitude correlation
    wrnew9 =  F

regn #   Z           Bz          eperp       elong       e6D         Ldim        Pzavg       beta        alpha       betaL       alphaL      n0          n1          n2          Lcan(eVs)   sigmaE      sigmaT      corrE       corrT       sigmaE_c    xavg        yavg        Dx          Dy          Dr          Dr2
     1  0.0000E+00  0.2168E-15  0.1917E-03  0.1648E-02  0.6143E-10  0.4126E-01  0.2019E+00  0.2005E-01  0.3992E-01  0.4905E+00 -0.6050E-02  0.1731E+05  0.1731E+05  0.1731E+05  0.3508E-04  0.7739E-02  0.7745E-10  0.2563E+01  0.2799E-08  0.7503E-02 -0.1130E-02 -0.1343E-02 -0.7472E-02 -0.5654E-03  0.5763E-02  0.2726E-02
     2  0.6000E+00 -0.3524E-15  0.1937E-03  0.1670E-02  0.6323E-10  0.3905E-01  0.2018E+00  0.1473E-01  0.8668E-01  0.4938E+00 -0.8043E-01  0.1728E+05  0.1728E+05  0.1728E+05  0.9218E-04  0.7751E-02  0.7831E-10  0.2324E+01  0.4650E-08  0.7548E-02 -0.1235E-02 -0.1258E-02 -0.6732E-02  0.4270E-03  0.6187E-02  0.2748E-02
     3  0.1200E+01  0.9758E-15  0.1957E-03  0.1656E-02  0.6496E-10  0.3022E-01  0.2022E+00  0.1623E-01  0.2262E-01  0.5301E+00 -0.1398E+00  0.1717E+05  0.1717E+05  0.1717E+05 -0.1920E-04  0.7493E-02  0.8092E-10  0.2105E+01  0.9070E-08  0.7310E-02 -0.1266E-02 -0.1255E-02 -0.4610E-02 -0.5707E-03  0.3922E-02  0.2998E-02
     4  0.1800E+01 -0.6776E-15  0.1928E-03  0.1643E-02  0.6251E-10  0.3029E-01  0.2024E+00  0.1654E-01  0.4793E-01  0.5726E+00 -0.1624E+00  0.1708E+05  0.1708E+05  0.1708E+05  0.3332E-05  0.7228E-02  0.8374E-10  0.2171E+01  0.1016E-07  0.7035E-02 -0.1194E-02 -0.1320E-02 -0.6174E-02 -0.1227E-02  0.6096E-02  0.3225E-02
     5  0.2400E+01 -0.3253E-15  0.1915E-03  0.1652E-02  0.6189E-10  0.2456E-01  0.2026E+00  0.1630E-01  0.5382E-01  0.6095E+00 -0.1614E+00  0.1700E+05  0.1700E+05  0.1700E+05  0.2707E-04  0.7010E-02  0.8687E-10  0.2008E+01  0.1408E-07  0.6841E-02 -0.1218E-02 -0.1273E-02 -0.7228E-02  0.8764E-03  0.5381E-02  0.3359E-02
     6  0.3000E+01  0.1111E-14  0.1882E-03  0.1656E-02  0.6049E-10  0.1871E-01  0.2028E+00  0.1643E-01  0.3157E-01  0.6456E+00 -0.1344E+00  0.1692E+05  0.1692E+05  0.1692E+05 -0.6630E-05  0.6812E-02  0.8968E-10  0.2094E+01  0.1719E-07  0.6634E-02 -0.1254E-02 -0.1287E-02 -0.5974E-02 -0.5406E-03  0.5314E-02  0.3701E-02
     7  0.3600E+01 -0.4337E-15  0.1874E-03  0.1659E-02  0.6037E-10  0.1967E-01  0.2029E+00  0.1675E-01  0.5269E-01  0.6693E+00 -0.8425E-01  0.1685E+05  0.1685E+05  0.1685E+05  0.1753E-05  0.6694E-02  0.9148E-10  0.2223E+01  0.1869E-07  0.6489E-02 -0.1240E-02 -0.1301E-02 -0.5872E-02 -0.3853E-03  0.5931E-02  0.3841E-02
     8  0.4200E+01 -0.1138E-14  0.1859E-03  0.1661E-02  0.5967E-10  0.1575E-01  0.2029E+00  0.1635E-01  0.4068E-01  0.6784E+00 -0.2263E-01  0.1678E+05  0.1678E+05  0.1678E+05  0.2621E-07  0.6651E-02  0.9237E-10  0.2348E+01  0.2112E-07  0.6428E-02 -0.1232E-02 -0.1277E-02 -0.5953E-02 -0.1010E-03  0.5805E-02  0.3790E-02
     9  0.4800E+01 -0.1193E-14  0.1845E-03  0.1662E-02  0.5877E-10  0.1307E-01  0.2030E+00  0.1664E-01  0.4618E-01  0.6733E+00  0.3998E-01  0.1670E+05  0.1670E+05  0.1670E+05 -0.8220E-05  0.6708E-02  0.9210E-10  0.2525E+01  0.2176E-07  0.6459E-02 -0.1255E-02 -0.1284E-02 -0.6647E-02 -0.5968E-03  0.6482E-02  0.3823E-02
    10  0.5400E+01 -0.7860E-15  0.1842E-03  0.1664E-02  0.5886E-10  0.1083E-01  0.2029E+00  0.1637E-01  0.4933E-01  0.6531E+00  0.9532E-01  0.1665E+05  0.1665E+05  0.1665E+05 -0.1582E-04  0.6863E-02  0.9089E-10  0.2699E+01  0.2234E-07  0.6585E-02 -0.1239E-02 -0.1300E-02 -0.5499E-02  0.2387E-03  0.5774E-02  0.3648E-02
    11  0.6000E+01 -0.9487E-15  0.1840E-03  0.1660E-02  0.5875E-10  0.7203E-02  0.2028E+00  0.1629E-01  0.3939E-01  0.6226E+00  0.1315E+00  0.1660E+05  0.1660E+05  0.1660E+05 -0.3550E-05  0.7073E-02  0.8883E-10  0.2889E+01  0.2310E-07  0.6763E-02 -0.1241E-02 -0.1287E-02 -0.6048E-02 -0.7511E-04  0.6032E-02  0.3406E-02
    12  0.6600E+01  0.1355E-15  0.1832E-03  0.1660E-02  0.5826E-10  0.5167E-02  0.2028E+00  0.1634E-01  0.5299E-01  0.5851E+00  0.1464E+00  0.1654E+05  0.1654E+05  0.1654E+05 -0.2475E-04  0.7336E-02  0.8609E-10  0.3139E+01  0.2220E-07  0.6987E-02 -0.1242E-02 -0.1277E-02 -0.6244E-02 -0.6150E-03  0.6300E-02  0.3147E-02
    13  0.7200E+01  0.9758E-15  0.1827E-03  0.1664E-02  0.5823E-10  0.5702E-02  0.2026E+00  0.1608E-01  0.4950E-01  0.5504E+00  0.1357E+00  0.1648E+05  0.1648E+05  0.1648E+05 -0.2153E-04  0.7554E-02  0.8367E-10  0.3213E+01  0.2193E-07  0.7199E-02 -0.1221E-02 -0.1289E-02 -0.5528E-02 -0.4745E-03  0.5812E-02  0.2944E-02
    14  0.7800E+01  0.1328E-14  0.1818E-03  0.1658E-02  0.5747E-10  0.2246E-02  0.2025E+00  0.1609E-01  0.5458E-01  0.5221E+00  0.1080E+00  0.1642E+05  0.1642E+05  0.1642E+05 -0.1842E-04  0.7762E-02  0.8119E-10  0.3539E+01  0.2003E-07  0.7351E-02 -0.1234E-02 -0.1287E-02 -0.6339E-02  0.1256E-03  0.5620E-02  0.2811E-02
    15  0.8400E+01  0.1247E-14  0.1814E-03  0.1662E-02  0.5755E-10 -0.1946E-02  0.2024E+00  0.1583E-01  0.5515E-01  0.5013E+00  0.6088E-01  0.1638E+05  0.1638E+05  0.1638E+05 -0.3229E-04  0.7904E-02  0.7956E-10  0.3618E+01  0.1851E-07  0.7479E-02 -0.1228E-02 -0.1294E-02 -0.5924E-02 -0.5533E-03  0.5471E-02  0.2711E-02
    16  0.9000E+01  0.1301E-14  0.1811E-03  0.1658E-02  0.5749E-10 -0.3202E-02  0.2023E+00  0.1592E-01  0.5025E-01  0.4952E+00  0.3003E-02  0.1631E+05  0.1631E+05  0.1631E+05 -0.2066E-04  0.7963E-02  0.7879E-10  0.3784E+01  0.1654E-07  0.7499E-02 -0.1218E-02 -0.1286E-02 -0.5822E-02 -0.1696E-03  0.5399E-02  0.2632E-02
    17  0.9600E+01  0.5421E-15  0.1816E-03  0.1652E-02  0.5791E-10 -0.4791E-02  0.2022E+00  0.1578E-01  0.5273E-01  0.5049E+00 -0.5035E-01  0.1627E+05  0.1627E+05  0.1627E+05 -0.3536E-04  0.7934E-02  0.7925E-10  0.3965E+01  0.1466E-07  0.7419E-02 -0.1218E-02 -0.1280E-02 -0.6186E-02 -0.3904E-03  0.5845E-02  0.2637E-02
