 #NTuple/Z0                                                                     
  
 output from Ecalc9f version   2.09
  settings: 
    particle type:            2
    pzmin/pzmax:   0.000000000000000E+000 /   100.000000000000     
    transverse cuts:   0.000000000000000E+000  0.000000000000000E+000
    longitudinal cut:   0.000000000000000E+000
    RF frequency (MHz):    352.000000000000     
    sigma cut:    4.00000000000000     
    subtract out amplitude correlation
    wrnew9 =  F
 
regn #   Z           Bz          eperp       elong       e6D         Ldim        Pzavg       beta        alpha       betaL       alphaL      n0          n1          n2          Lcan(eVs)   sigmaE      sigmaT      corrE       corrT       sigmaE_c    xavg        yavg        Dx          Dy          Dr          Dr2
     1  0.0000E+00  0.4337E-15  0.1423E-02  0.3434E-02  0.7214E-08  0.9875E-01  0.2003E+00  0.2169E+00  0.1236E+00  0.7341E+00  0.6921E-02  0.3684E+05  0.3684E+05  0.3684E+05  0.1040E-02  0.9256E-02  0.1376E-09  0.5589E+00  0.8421E-09  0.8802E-02 -0.6902E-02 -0.2461E-02 -0.4854E-01 -0.1260E-02  0.4865E-01  0.3458E-01
     2  0.1100E+01  0.0000E+00  0.1408E-02  0.3446E-02  0.7110E-08  0.1004E+00  0.2004E+00  0.1834E+00  0.3773E+00  0.7408E+00 -0.3258E-01  0.3679E+05  0.3679E+05  0.3679E+05  0.9883E-03  0.9198E-02  0.1387E-09  0.5402E+00  0.2052E-08  0.8784E-02 -0.5809E-02 -0.2390E-02 -0.3052E-01 -0.2082E-02  0.5512E-01  0.2643E-01
     3  0.2200E+01 -0.8674E-15  0.1412E-02  0.3442E-02  0.7160E-08  0.9485E-01  0.2008E+00  0.1399E+00  0.2655E+00  0.7760E+00 -0.6230E-01  0.3672E+05  0.3672E+05  0.3672E+05  0.1047E-02  0.9045E-02  0.1425E-09  0.5505E+00  0.3614E-08  0.8602E-02 -0.6868E-02 -0.2524E-02 -0.4221E-01 -0.2695E-02  0.6045E-01  0.3632E-01
     4  0.3300E+01  0.0000E+00  0.1427E-02  0.3430E-02  0.7474E-08  0.8874E-01  0.2020E+00  0.1371E+00  0.9214E-01  0.8222E+00 -0.6752E-01  0.3667E+05  0.3667E+05  0.3667E+05  0.8999E-03  0.8889E-02  0.1470E-09  0.5667E+00  0.5036E-08  0.8380E-02 -0.6626E-02 -0.2496E-02 -0.3179E-01 -0.1092E-02  0.3322E-01  0.3452E-01
     5  0.4400E+01 -0.6505E-15  0.1439E-02  0.3399E-02  0.7659E-08  0.8731E-01  0.2034E+00  0.1525E+00  0.6297E-01  0.8712E+00 -0.3981E-01  0.3660E+05  0.3660E+05  0.3660E+05  0.1005E-02  0.8789E-02  0.1505E-09  0.6223E+00  0.5595E-08  0.8131E-02 -0.6730E-02 -0.2536E-02 -0.4090E-01 -0.4168E-02  0.3528E-01  0.3687E-01
     6  0.5500E+01  0.6505E-15  0.1420E-02  0.3389E-02  0.7526E-08  0.8471E-01  0.2048E+00  0.1594E+00  0.1078E+00  0.8898E+00  0.3925E-03  0.3653E+05  0.3653E+05  0.3653E+05  0.8799E-03  0.8855E-02  0.1513E-09  0.6954E+00  0.5907E-08  0.8069E-02 -0.7541E-02 -0.2513E-02 -0.3575E-01 -0.4219E-03  0.4560E-01  0.4499E-01
     7  0.6600E+01 -0.2168E-15  0.1396E-02  0.3354E-02  0.7311E-08  0.8479E-01  0.2061E+00  0.1602E+00  0.1623E+00  0.8835E+00  0.5159E-01  0.3644E+05  0.3644E+05  0.3644E+05  0.9089E-03  0.9022E-02  0.1490E-09  0.7746E+00  0.5703E-08  0.8102E-02 -0.7079E-02 -0.2679E-02 -0.3047E-01 -0.4390E-02  0.5534E-01  0.4024E-01
     8  0.7700E+01 -0.4337E-15  0.1383E-02  0.3373E-02  0.7181E-08  0.8251E-01  0.2072E+00  0.1583E+00  0.2006E+00  0.8568E+00  0.7467E-01  0.3634E+05  0.3634E+05  0.3634E+05  0.8679E-03  0.9292E-02  0.1467E-09  0.8239E+00  0.5810E-08  0.8293E-02 -0.7978E-02 -0.2482E-02 -0.4094E-01  0.3378E-03  0.6136E-01  0.4655E-01
     9  0.8800E+01  0.6505E-15  0.1372E-02  0.3350E-02  0.7116E-08  0.7978E-01  0.2080E+00  0.1549E+00  0.2352E+00  0.8204E+00  0.9459E-01  0.3627E+05  0.3627E+05  0.3627E+05  0.7871E-03  0.9578E-02  0.1425E-09  0.8767E+00  0.5439E-08  0.8483E-02 -0.7411E-02 -0.2750E-02 -0.2772E-01 -0.4526E-02  0.5653E-01  0.3961E-01
    10  0.9900E+01 -0.6505E-15  0.1368E-02  0.3315E-02  0.6997E-08  0.7713E-01  0.2084E+00  0.1506E+00  0.2537E+00  0.7893E+00  0.9865E-01  0.3617E+05  0.3617E+05  0.3617E+05  0.8467E-03  0.9812E-02  0.1386E-09  0.9262E+00  0.5087E-08  0.8617E-02 -0.8026E-02 -0.2482E-02 -0.3690E-01 -0.3093E-03  0.5910E-01  0.4266E-01
