 #NTuple/Z0                                                                     
  
 output from Ecalc9f version   2.09
  settings: 
    particle type:            2
    pzmin/pzmax:   0.000000000000000E+000 /   100.000000000000     
    transverse cuts:   0.000000000000000E+000  0.000000000000000E+000
    longitudinal cut:   0.000000000000000E+000
    RF frequency (MHz):    352.000000000000     
    sigma cut:    4.00000000000000     
    subtract out amplitude correlation
    wrnew9 =  F
 
regn #   Z           Bz          eperp       elong       e6D         Ldim        Pzavg       beta        alpha       betaL       alphaL      n0          n1          n2          Lcan(eVs)   sigmaE      sigmaT      corrE       corrT       sigmaE_c    xavg        yavg        Dx          Dy          Dr          Dr2
     1  0.0000E+00 -0.2168E-15  0.1965E-02  0.6076E-02  0.2379E-07  0.5556E-01  0.2047E+00  0.3305E+00  0.1576E+00  0.7939E+00  0.1518E-01  0.4197E+05  0.4197E+05  0.4197E+05  0.8307E-03  0.1176E-01  0.1877E-09  0.3771E+00  0.1757E-08  0.1143E-01 -0.7865E-02 -0.2382E-02 -0.5809E-01 -0.3280E-02  0.5851E-01  0.3010E-01
     2  0.1400E+01 -0.6505E-15  0.1948E-02  0.6092E-02  0.2357E-07  0.5962E-01  0.2052E+00  0.2895E+00  0.4562E+00  0.7880E+00  0.7698E-02  0.4180E+05  0.4180E+05  0.4180E+05  0.9011E-03  0.1181E-01  0.1880E-09  0.3686E+00  0.3265E-08  0.1151E-01 -0.8202E-02 -0.2278E-02 -0.3954E-01 -0.4002E-03  0.7666E-01  0.3263E-01
     3  0.2800E+01 -0.4337E-15  0.1962E-02  0.6019E-02  0.2385E-07  0.5856E-01  0.2056E+00  0.2266E+00  0.4235E+00  0.7935E+00  0.2816E-02  0.4155E+05  0.4155E+05  0.4155E+05  0.8479E-03  0.1176E-01  0.1888E-09  0.3923E+00  0.4705E-08  0.1142E-01 -0.8329E-02 -0.2379E-02 -0.4431E-01 -0.5693E-02  0.8393E-01  0.3390E-01
     4  0.4200E+01  0.0000E+00  0.1995E-02  0.5933E-02  0.2481E-07  0.5212E-01  0.2062E+00  0.2042E+00  0.3013E+00  0.8114E+00  0.5142E-02  0.4131E+05  0.4131E+05  0.4131E+05  0.8199E-03  0.1174E-01  0.1903E-09  0.4693E+00  0.5452E-08  0.1123E-01 -0.8318E-02 -0.2518E-02 -0.4278E-01  0.2640E-02  0.6527E-01  0.3315E-01
     5  0.5600E+01  0.2168E-15  0.2024E-02  0.5815E-02  0.2550E-07  0.4972E-01  0.2068E+00  0.2047E+00  0.2428E+00  0.8216E+00  0.3470E-01  0.4110E+05  0.4110E+05  0.4110E+05  0.8124E-03  0.1185E-01  0.1891E-09  0.5631E+00  0.5226E-08  0.1108E-01 -0.8652E-02 -0.2284E-02 -0.4448E-01 -0.6638E-02  0.5836E-01  0.3424E-01
     6  0.7000E+01 -0.4337E-15  0.2030E-02  0.5673E-02  0.2527E-07  0.4858E-01  0.2071E+00  0.2104E+00  0.2336E+00  0.8041E+00  0.7899E-01  0.4086E+05  0.4086E+05  0.4086E+05  0.7177E-03  0.1210E-01  0.1834E-09  0.6452E+00  0.4255E-08  0.1110E-01 -0.8406E-02 -0.2532E-02 -0.4504E-01 -0.1500E-02  0.5897E-01  0.3189E-01
     7  0.8400E+01  0.0000E+00  0.2024E-02  0.5551E-02  0.2473E-07  0.4824E-01  0.2072E+00  0.2144E+00  0.2495E+00  0.7644E+00  0.1003E+00  0.4062E+05  0.4062E+05  0.4062E+05  0.8157E-03  0.1242E-01  0.1758E-09  0.6907E+00  0.3171E-08  0.1129E-01 -0.8719E-02 -0.2362E-02 -0.4220E-01 -0.1233E-02  0.6232E-01  0.3222E-01
     8  0.9800E+01 -0.8674E-15  0.2012E-02  0.5416E-02  0.2389E-07  0.4683E-01  0.2069E+00  0.2149E+00  0.2661E+00  0.7236E+00  0.8412E-01  0.4041E+05  0.4041E+05  0.4041E+05  0.6526E-03  0.1266E-01  0.1682E-09  0.7184E+00  0.2004E-08  0.1143E-01 -0.8387E-02 -0.2424E-02 -0.4244E-01 -0.6461E-02  0.6612E-01  0.2951E-01
     9  0.1120E+02  0.6505E-15  0.1993E-02  0.5280E-02  0.2287E-07  0.4821E-01  0.2064E+00  0.2114E+00  0.2646E+00  0.7071E+00  0.4829E-01  0.4020E+05  0.4020E+05  0.4020E+05  0.7852E-03  0.1260E-01  0.1640E-09  0.7209E+00  0.1077E-08  0.1137E-01 -0.8437E-02 -0.2470E-02 -0.4100E-01  0.3513E-02  0.6570E-01  0.2995E-01
    10  0.1260E+02 -0.6505E-15  0.1979E-02  0.5128E-02  0.2185E-07  0.4594E-01  0.2057E+00  0.2068E+00  0.2403E+00  0.7136E+00  0.1979E-01  0.4002E+05  0.4002E+05  0.4002E+05  0.6800E-03  0.1233E-01  0.1626E-09  0.7115E+00  0.3661E-09  0.1112E-01 -0.8265E-02 -0.2271E-02 -0.4478E-01 -0.7755E-02  0.6738E-01  0.2969E-01
