 #NTuple/Z0                                                                     
  
 output from Ecalc9f version   2.09
  settings: 
    particle type:            2
    pzmin/pzmax:   0.000000000000000E+000 /   100.000000000000     
    transverse cuts:   0.000000000000000E+000  0.000000000000000E+000
    longitudinal cut:   0.000000000000000E+000
    RF frequency (MHz):    704.000000000000     
    sigma cut:    4.00000000000000     
    subtract out amplitude correlation
    wrnew9 =  F
 
regn #   Z           Bz          eperp       elong       e6D         Ldim        Pzavg       beta        alpha       betaL       alphaL      n0          n1          n2          Lcan(eVs)   sigmaE      sigmaT      corrE       corrT       sigmaE_c    xavg        yavg        Dx          Dy          Dr          Dr2
     1  0.0000E+00  0.1409E-14  0.3670E-03  0.1873E-02  0.2679E-09  0.3219E+00  0.2022E+00  0.3757E-01  0.5336E-01  0.4243E+00  0.2192E-01  0.2408E+05  0.2408E+05  0.2408E+05  0.8193E-03  0.9246E-02  0.7697E-10  0.2354E+01  0.4610E-08  0.8611E-02 -0.9836E-03 -0.1038E-02 -0.9580E-02 -0.2534E-03  0.7997E-02  0.1328E-02
     2  0.6000E+00  0.1626E-14  0.3692E-03  0.1926E-02  0.2801E-09  0.3158E+00  0.2018E+00  0.2460E-01  0.6375E-01  0.4252E+00 -0.1013E+00  0.2409E+05  0.2409E+05  0.2409E+05  0.8365E-03  0.9358E-02  0.7851E-10  0.2299E+01  0.6519E-08  0.8752E-02 -0.1099E-02 -0.1001E-02 -0.7257E-02 -0.6258E-03  0.1144E-01  0.1418E-02
     3  0.1200E+01  0.5421E-15  0.3714E-03  0.1933E-02  0.2892E-09  0.3087E+00  0.2025E+00  0.3077E-01 -0.5085E-01  0.4713E+00 -0.2170E+00  0.2398E+05  0.2398E+05  0.2398E+05  0.7757E-03  0.9028E-02  0.8313E-10  0.2090E+01  0.9209E-08  0.8497E-02 -0.1208E-02 -0.1009E-02 -0.6141E-02  0.5045E-03  0.7593E-02  0.1671E-02
     4  0.1800E+01  0.1409E-14  0.3636E-03  0.1936E-02  0.2818E-09  0.3108E+00  0.2028E+00  0.3100E-01  0.4103E-01  0.5394E+00 -0.2753E+00  0.2392E+05  0.2392E+05  0.2392E+05  0.7568E-03  0.8669E-02  0.8887E-10  0.2271E+01  0.1014E-07  0.8068E-02 -0.1061E-02 -0.1055E-02 -0.7180E-02 -0.1776E-03  0.1503E-01  0.1703E-02
     5  0.2400E+01  0.1518E-14  0.3625E-03  0.1953E-02  0.2858E-09  0.3069E+00  0.2031E+00  0.3019E-01  0.6606E-01  0.6112E+00 -0.2889E+00  0.2387E+05  0.2387E+05  0.2387E+05  0.7886E-03  0.8281E-02  0.9514E-10  0.2255E+01  0.1171E-07  0.7648E-02 -0.1071E-02 -0.1021E-02 -0.8275E-02 -0.2034E-03  0.1400E-01  0.1809E-02
     6  0.3000E+01 -0.1301E-14  0.3614E-03  0.1963E-02  0.2895E-09  0.3035E+00  0.2035E+00  0.2973E-01  0.1368E-01  0.6794E+00 -0.2428E+00  0.2380E+05  0.2380E+05  0.2380E+05  0.7582E-03  0.7946E-02  0.1002E-09  0.2381E+01  0.1149E-07  0.7198E-02 -0.1197E-02 -0.9966E-03 -0.8296E-02  0.5877E-03  0.1427E-01  0.2163E-02
     7  0.3600E+01  0.5421E-15  0.3593E-03  0.1964E-02  0.2904E-09  0.3020E+00  0.2039E+00  0.3065E-01  0.3172E-01  0.7276E+00 -0.1568E+00  0.2375E+05  0.2375E+05  0.2375E+05  0.7336E-03  0.7712E-02  0.1035E-09  0.2503E+01  0.1123E-07  0.6852E-02 -0.1144E-02 -0.1058E-02 -0.5271E-02 -0.2952E-03  0.1587E-01  0.2310E-02
     8  0.4200E+01 -0.1084E-14  0.3569E-03  0.1974E-02  0.2884E-09  0.3009E+00  0.2042E+00  0.2986E-01  0.3622E-01  0.7452E+00 -0.5119E-01  0.2370E+05  0.2370E+05  0.2370E+05  0.7572E-03  0.7664E-02  0.1047E-09  0.2641E+01  0.1091E-07  0.6723E-02 -0.1154E-02 -0.1025E-02 -0.6796E-02 -0.3418E-03  0.1703E-01  0.2314E-02
     9  0.4800E+01  0.1409E-14  0.3546E-03  0.1994E-02  0.2855E-09  0.3000E+00  0.2046E+00  0.3010E-01  0.1615E-01  0.7338E+00  0.5122E-01  0.2364E+05  0.2364E+05  0.2364E+05  0.7283E-03  0.7783E-02  0.1043E-09  0.2706E+01  0.1116E-07  0.6818E-02 -0.1207E-02 -0.9973E-03 -0.8287E-02  0.8482E-03  0.1760E-01  0.2321E-02
    10  0.5400E+01 -0.1626E-14  0.3506E-03  0.2002E-02  0.2781E-09  0.2990E+00  0.2050E+00  0.3050E-01  0.3225E-01  0.6976E+00  0.1413E+00  0.2358E+05  0.2358E+05  0.2358E+05  0.7145E-03  0.8030E-02  0.1017E-09  0.2778E+01  0.1034E-07  0.7077E-02 -0.1169E-02 -0.1066E-02 -0.5922E-02 -0.6380E-03  0.1644E-01  0.2228E-02
