 #NTuple/Z0                                                                      
 output from Ecalc9f version   2.09
  settings: 
    particle type:            2
    pzmin/pzmax:    0.0000000000000000      /   100.00000000000000     
    transverse cuts:    0.0000000000000000        0.0000000000000000     
    longitudinal cut:    0.0000000000000000     
    RF frequency (MHz):    704.00000000000000     
    sigma cut:    4.0000000000000000     
    subtract out amplitude correlation
    wrnew9 =  F

regn #   Z           Bz          eperp       elong       e6D         Ldim        Pzavg       beta        alpha       betaL       alphaL      n0          n1          n2          Lcan(eVs)   sigmaE      sigmaT      corrE       corrT       sigmaE_c    xavg        yavg        Dx          Dy          Dr          Dr2
     1  0.0000E+00  0.1247E-14  0.2698E-03  0.1633E-02  0.1322E-09  0.1590E+00  0.2036E+00  0.2424E-01  0.6262E-01  0.5304E+00  0.7891E-01  0.2087E+05  0.2087E+05  0.2087E+05  0.2858E-03  0.8102E-02  0.8029E-10  0.3338E+01  0.9168E-08  0.7246E-02 -0.1033E-02 -0.1177E-02 -0.6380E-02 -0.5475E-03  0.5894E-02  0.2025E-02
     2  0.6000E+00  0.9758E-15  0.2701E-03  0.1706E-02  0.1375E-09  0.1577E+00  0.2037E+00  0.1695E-01  0.1571E-01  0.4882E+00  0.1173E+00  0.2091E+05  0.2091E+05  0.2091E+05  0.3249E-03  0.8632E-02  0.7893E-10  0.3556E+01  0.1076E-07  0.7751E-02 -0.1190E-02 -0.1168E-02 -0.5660E-02  0.2096E-03  0.8752E-02  0.2046E-02
     3  0.1200E+01  0.2711E-15  0.2697E-03  0.1722E-02  0.1358E-09  0.1559E+00  0.2046E+00  0.2197E-01  0.3435E-02  0.4596E+00  0.8787E-01  0.2080E+05  0.2080E+05  0.2080E+05  0.2548E-03  0.8703E-02  0.7683E-10  0.3136E+01  0.1113E-07  0.8025E-02 -0.1302E-02 -0.1188E-02 -0.4772E-02 -0.4808E-03  0.6805E-02  0.2245E-02
     4  0.1800E+01  0.1572E-14  0.2644E-03  0.1707E-02  0.1290E-09  0.1545E+00  0.2048E+00  0.2034E-01  0.8056E-01  0.4465E+00  0.6058E-01  0.2071E+05  0.2071E+05  0.2071E+05  0.2376E-03  0.8802E-02  0.7512E-10  0.3330E+01  0.9891E-08  0.8097E-02 -0.1128E-02 -0.1177E-02 -0.6237E-02 -0.1853E-03  0.9523E-02  0.1906E-02
     5  0.2400E+01  0.4337E-15  0.2665E-03  0.1702E-02  0.1294E-09  0.1482E+00  0.2049E+00  0.2006E-01  0.7807E-01  0.4392E+00  0.1505E-01  0.2062E+05  0.2062E+05  0.2062E+05  0.2771E-03  0.8778E-02  0.7446E-10  0.3100E+01  0.1016E-07  0.8143E-02 -0.1136E-02 -0.1176E-02 -0.7269E-02  0.4858E-03  0.7615E-02  0.1913E-02
     6  0.3000E+01 -0.1084E-15  0.2676E-03  0.1695E-02  0.1318E-09  0.1437E+00  0.2050E+00  0.1974E-01  0.1731E-01  0.4424E+00 -0.2572E-01  0.2057E+05  0.2057E+05  0.2057E+05  0.2660E-03  0.8824E-02  0.7457E-10  0.3250E+01  0.1007E-07  0.8102E-02 -0.1253E-02 -0.1189E-02 -0.6535E-02 -0.6669E-03  0.7671E-02  0.2113E-02
     7  0.3600E+01 -0.2168E-15  0.2655E-03  0.1685E-02  0.1314E-09  0.1455E+00  0.2051E+00  0.2019E-01  0.4328E-01  0.4526E+00 -0.5141E-01  0.2051E+05  0.2051E+05  0.2051E+05  0.2399E-03  0.8811E-02  0.7501E-10  0.3456E+01  0.8990E-08  0.7996E-02 -0.1204E-02 -0.1155E-02 -0.4577E-02 -0.5007E-03  0.7910E-02  0.1982E-02
     8  0.4200E+01 -0.1084E-15  0.2630E-03  0.1688E-02  0.1292E-09  0.1427E+00  0.2049E+00  0.1992E-01  0.2935E-01  0.4658E+00 -0.6745E-01  0.2046E+05  0.2046E+05  0.2046E+05  0.2336E-03  0.8723E-02  0.7616E-10  0.3569E+01  0.9052E-08  0.7889E-02 -0.1165E-02 -0.1181E-02 -0.5700E-02  0.9386E-04  0.8170E-02  0.1997E-02
     9  0.4800E+01 -0.8674E-15  0.2625E-03  0.1702E-02  0.1295E-09  0.1404E+00  0.2046E+00  0.2027E-01  0.2485E-01  0.4801E+00 -0.6470E-01  0.2040E+05  0.2040E+05  0.2040E+05  0.2464E-03  0.8645E-02  0.7763E-10  0.3530E+01  0.8541E-08  0.7794E-02 -0.1198E-02 -0.1202E-02 -0.6789E-02 -0.2250E-03  0.9004E-02  0.2129E-02
    10  0.5400E+01 -0.1138E-14  0.2597E-03  0.1700E-02  0.1274E-09  0.1387E+00  0.2042E+00  0.2022E-01  0.3304E-01  0.4916E+00 -0.4541E-01  0.2034E+05  0.2034E+05  0.2034E+05  0.2344E-03  0.8555E-02  0.7848E-10  0.3616E+01  0.7541E-08  0.7680E-02 -0.1179E-02 -0.1152E-02 -0.5587E-02  0.7498E-05  0.8882E-02  0.2043E-02
